genotype,combineTestWeight.sp.b,combineTestWeight.sp.mu,combineTestWeight.sp.FWB,combineTestWeight.sp.FWW,locationYear,combineMoisture.sp.b,combineMoisture.sp.mu,combineMoisture.sp.FWB,combineMoisture.sp.FWW,flagLeafHeight.sp.b,flagLeafHeight.sp.mu,flagLeafHeight.sp.FWB,flagLeafHeight.sp.FWW,earHeight.sp.b,earHeight.sp.mu,earHeight.sp.FWB,earHeight.sp.FWW,yieldPerAcre.sp.b,yieldPerAcre.sp.mu,yieldPerAcre.sp.FWB,yieldPerAcre.sp.FWW,GDDToAnthesis.sp.b,GDDToAnthesis.sp.mu,GDDToAnthesis.sp.FWB,GDDToAnthesis.sp.FWW,GDDToSilk.sp.b,GDDToSilk.sp.mu,GDDToSilk.sp.FWB,GDDToSilk.sp.FWW,anthesisSilkingIntervalGDD.sp.b,anthesisSilkingIntervalGDD.sp.mu,anthesisSilkingIntervalGDD.sp.FWB,anthesisSilkingIntervalGDD.sp.FWW,kernelRowNumber.sp.b,kernelRowNumber.sp.mu,kernelRowNumber.sp.FWB,kernelRowNumber.sp.FWW,earWidth.sp.b,earWidth.sp.mu,earWidth.sp.FWB,earWidth.sp.FWW,earLength.sp.b,earLength.sp.mu,earLength.sp.FWB,earLength.sp.FWW,shelledCobWidth.sp.b,shelledCobWidth.sp.mu,shelledCobWidth.sp.FWB,shelledCobWidth.sp.FWW,shelledCobMass.sp.b,shelledCobMass.sp.mu,shelledCobMass.sp.FWB,shelledCobMass.sp.FWW,kernelMassPerEar.sp.b,kernelMassPerEar.sp.mu,kernelMassPerEar.sp.FWB,kernelMassPerEar.sp.FWW,kernelsPerEar.sp.b,kernelsPerEar.sp.mu,kernelsPerEar.sp.FWB,kernelsPerEar.sp.FWW,hundredKernelMass.sp.b,hundredKernelMass.sp.mu,hundredKernelMass.sp.FWB,hundredKernelMass.sp.FWW,earFillLength.sp.b,earFillLength.sp.mu,earFillLength.sp.FWB,earFillLength.sp.FWW,kernelsPerRow.sp.b,kernelsPerRow.sp.mu,kernelsPerRow.sp.FWB,kernelsPerRow.sp.FWW,earParent,pollenParent,earParentAge,pollenParentAge,oldestParentAge,youngestParentAge,meanParentAge
2369 X 3IIH6,1.0202327728585,59.5532941319481,59.571529058502,59.5184773895694,2022 North Platte LI,1.01048808601691,13.602979983496,13.6454697797291,13.5720474376372,0.930395253027102,284.182630221118,287.440411124417,280.344508295046,0.936943624524586,127.152430099345,130.564093747012,123.733615086356,1.00073351654268,184.419034803729,192.530775304508,173.860164222875,1.06032410164787,2667.81492634665,2704.09529332366,2603.40486254317,0.980047918623961,2593.14308077823,2732.03362315715,2497.64418470358,1.02806562619845,-64.784787907202,139.901808041065,-179.939344314409,0.992754223358703,16.3829452672835,16.4487534086851,16.2696404751394,1.00217014115326,4.11370709626033,4.14989353808183,4.02981475936798,1.03321835399636,16.7358007884056,17.0817269001214,16.3070770422952,1.00573580797236,2.62100251402349,2.62964310500859,2.60752497249456,1.07622965741229,19.3856599867567,20.7517397284256,17.6325004387186,1.04490692473887,137.150978609874,147.534821257282,123.070893938992,1.01971044762857,497.404381978639,520.88054814158,477.192781887019,1.06633558778957,27.1584307255614,28.1876586744621,25.4811507078835,1.02605793212987,15.00323045577,15.4735810447683,14.3667159113166,0.981242792565073,33.7734894229046,35.0998928434986,32.3886901616202,2369,3IIH6,1988,1993,1988,1993,1990.5
2369 X LH123HT,1.07736250453939,58.7889276375425,58.8081836609372,58.7521612703302,2022 North Platte LI,1.0602055489959,14.7938635435369,14.8384438986796,14.7614090720613,0.989753948832518,288.192714902892,291.658340402356,284.109722948589,0.973497595225744,127.314470499332,130.859236982383,123.762273647194,1.06301700283336,176.950691849792,185.567289507769,165.734660036506,0.97841242590197,2709.79520020375,2743.27285275491,2650.36091338473,0.980622413876489,2653.03391457694,2792.00587333939,2557.47903791056,0.956031924036083,-57.6062801520443,132.738494697032,-164.692276724653,1.03407771725353,15.1184185592666,15.1869659711397,15.0003974438109,1.03815836364069,4.10743912830653,4.14492503582335,4.0205341930927,1.06426055624301,16.7349617331349,17.0912809125704,16.2933573319498,1.02295324488615,2.6688662832364,2.67765479460875,2.65515801638259,1.06251789513696,21.1582339693433,22.5069090980303,19.4274106455375,1.02713748122218,136.060166518124,146.267423958715,122.219524484042,1.05953699308198,481.875746610965,506.26881482285,460.874747713432,1.02361940466996,28.3103493310705,29.2983475863921,26.7002592310868,1.07282544596887,15.3267550173643,15.8185440914533,14.6612282682057,1.07807159134423,34.4334535752536,35.8907461609817,32.9120026615581,2369,LH123HT,1988,1983,1983,1988,1985.5
2369 X PHN82,1.02227885739,58.905652150388,58.9239236472248,58.8707655827695,2022 North Platte LI,1.00689813582513,14.7414153624696,14.7837542056591,14.710592710335,0.985375544969126,279.448453449779,282.898747959057,275.383523547937,1.06202939579497,125.060849848331,128.927984420303,121.185609174782,0.976193776486823,184.346570332527,192.259396736796,174.046621767428,1.03139839601348,2708.05965630249,2743.35029267368,2645.40670293588,1.04962742053905,2625.3955559412,2774.14677408484,2523.11661830323,1.07965011050821,-68.781872561014,146.175130478049,-189.714453499739,0.98832764294597,15.7009357508013,15.7664504610365,15.5881361720945,0.975536806235649,4.13957592217859,4.17480068535399,4.05791307967419,0.971542828347851,16.8874449473015,17.2127218180383,16.4843128511043,1.0288542392689,2.69900578942584,2.70784499808714,2.68521844524753,0.983823770623232,20.3874318802468,21.6362189891732,18.7847999278788,0.9746851382053,139.484915851192,149.170924113048,126.351067325104,0.98090991814147,503.4737153445,526.056600792737,484.031177477515,0.960577404583335,27.3032593000446,28.2304093672472,25.7923303724259,0.963374259520346,15.1913908625113,15.6330069118612,14.5937621041977,0.953495434171957,34.9233937721833,36.2122894613943,33.5777535464572,2369,PHN82,1988,1989,1988,1989,1988.5
2369 X PHP02,1.03684616104008,59.1839215498612,59.2024534124883,59.1485378544579,2022 North Platte LI,1.01357979811372,14.1390818307632,14.1817016297334,14.1080546429907,0.983260098406389,281.331268804765,284.774156073527,277.275065669111,0.976097585192452,125.019021383096,128.573255128661,121.457337423624,1.05348628826427,178.096597609513,186.635941251217,166.981125615613,0.990344307899651,2672.87928490878,2706.76520230739,2612.72018830795,1.06839973258927,2599.52073726421,2750.93233206171,2495.41256756168,1.05660399691964,-64.8342690249019,145.534281273333,-183.185434031051,1.09001143213062,15.5759284452773,15.6481836165646,15.4515235161959,1.08730088737893,4.17574571601051,4.21500606581331,4.08472702706576,1.03590743871077,17.0138489988082,17.3606754280762,16.5840094435681,1.01124461886546,2.66381690574849,2.67250482465148,2.65026554241964,1.03148273027297,20.4697233308243,21.7790049065572,18.7894557552564,1.05462368039811,139.539568455101,150.019972106575,125.328550837782,1.07178131916391,481.221059241548,505.896021038343,459.977366525652,1.08673731151367,29.0935296341843,30.1424493428866,27.3841589651951,1.00377663180331,15.4329678709317,15.8931045895392,14.8102755204141,1.02327823974011,34.4052749573684,35.7885001567736,32.9611522986162,2369,PHP02,1988,1988,1988,1988,1988
2369 X PHZ51,0.965125267977974,59.357357570763,59.3746075443426,59.3244214421536,2022 North Platte LI,0.983384319518181,13.9228993738804,13.9642494896644,13.8927965146966,1.00749161784175,291.272682254437,294.800416238633,287.116517811217,0.986498279575736,137.268082568801,140.860188038991,133.668447499815,1.06986728927308,168.226869091462,176.898993765409,156.938559007524,0.996177957558754,2684.37444485128,2718.45996815352,2623.86097948134,1.01262081029658,2604.95433274006,2748.46104388511,2506.28143349926,1.01988418959591,-68.0504709683021,135.007211060985,-182.28861729552,0.99731554210616,14.9099360522339,14.9760465563976,14.7961106687285,1.0380349497769,3.98916350222174,4.02664495350062,3.9022688980655,0.998630480210273,16.7489456931824,17.0832916305382,16.3345738435151,0.959929413234649,2.58370960379322,2.59195665770995,2.570845899002,1.01355742602053,20.2314862516063,21.5180148815958,18.580418687472,1.00025356456391,132.832928418006,142.773024876393,119.354546231066,1.03241039998496,474.087154612405,497.855703963607,453.623829770091,1.0366176912069,27.7717241694819,28.772268381203,26.141188567611,0.964186140361346,15.0953966516321,15.5373848716166,14.4972642434294,1.00047338062781,33.7663519361384,35.1187504702555,32.3544131082297,2369,PHZ51,1988,1986,1986,1988,1987
2FACC X 3IIH6,0.98286589940367,59.4774111543708,59.4949782115804,59.4438696041259,2022 North Platte LI,0.988602857866367,13.6873715126105,13.7289410615913,13.6571089061926,1.04643212285944,271.227950293083,274.89203453616,266.911146158683,1.07203426952857,118.102193804557,122.005758811747,114.190446332062,1.00941881630019,182.206855006434,190.38899676453,171.556344688747,1.04574393658799,2572.10242679739,2607.88391448066,2508.57804441934,0.84982115421206,2526.63878551892,2647.07383649002,2443.82958757472,0.89045205067069,-52.5413794230781,124.746523666248,-152.281715335328,1.01566298167593,16.1388282813789,16.2061550089232,16.0229088722045,1.04509477857573,4.19218215631817,4.22991852447554,4.10469656914251,1.02228634860064,16.5924198098211,16.934685837388,16.1682321913236,1.00582657611667,2.67972020295367,2.6883615737563,2.66624144507008,1.06969550661418,19.96561136106,21.3233971749665,18.2230958319645,1.05159213023762,138.06030513888,148.510582528293,123.890137555123,0.996000540330688,490.590754777957,513.52106233493,470.849106882697,1.07036937383886,27.7022340695578,28.7353554319292,26.01860915557,0.994473101257167,14.9440457159829,15.399917645113,14.3271248061627,1.02077354827357,32.7732224951792,34.1530619562596,31.3326346342557,2FACC,3IIH6,1989,1993,1989,1993,1991
4N506 X 3IIH6,0.997838507588405,59.5370393652977,59.5548740324272,59.5029868557347,2022 North Platte LI,1.0098235609968,13.5824567685075,13.6249186222709,13.5515445647496,0.966327810580334,287.155350166249,290.538948994158,283.168997113076,0.993825596916706,132.238450620193,135.857236822877,128.612078891845,0.981082539000886,178.379311156964,186.331764866834,168.02778061741,0.903900307807795,2637.69102503245,2668.61914863817,2582.78302434907,1.12595030540821,2579.22918483966,2738.79673826035,2469.51310957635,1.01748746431517,-58.4766541540871,144.103842833082,-172.446341124723,0.983173223384857,15.5778919723349,15.6430650040727,15.4656806766324,1.07519981007222,4.132062663954,4.17088606706287,4.04205696433361,1.01797920961692,16.7999588336241,17.1407828118551,16.3775584198864,1.00366827894247,2.63703574011653,2.64565856831288,2.623585904878,1.07283637664993,19.8587525987666,21.2205251815728,18.1111206465597,1.01937923947288,133.559468135535,143.689627454142,119.823368140692,1.0314434986769,469.836868386389,493.583157363752,449.392708418389,1.00442760650162,28.2954731688637,29.2649474854827,26.7155705820228,1.01855814396183,14.8786430112385,15.3455556561679,14.2467809567664,1.01690641827051,32.8949663531561,34.2695783878514,31.4598360597297,4N506,3IIH6,1989,1993,1989,1993,1991
B105 X 3IIH6,1.00583351186303,59.5485674369365,59.5665450011769,59.514242087673,2022 North Platte LI,1.00571322383334,13.555349634239,13.597638653319,13.5245632540258,0.943598055192918,282.056968082858,285.360978625254,278.164381170734,0.99797194754248,118.626864736762,122.26074891688,114.985363383325,0.995345840237974,170.61606410843,178.684133210816,160.114039606869,1.03313289080268,2646.89745467328,2682.24743903758,2584.13913831449,0.950048601000872,2584.45354373346,2719.09263940606,2491.87787382108,1.00811639735671,-61.7626343705098,138.952094763662,-174.682659693907,0.998286326275268,16.0653956503492,16.1315705062935,15.9514594695328,1.03961530934307,4.14534933386388,4.18288784889586,4.05832243674491,0.987945924089926,17.3256105998726,17.6563793002002,16.9156722011866,1.02305580965082,2.69341468933749,2.70220408187582,2.67970504804631,1.01440094114758,19.6948384470115,20.9824377675538,18.042396811285,1.02143403157203,136.59743072585,146.748009698424,122.83364247854,0.969281709485567,493.225514395144,515.540690750846,474.013458331774,1.09416284531717,26.9506758073791,28.0067626471548,25.2296252323529,0.984282424578652,15.2797254515859,15.7309259185813,14.6691263231395,0.952220830631999,34.0439766648125,35.3311493976786,32.7001352497925,B105,3IIH6,1996,1993,1993,1996,1994.5
B14A X MO17,0.965469255808476,59.0611637987568,59.0784199205342,59.0282159311248,2022 North Platte LI,0.998491989981418,14.3414099204541,14.3833952954246,14.3108445929682,1.14887107582365,282.20549980145,286.228274250259,277.466108395483,1.14454846578522,131.963908447999,136.131517140245,127.787563814771,1.06208726263668,178.058063449771,186.667124824527,166.851841447236,1.03213995019534,2687.61237908657,2722.9283886977,2624.91437953824,1.00691868025901,2654.4451451202,2797.14376115216,2556.32787904133,1.03222066365391,-45.9027834576685,159.611075314218,-161.522749351241,0.94054333619318,15.1140196006786,15.1763667631546,15.0066737292611,0.980153076461097,4.04824278343001,4.08363423127011,3.96619350983868,1.09083513743724,16.3479475052665,16.7131639729736,15.895316244215,1.00870464062254,2.58912340482301,2.59778950197824,2.57560607892424,1.08025477544997,19.4039228058611,20.7751117100319,17.6442064099689,1.02993719667589,133.08817650367,143.323256331155,119.209808400682,0.976068944672931,478.423845832199,500.895280527134,459.077260517262,1.09929757624411,27.4334906055873,28.4945334916965,25.7043634159583,1.02674057533133,15.0900563612311,15.5607198776207,14.4531183393963,1.02849583326079,34.194132715264,35.5844108417791,32.7426466193402,B14A,MO17,1962,1964,1962,1964,1963
B37 X H95,1.0299390100415,59.1291365001704,59.1475449092146,59.0939885200895,2022 North Platte LI,1.01592659405501,14.3031802864188,14.3458987653069,14.272081259726,0.983068154407577,284.304507795834,287.746722972288,280.249096479,0.998994120209133,129.51547293868,133.153079124303,125.870241777849,1.00097192377673,154.901927587516,163.015600568405,144.340541540667,0.936125024542778,2752.86067023512,2784.89140439837,2695.99515858154,1.01477515626366,2677.35775573483,2821.16977672663,2578.47493036928,0.948613994965842,-65.4382063489346,123.429667987489,-171.693314007669,0.973489046300261,16.3274591812664,16.3919902638893,16.2163531577912,0.98789057300118,4.05226480285025,4.08793563685133,3.96956781821687,1.00884634094417,15.7585712279674,16.0963374810461,15.3399604078378,1.00598426561399,2.64116883667768,2.64981156224012,2.62768796564794,1.04945057312066,19.5323461880386,20.8644347046012,17.8228093063991,0.979613119898571,126.619320413256,136.354300870874,113.419067504294,0.969102131301783,475.842503675969,498.153545713648,456.63400701757,1.0095857506836,26.0915523150892,27.0660052765339,24.5035362860414,1.0256408614835,14.4009617919169,14.8711211934414,13.7647059770384,0.961651656054175,32.4218516459438,33.7217725785356,31.0647007827659,B37,H95,1958,1968,1958,1968,1963
