genotype	earHt.sp	flagLeafHt.sp	tasselTipHt.sp	combineMoisture.sp	combineTestWt.sp	earLen.sp	earFillLen.sp	earWidth.sp	shelledCobWidth.sp	shelledCobWt.sp	shelledCobLen.sp	kernelsPerEar.sp	moistureCorrectedStarch.sp	moistureCorrectedProtein.sp	moistureCorrectedOil.sp	moistureCorrectedFiber.sp	moistureCorrectedAsh.sp	yieldPerAc.sp	GDDToAnthesis.sp	GDDToSilking.sp	kernelsPerRow.sp	kernelRows.sp	moistureCorrectedKernelMass.sp	moistureCorrectedHundredKernelWt.sp	ASI.GDD.sp
2369 X 3IIH6	1.18537673395391	2.22653840756104	1.0137274727861	-0.13534552574995	0.173992856212794	0.120214711162664	-0.121984475167296	-0.0320343160769429	-0.0892712999618851	0.113374586638487	0.031631888071302	3.17724362052836	-0.034967256253056	-0.172617004923803	-0.0297822001955103	0.196527785914428	0.058530339621278	2.39999805730573	2.05808705658645	2.76675234039103	0.00922736836797975	2.26536301553535	1.60468727339031	0.0141541176100827	1.73683766388309
2369 X LH123HT	1.02910382806463	2.03521096578158	1.01886313614176	0.466003517902518	0.243764068644753	-0.0019599413499829	0.105554704088156	-0.0461996186076692	-0.119105428436143	0.299643859323542	0.0388643849730133	2.76418906027835	0.132790266474671	0.208550678647674	-0.0944302884182508	-0.40125315434089	0.00431154627477602	2.61954300332111	2.61944837187113	3.95214132443981	0.0918391464368792	-1.02408949645111	1.58631094905942	0.2615854420653	1.07294525484577
2369 X PHN82	0.899983424571559	1.96834141862157	0.50956734306076	0.14416765582363	-0.0444577732037595	0.0490586970267843	-0.0625886652642464	-0.0266666108657446	-0.254595041226383	0.0596248681674478	-0.192285698379079	2.42511915538317	-0.166903878395586	-0.174025188519274	-0.0148218099804339	0.333760672797441	0.0610508988714658	2.02658305722457	2.58232999454999	3.21231742664437	0.0349798956481656	0.812188872994382	1.41919442707748	0.0271624402285077	0.848525675826044
2369 X PHP02	0.93450117793956	1.97688513620191	0.526099314619809	0.149921929803878	0.121714644491097	-0.0970271914936474	0.0169527745875824	0.0070635388124478	0.0147481047295108	0.268841352840276	0.0765238051260192	2.99302224815152	0.102054229703978	0.0554058169937377	-0.00314506346228537	-0.201659365546656	0.0038458443185382	2.32891916853249	2.06781194926558	2.15265210989852	0.0160314035147406	-0.279789695696073	1.52440362310165	0.226786931240268	2.0724728553388
2369 X PHZ51	1.04317203235234	1.9388880395521	0.860135829582172	0.290056664894055	-0.0696796497579763	-0.305529373645497	0.0242136015186596	0.0640277138954777	-0.0161568192689142	0.257324069967453	0.122920646162809	3.39874043949806	-0.086631566522155	0.0612656420601524	-0.0912277586316298	0.0386990729586863	0.0168402548704672	1.90292698911224	3.0655714633302	4.87171969094095	0.0826443475857233	-0.997441975778879	1.59287880068302	0.0423280790678396	1.04687011143725
2FACC X 3IIH6	0.798636576447398	1.86020009026217	0.459590382746219	-0.195961698183586	0.191767329867613	0.0279685952316611	0.0191557201111878	-0.0354765988617944	-0.0651793529445159	0.0121012573964222	-0.224077736111027	2.36713959048147	0.310206655060307	0.0316909487866419	0.0088660782251976	0.0338500309033941	0.0169536480257557	2.34922700808483	2.32682557216777	2.30406545752404	0.224270562965867	1.88918948316015	1.29791426729408	0.208858250512103	0.856376774962828
4N506 X 3IIH6	1.17842044033027	2.19070605862764	1.41698459881213	-0.0505539815542962	0.240162151196285	-0.534950933234538	0.102439961788433	0.0224860982580644	0.0553926667974261	0.117864710519572	-0.0647032530270177	2.53789852115097	0.142924251372492	-0.0493895860025859	-0.253161393445514	0.316267351720401	0.000393634386209395	2.26489946857556	2.00602393060481	3.40997086804368	0.159320506121526	-0.0404212364494349	1.48540275290124	0.239889562785185	2.02000431730894
B105 X 3IIH6	0.82130656867131	1.92411912674064	1.03490459446618	0.188667221070182	0.3985389158324	-0.137048465187385	-0.025135470218782	-0.0995616064467673	-0.12179781553891	-0.213147734898688	-0.366387609131209	1.82498286836473	0.0819136639082984	0.0249602631010224	-0.0690153624813004	0.139212389531061	-0.00850790056392245	2.1334580138223	2.3912592709785	2.94971134943782	-0.0452298190927198	0.848596250332877	1.08273358747672	0.0895702807020377	0.878906749407321
B14A X MO17	1.15447946452387	1.98845399839183	0.29048712732677	0.333588102109947	0.609285050095859	-0.0626905645762717	-0.00142287810711873	0.0428195605094945	-0.0558171890373252	0.22591911065458	-0.154883389041424	2.98454860411584	-0.124230534185283	-0.00223141460838772	0.0711903300267081	-0.47067776002369	-0.057332809799177	2.21320739227331	2.66176943685794	3.42434025804892	-0.000445623710917695	-1.67244759175006	1.67034301580348	0.301656505277052	0.422965995058987
B37 X H95	0.949079244665139	1.93161491723692	1.62942267694795	0.376823255081113	0.232560540183903	0.326371335603751	0.439927769424816	0.14946613720157	-0.252402167199305	0.614637027955491	0.33340541877846	4.12943863226766	0.244908522350397	0.291168014035719	-0.120073331173878	-0.142408248708013	-0.0234102303531076	1.72842249508849	2.64017639476954	4.14799661783154	0.515602964512904	2.04639298777971	1.56012719210869	-0.00826395791955501	1.18921393299017
