qr,loc,plot,field,nLvl,irrigation,rep,row,range,genotype,population,anthesisDate,silkDate,notes,leafDimHtDate,earHt,flagLeafHt,tasselTipHt,harvestDate,combineYield,combineMoisture,combineTestWt,harvestSeq,earFillLen,earWidth,shelledCobLen,shelledCobWidth,shelledCobWt,kernelsPerEar,kernelMass,kernelColor,kernelStriping,kernelsPerRow,kernelRows,hundredKernelWt,moistureCorrectedStarch,moistureCorrectedProtein,moistureCorrectedOil,moistureCorrectedFiber,moistureCorrectedAsh,pctMoistureNIR,latitude,longitude,yieldPerAc,plantDensity,pctRootLodge,pctStalkLodge,plantDate,totalStandCt,plotLen,daysToAnthesis,daysToSilk,moistureCorrectedKernelMass,moistureCorrectedHundredKernelWt,earLen,earWt,lbsNPerAc,ASI,GDDToAnthesis,GDDToSilk,ASI.GDD,exp,earHt.sp,flagLeafHt.sp,tasselTipHt.sp,combineMoisture.sp,combineTestWt.sp,earLen.sp,earFillLen.sp,earWidth.sp,shelledCobWidth.sp,shelledCobWt.sp,shelledCobLen.sp,kernelsPerEar.sp,moistureCorrectedStarch.sp,moistureCorrectedProtein.sp,moistureCorrectedOil.sp,moistureCorrectedFiber.sp,moistureCorrectedAsh.sp,yieldPerAc.sp,GDDToAnthesis.sp,GDDToSilk.sp,kernelsPerRow.sp,kernelRows.sp,moistureCorrectedKernelMass.sp,moistureCorrectedHundredKernelWt.sp,ASI.GDD.sp,daysToAnthesis.sp,daysToSilk.sp,ASI.sp
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT998$ROW6$RANGE32$B14A X MO17,North Platte2,998,Partial Irrigation,High,Partial,1,6,32,B14A X MO17,Hybrid,2022-07-26,2022-07-29,,NA,150,290,NA,2022-10-27 05:00:00,23.247459,16.669201,57.7239,NA,13.6,4,15.6,2.2,18.7,396.8,123.4,yellow,N,32.2,14.5,NA,68.07,8.35,3.37,1.05,0.83,0.03,NA,NA,203.805602593274,33000,0,1.51515151515152,2022-05-17 05:00:00,66,17.5,70,73,127.216494845361,32.8865979381443,NA,NA,225,3,1419.11,1485.61,66.5,NA,137.992564459188,286.535742369344,NA,15.3523085505909,58.5851272001458,NA,14.4930198204045,4.0579251844708,2.3882887756046,19.8756941103084,16.2722896821675,438.42682009473,69.2470922828632,8.6234109267011,3.53930130204161,0.922109945603101,0.870723615563772,191.362877457621,1383.82887908394,1446.64367307068,33.5989179794257,15.0022967068827,135.552923970075,31.2522746659289,65.9265104126028,68.4386046650013,71.2470122956904,2.86086244368445
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP2$PLOT1007$ROW15$RANGE32$2369 X PHZ51,North Platte2,1007,Partial Irrigation,High,Partial,2,15,32,2369 X PHZ51,Hybrid,2022-07-22,2022-07-26,,NA,160,320,NA,2022-10-28 05:00:00,21.824764,13.912223,59.007401,NA,15.8,4,17.6,2.5,26.7,542.5,153.9,yellow,N,37,15,NA,71.24,8.99,4.21,0.45,0.86,0.02,NA,NA,197.663340984054,32000,0,0,2022-05-17 05:00:00,64,17.5,66,70,157.040816326531,29.5918367346939,NA,NA,225,4,1324.76,1419.11,94.3500000000001,NA,143.603285926937,301.541725723829,NA,14.2855119341648,58.8279717107164,NA,15.714647988019,4.1091540084158,2.57560351639072,24.4988681604705,17.4104428050101,519.702139626968,70.8754868003989,9.03813092193048,4.04284238219813,0.597407994950117,0.89526612324514,197.21402493101,1329.761161928,1409.93426932342,36.0254153720374,15.4367027496484,156.598902052985,30.3557082828121,81.2124884816413,66.1266043274712,69.6040743859994,3.53638670107551
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP2$PLOT1001$ROW9$RANGE32$F42 X MO17,North Platte2,1001,Partial Irrigation,High,Partial,2,9,32,F42 X MO17,Hybrid,2022-07-25,2022-07-27,,NA,150,300,NA,2022-10-27 05:00:00,16.288277,15.810802,58.375401,NA,15.5,4.2,16.9,2.5,21.2,565.5,159.4,yellow,N,40.5,15.5,NA,69,8.72,3.7,1.13,0.99,0.03,NA,NA,144.266867134238,31000,0,1.61290322580645,2022-05-17 05:00:00,62,17.5,69,71,164.329896907216,28.7628865979381,NA,NA,225,2,1400.36,1443.31,42.9499999999998,NA,138.196480036788,291.537725082749,NA,14.9751452211995,58.8616019717865,NA,15.4747333207612,4.17500122081562,2.55072067560409,21.3334101219739,16.9413511598296,524.254997941248,69.7224108911493,8.83980119453563,3.73209161460001,0.963385723076699,0.954590571306118,161.491190527258,1372.15634075109,1424.34071220523,37.7199395476512,15.5637642273523,156.146117271987,29.4406902603024,54.6041825488582,67.834607479697,70.1993743949273,2.41921703757199
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT999$ROW7$RANGE32$PHN46 X PHK56,North Platte2,999,Partial Irrigation,High,Partial,1,7,32,PHN46 X PHK56,Hybrid,2022-07-24,2022-07-27,,NA,110,280,NA,2022-10-27 05:00:00,19.49563,14.594425,58.852699,NA,13.4,4.2,15.1,2.5,18.6,520.2,144.9,yellow,N,36.5,15,NA,70.59,7.68,2.74,0.77,0.88,0.03,NA,NA,175.16953496046,28500,0,0,2022-05-17 05:00:00,57,17.5,68,71,149.381443298969,28.3505154639175,NA,NA,225,3,1377.81,1443.31,65.5,NA,118.060561167646,281.536366672621,NA,14.3300171583631,59.1393955592862,NA,14.4051740875994,4.16361719774846,2.54243200496618,19.8949320183384,16.0301696691621,500.609028830531,70.5110135667266,8.29884596751555,3.23355227477361,0.782908924101334,0.897007632819861,176.758307153031,1362.41304786639,1425.1094273821,35.7377625378671,15.2727857833544,147.314081889742,29.0676572329979,65.5773200553771,67.4039402532653,70.2311364140833,2.88030217865009
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP2$PLOT1003$ROW11$RANGE32$PHK56 X 3IIH6,North Platte2,1003,Partial Irrigation,High,Partial,2,11,32,PHK56 X 3IIH6,Hybrid,2022-07-18,2022-07-22,,NA,130,290,NA,2022-10-27 05:00:00,20.688805,12.835376,60.305702,NA,12.4,4,15.1,2.5,15.6,416.5,120,yellow,N,30.2,16,NA,68.63,7.58,3.98,0.93,1.05,0.03,NA,NA,189.718966184816,32500,0,1.53846153846154,2022-05-17 05:00:00,65,17.5,62,66,123.711340206186,27.1134020618557,NA,NA,225,4,1235.16,1324.76,89.5999999999999,NA,128.332255524567,286.539192490061,NA,13.5602418992947,59.7377146841055,NA,13.9441452846103,4.0863853212956,2.55901235095541,18.6718922423572,16.0597557110808,451.201273822736,69.5460124957403,8.29083664578143,3.89066520500404,0.857609908817703,0.986656357423778,186.105587458937,1288.02460555629,1364.29684649296,32.5648802376577,15.8547430903627,137.197619286569,28.7827954511553,78.2315156577684,64.2652723141343,67.6676054641999,3.45820342764245
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT997$ROW5$RANGE32$PHK56 X LH185,North Platte2,997,Partial Irrigation,High,Partial,1,5,32,PHK56 X LH185,Hybrid,2022-07-23,2022-07-27,,NA,110,290,NA,2022-10-27 05:00:00,20.911966,13.334483,59.924099,NA,16.8,4.4,17.4,2.5,21.6,510.5,168,yellow,N,39,14,NA,70.04,8,3.07,1.08,0.82,0.03,NA,NA,190.667327092904,29500,0,0,2022-05-17 05:00:00,59,17.5,67,71,173.19587628866,34.1237113402062,NA,NA,225,4,1348.66,1443.31,94.6499999999999,NA,117.924550282272,286.53511996409,NA,13.663805339917,59.6961664590016,NA,16.0778309250941,4.2522331610218,2.53414625411086,21.2564567893694,17.1597520835267,494.808081515368,70.2278290239362,8.4380024042546,3.38006327108094,0.936180463196526,0.864557768327447,185.216217141241,1349.36968986126,1425.87782325981,37.0111164085148,14.731807707291,157.863787738646,31.7874074902501,79.8507515781382,66.9732672394144,70.2628837819659,3.34142904097619
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - LOW NITROGEN$REP1$PLOT613$ROW5$RANGE6$F42 X OH43,North Platte2,613,Partial Irrigation,Low,Partial,1,5,6,F42 X OH43,Hybrid,2022-07-26,2022-07-20,,NA,110,280,NA,2022-10-27 05:00:00,9.744423,13.961367,59.6264,NA,13.1,4.1,14.5,2.5,20.9,437.8,124,yellow,N,28.5,17,NA,71.21,10.9,3.84,0.68,0.87,0.03,NA,NA,88.2032752127428,32000,0,0,2022-05-17 05:00:00,64,17.5,70,64,127.835051546392,29.5876288659794,NA,NA,75,-6,1419.11,1282.71,136.4,NA,114.068907583798,277.628789874287,NA,13.723809211954,59.7241721207734,NA,13.8740048717194,4.04167160459898,2.54708044541502,19.7218572781665,15.396030935087,446.005774640137,70.5158110652535,10.5644642146403,3.85920520615885,0.772839124335064,0.894336842134051,124.430084989697,1410.21695597643,1296.15730980365,30.5086919260083,16.2424461207183,128.685231039381,28.7093050974739,108.186726193728,69.6152228332898,64.6033271848783,-4.73620522894533
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT1000$ROW8$RANGE32$PHK76 X LH198,North Platte2,1000,Partial Irrigation,High,Partial,1,8,32,PHK76 X LH198,Hybrid,2022-07-22,2022-07-26,,NA,130,260,NA,2022-10-27 05:00:00,20.764565,13.418367,60.003502,NA,13.6,4,14.9,2.5,22.2,428,133.9,yellow,N,32,14,NA,72.53,8.28,3.7,0.44,0.83,0.03,NA,NA,189.1401339403,30000,0,0,2022-05-17 05:00:00,60,17.5,66,70,138.041237113402,32.5773195876289,NA,NA,225,4,1324.76,1419.11,94.3500000000001,NA,128.128535137099,271.537023486498,NA,13.7572661644816,59.700146284138,NA,14.5154092850805,4.06930920644206,2.54657596663054,21.7641706407102,15.9357614662988,454.992514417272,71.4843928548061,8.6093100329696,3.72281622625133,0.618484501468861,0.873327360903333,183.672549015462,1335.12220015995,1412.62510035939,33.4778984624898,14.7932749539038,142.322708563811,31.2644830412553,80.1532026748782,66.3692743768829,69.7152568024193,3.39975230898196
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP1$PLOT993$ROW1$RANGE32$PHB47 X LH185,North Platte2,993,Partial Irrigation,High,Partial,1,1,32,PHB47 X LH185,Hybrid,2022-07-23,2022-07-26,,NA,100,290,NA,2022-10-26 05:00:00,21.208071,12.733832,60.108898,NA,14.1,4,14.9,2.4,15.6,398.8,114.7,yellow,N,35,14,NA,68.62,9.77,3.03,1.13,0.86,0.03,NA,NA,194.707265071451,33000,0,0,2022-05-17 05:00:00,66,17.5,67,70,118.247422680412,28.3505154639175,NA,NA,225,3,1348.66,1419.11,70.45,NA,112.652398442175,286.532174435133,NA,13.2173247440876,59.8598350780959,NA,14.6363284545061,4.0294650328834,2.46758197644248,17.9795119564648,15.8056555631579,437.858068695458,69.4873027148027,9.28159120298597,3.32319233042579,0.965365743581224,0.881658169404333,189.726562036219,1352.43276140187,1415.31363083244,35.0694573427282,14.6498522926141,127.67321908893,28.5671134798185,67.1478653889078,67.1119019038285,69.8263330866257,2.76369988560728
NORTH PLATTE$HIPS - PARTIAL IRRIGATION - HIGH NITROGEN$REP2$PLOT1008$ROW16$RANGE32$F42 X OH43,North Platte2,1008,Partial Irrigation,High,Partial,2,16,32,F42 X OH43,Hybrid,2022-07-20,2022-07-23,,NA,130,300,NA,2022-10-28 05:00:00,15.472416,17.535822,56.897301,NA,13.4,4,15.5,2.6,22.5,459.2,131.7,yellow,N,27.5,18,NA,70.79,10.15,3.96,0.41,0.88,0.04,NA,NA,134.232769287497,31500,0,0,2022-05-17 05:00:00,63,17.5,64,67,137.1875,30.2083333333333,NA,NA,225,3,1282.71,1348.66,65.95,NA,128.670952537349,291.542189117379,NA,16.1428571775844,57.7074130121189,NA,14.5397372566601,4.11484626298053,2.6297523888553,22.4681132281222,16.3990886541237,479.740973025823,70.656188525424,9.6287361657156,3.92713445273675,0.575011472454881,0.906402824264155,167.315026559925,1307.97031020975,1374.32492719377,31.301868674693,16.9571930038128,147.358690772344,30.7473805556635,67.1641038561905,65.0919380471203,68.0881939735224,3.05595588318262
