genotype,North Platte2,Scottsbluff
2369 X 3IIH6,1.637119070305,0.715653072161016
2369 X LH123HT,0.622780931400964,1.27277011094684
2369 X PHN82,0.903945289410446,0.386429947742636
2369 X PHP02,1.29909406335718,1.25541329043882
2369 X PHZ51,2.66489931071877,1.04442900479872
2FACC X 3IIH6,1.96295683647354,2.05284120818543
4N506 X 3IIH6,1.49043541463116,1.12987450723353
B105 X 3IIH6,1.21733767546276,0.55634389749364
B14A X MO17,1.73322659608025,-0.0721961262879782
B37 X H95,1.9820074156869,0.500698836439054
B37 X MO17,1.99587253525734,1.01519296950816
B37 X OH43,1.5313452559186,1.42328398614728
B73 X 3IIH6,1.5038247453851,3.18376732392023
B73 X MO17,0.504076077256188,2.16577314719244
B73 X PHM49,1.48357959592724,0.850066384432383
B73 X PHN82,1.27781077435607,1.14112023128676
B73 X PHZ51,0.439109098605481,1.83820534738565
B84 X 3IIH6,0.75934802009289,0.143625264161365
F42 X MO17,0.802814492146981,1.51570719457029
F42 X OH43,1.57219028756558,1.2874244483166
HOEGEMEYER 7089 AMXT,-1.676371889023,2.6004423200573
HOEGEMEYER 8065RR,2.33387763705509,0.372417734437953
LH123HT X 3IIH6,0.328429272343881,1.45876312752724
LH123HT X PHB47,1.66353843766088,1.18240430561715
LH145 X LH162,2.50175679381392,0.581816582532911
LH185 X LH145,1.97888647025553,0.863664608080019
LH185 X LH82,1.49559254049452,0.653672982733552
LH185 X W606S,0.0788206327275892,1.41205636283669
LH195 X 3IIH6,0.452788929190809,2.08371696075675
LH195 X LH123HT,0.244382276822587,0.240922160290015
LH195 X LH185,0.693057256868886,2.70747194067659
LH195 X PHM49,0.820660330560292,0.417687085883001
LH195 X PHZ51,-1.22477578230663,0.961662432142027
LH198 X PHB47,1.27536170844943,1.47715642527912
LH198 X PHZ51,1.65575945373324,0.598207550444573
LH74 X PHM49,0.163189294004376,0.753648458150646
LH74 X PHN82,0.893907564477892,2.26399216524615
LH82 X PHB47,0.256557977391736,0.156114383978424
LH82 X PHJ89,2.13012817547994,0.646344846826806
LH82 X W606S,0.631565813765435,0.135098370090643
N209 X 3IIH6,0.454074263092772,1.20196373244047
PHB47 X 3IIH6,1.80430079014001,1.53931792655099
PHB47 X LH185,2.44211110548753,1.23754410890854
PHB47 X PHJ89,0.591355975949871,1.97096005048791
PHB47 X PHK56,1.54739788568692,0.918014319339414
PHG39 X PHM49,-0.00485619298640259,1.24300466305163
PHG39 X PHN82,-0.884037255647698,1.61374103884091
PHJ40 X LH82,1.83760165249125,0.010017967662226
PHK56 X 3IIH6,0.346162282966613,0.652062110585156
PHK56 X LH145,1.06272353187527,1.40861787763394
PHK56 X LH185,1.94272815784035,0.81707598530657
PHK56 X LH198,1.22793691668242,2.2329774170065
PHK56 X LH82,-0.0238362963890766,0.813072840501498
PHK56 X PHJ89,0.804788941482693,0.839803601235727
PHK56 X W606S,0.0264406537551339,1.31735166012305
PHK76 X 3IIH6,0.671148213106424,1.3201741384432
PHK76 X LH145,1.61524544901576,0.803414483030327
PHK76 X LH198,0.438190139239227,-0.23342670383854
PHK76 X LH82,0.769070286054167,0.856121121946948
PHK76 X W606S,1.24892175270367,1.14992888831903
PHN46 X PHB47,0.332637232113761,1.04634382657939
PHN46 X PHK56,1.22588922876271,-0.370444128096615
PHN46 X W606S,1.02489305566192,0.471981572796823
PHP02 X LH145,0.687904471181759,-0.679053958504648
PHP02 X LH185,0.900073996925262,0.119673458430221
PHP02 X LH198,0.656095116135441,1.75881649824463
PHP02 X LH82,1.38016303318753,1.14500008552268
PHP02 X PHB47,1.60513447973316,1.35083796334789
PHP02 X PHG47,1.08232644542912,0.86478659274133
PHP02 X PHJ89,-0.232831499699819,0.885070236223018
PHP02 X PHK56,0.46474628729531,1.96793930622043
PHP02 X PHK76,1.70765922980744,1.06056151998034
PHP02 X PHN46,1.49495213473079,1.57362570187723
PHP02 X W606S,1.50567644896365,1.9264717022109
PHT69 X 3IIH6,0.839643851067566,2.58493948549994
PHW52 X LH185,0.982046118151338,1.6725868240448
PHW52 X PHM49,1.91682416486158,0.278192252057857
PHW52 X PHN82,0.603418109376094,2.27524981537933
PHW52 X PHZ51,1.60842190915501,1.17016072114308
PHZ51 X LH145,2.07723120311144,0.734845783780699
PIONEER 1311 AMXT,1.29024470813276,1.93053942210071
PIONEER P0589 AMXT,0.52374847528333,3.08435979736318
SYNGENTA NK0760-3111,-2.6328360011928,1.78089668518524
WF9 X H95,1.078627615406,-1.74329405938427
