,plantDensity.sp,kernelRowNumber.sp,kernelsPerRow.sp,hundredKernelMass.sp,environment,0
0,,,,,,0.295272678074545
1,,,,,,0.20673103017840402
2,,,,,,0.14531972381709624
3,,,,,,0.3526765679299548
4,,,,,,2022:Missouri Valley:0:Medium
0,,,,,,0.25563765234189084
1,,,,,,0.07624103077079263
2,,,,,,0.07418881548854388
3,,,,,,0.5939325013987727
4,,,,,,2022:Missouri Valley:0:Medium
0,,,,,,0.2691398901704511
1,,,,,,0.09789509197273816
2,,,,,,0.043378330919945564
3,,,,,,0.5895866869368651
4,,,,,,2022:Missouri Valley:0:Medium
0,,,,,,0.21495720409438798
1,,,,,,0.2144129946464896
2,,,,,,0.11555057015424076
3,,,,,,0.4550792311048817
4,,,,,,2022:Missouri Valley:0:Medium
0,,,,,,0.2779603520471653
1,,,,,,0.18994113916051195
2,,,,,,0.19596432096063846
3,,,,,,0.3361341878316842
4,,,,,,2022:Missouri Valley:0:Medium
0,,,,,,0.06613404875869817
1,,,,,,0.1986604722650356
2,,,,,,0.27248179336278056
3,,,,,,0.46272368561348565
4,,,,,,2022:North Platte:8.6:Low
0,,,,,,0.05037634024850357
1,,,,,,0.1495726839145193
2,,,,,,0.6120259917099031
3,,,,,,0.18802498412707405
4,,,,,,2022:North Platte:8.6:Low
0,,,,,,0.06634346096401232
1,,,,,,0.15251947277337236
2,,,,,,0.46491949831085155
3,,,,,,0.31621756795176387
4,,,,,,2022:North Platte:8.6:Low
0,,,,,,0.08246103359550992
1,,,,,,0.09893482218157218
2,,,,,,0.6434036658170861
3,,,,,,0.1752004784058319
4,,,,,,2022:North Platte:8.6:Low
0,,,,,,0.11223838733222538
1,,,,,,0.08444831214494196
2,,,,,,0.5428032883819713
3,,,,,,0.26051001214086134
4,,,,,,2022:North Platte:8.6:Low
0,,,,,,0.1638262762098166
1,,,,,,0.1405670433556963
2,,,,,,0.11829839802415312
3,,,,,,0.5773082824103339
4,,,,,,2022:North Platte:8.6:Medium
0,,,,,,0.06749692710675859
1,,,,,,0.13482071657110203
2,,,,,,0.03931194758956096
3,,,,,,0.7583704087325785
4,,,,,,2022:North Platte:8.6:Medium
0,,,,,,0.09889314930028932
1,,,,,,0.12779730785739565
2,,,,,,0.1338205575975079
3,,,,,,0.6394889852448071
4,,,,,,2022:North Platte:8.6:Medium
0,,,,,,0.0586644835235575
1,,,,,,0.1356428376978971
2,,,,,,0.08965105520425619
3,,,,,,0.7160416235742892
4,,,,,,2022:North Platte:8.6:Medium
0,,,,,,0.13554331748121123
1,,,,,,0.20828146025913383
2,,,,,,0.10217311299786407
3,,,,,,0.5540021092617908
4,,,,,,2022:North Platte:8.6:Medium
0,,,,,,0.2689628667450372
1,,,,,,0.16532697970367977
2,,,,,,0.2620899840461042
3,,,,,,0.3036201695051787
4,,,,,,2022:North Platte:8.6:High
0,,,,,,0.35906783140997783
1,,,,,,0.17376842331642608
2,,,,,,0.21620618125116536
3,,,,,,0.2509575640224307
4,,,,,,2022:North Platte:8.6:High
0,,,,,,0.33509296138479316
1,,,,,,0.12895328224420746
2,,,,,,0.23842986428223883
3,,,,,,0.2975238920887607
4,,,,,,2022:North Platte:8.6:High
0,,,,,,0.4505113078948823
1,,,,,,0.0499560510320902
2,,,,,,0.22571881054974227
3,,,,,,0.27381383052328534
4,,,,,,2022:North Platte:8.6:High
0,,,,,,0.7315203917675758
1,,,,,,0.10840992684925438
2,,,,,,0.04459197914732234
3,,,,,,0.1154777022358475
4,,,,,,2022:North Platte:8.6:High
0,,,,,,0.1335880292713551
1,,,,,,0.23979137608159884
2,,,,,,0.14474126995458428
3,,,,,,0.48187932469246186
4,,,,,,2022:North Platte:4.3:Low
0,,,,,,0.23370199839421305
1,,,,,,0.1712495126394015
2,,,,,,0.30795023659223825
3,,,,,,0.2870982523741472
4,,,,,,2022:North Platte:4.3:Low
0,,,,,,0.21209502091185656
1,,,,,,0.18302954621807443
2,,,,,,0.24950920985485678
3,,,,,,0.3553662230152121
4,,,,,,2022:North Platte:4.3:Low
0,,,,,,0.3195701039826854
1,,,,,,0.15707350263380387
2,,,,,,0.24847790603113507
