qrCode,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,row,range,plotNumber,genotype,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,flagLeafHeight,plantDensity,combineYield,yieldPerAcre,combineMoisture,combineTestWeight,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,kernelColor,percentLodging,harvestDate,notes,moistureCorrectedKernelMassPerEar,moistureCorrectedHundredKernelMass,earHeight.sp,flagLeafHeight.sp,combineMoisture.sp,combineTestWeight.sp,earFillLength.sp,earWidth.sp,shelledCobWidth.sp,shelledCobMass.sp,earLength.sp,kernelsPerEar.sp,percentStarch.sp,percentProtein.sp,percentOil.sp,percentFiber.sp,percentAsh.sp,yieldPerAcre.sp,GDDToAnthesis.sp,GDDToSilk.sp,kernelsPerRow.sp,kernelRowNumber.sp,moistureCorrectedKernelMassPerEar.sp,moistureCorrectedHundredKernelMass.sp,anthesisSilkingIntervalGDD.sp,daysToAnthesis.sp,daysToSilk.sp,anthesisSilkingInterval.sp
22-A-1583799,Ames,Ames B1,0,Medium,150,LC_4232,17.5,65,1,17,2,1583799,B73 X 3IIH6,2022-05-22,,,NA,NA,NA,NA,NA,NA,102,193,32500,15.27,137.19,14.6,NA,16.824,NA,4.874,2.704,NA,18,610,27.406,167.3,21.667,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor,177.060371170116,29.0048806472695,96.9342426333276,190.755935179272,14.6,NA,NA,4.72749839349529,2.599198857486,20.772409095681,16.7736550918578,566.338549683701,NA,NA,NA,NA,NA,137.148893982235,NA,NA,NA,16.7442061344352,164.969863377724,30.1226267345118,NA,NA,NA,NA
22-A-1583800,Ames,Ames B1,0,Medium,150,LC_4232,17.5,70,1,18,2,1583800,2369 X 3IIH6,2022-05-22,,,NA,NA,NA,NA,NA,NA,100,192,35000,12.66,119.07,10.6,NA,15.124,NA,4.593,2.511,NA,16.5,464,26.415,122.6,14.367,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor,129.752549345225,27.9560651790711,95.0189237375663,190.190500427372,10.6,NA,NA,4.57010000574177,2.49586297948174,16.8883801631059,15.6997707239205,481.595164746008,NA,NA,NA,NA,NA,122.344366289786,NA,NA,NA,15.9396575229228,137.324912147492,29.3161434920889,NA,NA,NA,NA
22-A-1583801,Ames,Ames B1,0,Medium,150,LC_4232,17.5,63,1,19,2,1583801,PHW52 X LH185,2022-05-22,,,NA,NA,NA,NA,NA,NA,67,167,31500,10.71,99.15,12,NA,16.234,NA,4.649,2.45,NA,14.5,388,36.621,142,17.8,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor,150.284355685334,38.7574886588213,77.5072912804752,177.697286048197,12,NA,NA,4.57724689550914,2.46324445200735,18.3759263145547,16.0308865033259,434.069363204522,NA,NA,NA,NA,NA,106.619372832121,NA,NA,NA,14.8854571498372,143.600634585127,34.4347212551663,NA,NA,NA,NA
22-A-1583802,Ames,Ames B1,0,Medium,150,LC_4232,17.5,61,1,20,2,1583802,LH195 X 3IIH6,2022-05-22,,,NA,NA,NA,NA,NA,NA,84,179,30500,12.72,115.09,14,NA,13.438,NA,4.538,2.461,NA,17,399,29.239,116.6,16.8,NA,NA,NA,NA,NA,NA,,8.2,2022-10-16,Check;Tattoo sensor,123.402506147253,30.9448188442499,85.2697924116269,183.847255112935,14,NA,NA,4.49506880188728,2.46841179356982,17.6321200640448,14.4090025232882,431.03286440378,NA,NA,NA,NA,NA,108.778259843118,NA,NA,NA,16.0815562287295,126.16897960815,30.2461291025319,NA,NA,NA,NA
22-A-1583804,Ames,Ames B1,0,Medium,150,LC_4232,17.5,66,1,22,2,1583804,2369 X LH123HT,2022-05-22,,,NA,NA,NA,NA,NA,NA,90,186,33000,8.27,77.09,11.4,NA,15.99,NA,4.202,2.559,NA,13.5,358,27.135,97.2,20.867,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor,102.870699807144,28.7180703628278,88.4494401794007,187.86329701238,11.4,NA,NA,4.27264250427054,2.54317731786402,19.1623073609397,15.2372353111353,390.024863680132,NA,NA,NA,NA,NA,77.9869076609765,NA,NA,NA,14.2238920089135,107.919220382429,28.5680811104247,NA,NA,NA,NA
22-A-1583805,Ames,Ames B1,0,Medium,150,LC_4232,17.5,64,1,17,3,1583805,PHW52 X PHN82,2022-05-22,,,NA,NA,NA,NA,NA,NA,78,192,32000,18.92,155.26,22,NA,17.59,NA,5.008,2.681,NA,16,590,35.045,206.8,26.8,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor,218.86482222343,37.0895439788207,85.7818036236272,192.96960229331,22,NA,NA,4.7935116010356,2.58900836721316,23.3608829837305,17.1491930205907,555.798175607138,NA,NA,NA,NA,NA,144.321169074954,NA,NA,NA,15.7365923454487,185.85256434168,33.9960061901884,NA,NA,NA,NA
22-A-1583806,Ames,Ames B1,0,Medium,150,LC_4232,17.5,70,1,18,3,1583806,LH145 X LH162,2022-05-22,,,NA,NA,NA,NA,NA,NA,80,184,35000,16.63,133.32,23.8,NA,16.887,NA,4.332,2.292,NA,13.5,443,32.363,143.4,19.8,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor,151.766032431528,34.2510746693272,86.1123509706926,188.544335754472,23.8,NA,NA,4.43789387288176,2.38987598003581,19.6289562570298,16.5847469241777,470.833401632147,NA,NA,NA,NA,NA,128.599546871588,NA,NA,NA,14.435797953222,148.436414829333,32.3053760422216,NA,NA,NA,NA
22-A-1583807,Ames,Ames B1,0,Medium,150,LC_4232,17.5,63,1,19,3,1583807,LH74 X PHN82,2022-05-22,,,NA,NA,NA,NA,NA,NA,87,163,31500,15.11,131.3,17.4,NA,15.074,NA,4.831,2.597,NA,16,470,30.879,145.2,18.933,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor,153.671045390919,32.6804973183622,88.7542859685797,177.672718025823,17.4,NA,NA,4.66638343352793,2.54197606233592,18.9655359026971,15.4653009644681,475.125387988152,NA,NA,NA,NA,NA,122.800300035831,NA,NA,NA,15.6353415427643,145.523076894017,31.2486542844096,NA,NA,NA,NA
22-A-1583808,Ames,Ames B1,0,Medium,150,LC_4232,17.5,68,1,20,3,1583808,PHB47 X PHJ89,2022-05-22,,,NA,NA,NA,NA,NA,NA,71,179,34000,9.14,91.06,5.3,NA,15.558,NA,4.23,2.285,NA,15.5,522,25.639,133.8,18.167,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Check;Tattoo sensor,141.605963314773,27.1347929254668,79.7564045176413,185.403036619826,5.3,NA,NA,4.33998748777361,2.38445392727434,18.3285752877674,15.494355214239,493.052860493013,NA,NA,NA,NA,NA,97.8132485327742,NA,NA,NA,15.335116308188,135.624428648981,28.2042946170635,NA,NA,NA,NA
22-A-1583810,Ames,Ames B1,0,Medium,150,LC_4232,17.5,66,1,22,3,1583810,B37 X OH43,2022-05-22,,,NA,NA,NA,NA,NA,NA,82,179,33000,4.42,44.04,5.3,NA,14.027,NA,4.521,2.663,NA,15.5,406,25.957,105.3,17.333,NA,NA,NA,NA,NA,NA,,0,2022-10-16,Severe bend in ear. String used to measure ear length;Check;Tattoo sensor,111.443258124406,27.4713452149593,84.6134536137006,184.962693321663,5.3,NA,NA,4.43353994699083,2.59379121583462,17.3797952379237,14.3029643456118,415.88162902659,NA,NA,NA,NA,NA,64.3158516879128,NA,NA,NA,15.2351232397608,112.808959633899,27.8294651586247,NA,NA,NA,NA
