genotype,combineTestWeight.sp.b,combineTestWeight.sp.mu,combineTestWeight.sp.FWB,combineTestWeight.sp.FWW,combineMoisture.sp.b,combineMoisture.sp.mu,combineMoisture.sp.FWB,combineMoisture.sp.FWW,flagLeafHeight.sp.b,flagLeafHeight.sp.mu,flagLeafHeight.sp.FWB,flagLeafHeight.sp.FWW,earHeight.sp.b,earHeight.sp.mu,earHeight.sp.FWB,earHeight.sp.FWW,yieldPerAcre.sp.b,yieldPerAcre.sp.mu,yieldPerAcre.sp.FWB,yieldPerAcre.sp.FWW,GDDToAnthesis.sp.b,GDDToAnthesis.sp.mu,GDDToAnthesis.sp.FWB,GDDToAnthesis.sp.FWW,GDDToSilk.sp.b,GDDToSilk.sp.mu,GDDToSilk.sp.FWB,GDDToSilk.sp.FWW,anthesisSilkingIntervalGDD.sp.b,anthesisSilkingIntervalGDD.sp.mu,anthesisSilkingIntervalGDD.sp.FWB,anthesisSilkingIntervalGDD.sp.FWW,kernelRowNumber.sp.b,kernelRowNumber.sp.mu,kernelRowNumber.sp.FWB,kernelRowNumber.sp.FWW,earWidth.sp.b,earWidth.sp.mu,earWidth.sp.FWB,earWidth.sp.FWW,earLength.sp.b,earLength.sp.mu,earLength.sp.FWB,earLength.sp.FWW,shelledCobWidth.sp.b,shelledCobWidth.sp.mu,shelledCobWidth.sp.FWB,shelledCobWidth.sp.FWW,shelledCobMass.sp.b,shelledCobMass.sp.mu,shelledCobMass.sp.FWB,shelledCobMass.sp.FWW,kernelMassPerEar.sp.b,kernelMassPerEar.sp.mu,kernelMassPerEar.sp.FWB,kernelMassPerEar.sp.FWW,kernelsPerEar.sp.b,kernelsPerEar.sp.mu,kernelsPerEar.sp.FWB,kernelsPerEar.sp.FWW,hundredKernelMass.sp.b,hundredKernelMass.sp.mu,hundredKernelMass.sp.FWB,hundredKernelMass.sp.FWW,earFillLength.sp.b,earFillLength.sp.mu,earFillLength.sp.FWB,earFillLength.sp.FWW,kernelsPerRow.sp.b,kernelsPerRow.sp.mu,kernelsPerRow.sp.FWB,kernelsPerRow.sp.FWW,earParent,pollenParent,earParentAge,pollenParentAge,oldestParentAge,youngestParentAge,meanParentAge
'IOWA I 205' X I159,0.672150512632746,57.9609028380815,59.508059735587,56.361872239323,0.950282188997488,14.9396189186422,20.9129254565767,11.2221745949451,1.0161902742999,240.977675548199,291.367727737041,176.928142517162,1.04422774811536,113.668605894163,145.462745724977,72.5033158807894,1.03663157582678,127.068098223629,176.241623002174,57.2058676947495,0.996646692180786,2229.45275214463,2888.44075998352,1356.77180816677,0.994470471408866,2241.33831347665,2757.67676344807,1407.51842212163,0.99810855781535,7.7676519465186,198.99859966687,-173.463158450955,1.01217134798211,15.7339916806837,16.5608996116571,15.0891332150428,0.935573317524677,4.2590390299238,4.64566433313107,3.65063032965876,0.966955154488701,14.9262944482176,16.1244506215426,13.4165123528283,0.921306407025373,2.50199067512486,2.79050041595313,2.33537374555399,0.927721469502809,18.4402186908546,23.7807690917398,13.0520606290483,0.909020084020701,116.521146060539,143.291827087598,63.8439685707269,0.901379357879388,449.512130281142,543.478497460667,338.439061680329,0.973653935868635,26.4306973405467,30.165458149042,19.5214311589373,0.993031587541485,13.3780788785935,15.5878211015004,11.2276336527016,0.932831149646991,31.301110793129,36.4510433611178,26.336880541642,'IOWA I 205',I159,NA,1998,1998,1998,1998
2369 X 3IIH6,1.2158500074102,57.669777230147,60.4684223102924,54.7772980475686,0.79465916236661,13.7332494077112,18.7283369984843,10.6245926038515,1.04955351061909,242.71779434046,294.762236717666,176.56540738463,1.07194782788241,109.520157437056,142.158304807245,67.262093242126,1.02117687491735,156.752663630294,205.193081164341,87.931979493467,1.00286377497023,2207.0612580823,2870.16003359255,1328.93652974229,1.00085864527564,2214.92966285435,2734.58491295946,1375.75356777817,1.00626684376014,8.03488066412286,200.828901600087,-174.677264365392,1.11698040523046,16.1604034964895,17.0729366932336,15.4487707559423,0.911542512501255,4.34976918334789,4.7264637658896,3.75698785356977,0.934221431156066,16.3829800448857,17.5405757925231,14.9243076510929,1.04065657275132,2.55028623520232,2.87617082235623,2.36208500099034,0.989203791334427,18.5789739250538,24.2734553810015,12.8337297345702,0.957789816947693,132.876384132794,161.083335916588,77.3730293970814,0.973386340091741,510.183878074341,611.656778957916,390.237701380808,0.909017079391694,25.8261766571084,29.3130021474571,19.3755880713979,0.972925011366226,14.6139064879299,16.7789065788744,12.5070027679553,0.968291482963359,33.8081015111413,39.1538019043006,28.6551626606292,2369,3IIH6,1988,1993,1988,1993,1990.5
2369 X LH123HT,0.957938256682689,57.8313347215613,60.0363182086762,55.5524216576447,1.06085822956025,15.5444298066364,22.2127978680634,11.3944189473498,0.946649755231677,251.532904654681,298.474635723248,191.86644621676,1.05706354073084,115.667489408135,147.852447224768,73.9961899284147,1.0796895861565,147.690408112343,198.906427242052,74.9263475467215,1.03577425099941,2289.53459419878,2974.39394866409,1382.59288837494,1.04574983127296,2301.93478880595,2844.89796615639,1425.1194023609,1.00525341147646,9.85620344099731,202.456057505493,-172.671928384126,1.03649890001319,15.2433487922122,16.0901314664844,14.5829911446325,1.02717015649129,4.30637781182437,4.73085547248449,3.63840316124824,1.09229836112211,16.4249195780264,17.7783887833106,14.7194294104734,1.1271441444135,2.61235063743406,2.96531905543388,2.40850825112925,1.24588274389085,21.8521750945019,29.0242626294688,14.6161528925382,1.10509861483302,135.837262136544,168.382464427659,71.7974494848589,1.11560518375844,509.574343223805,625.873175017615,372.10315528963,1.05182608661944,26.5152324130533,30.5498474861745,19.0512391588888,1.08282941051312,14.7121123149593,17.1216770243158,12.3672067092289,1.08417234813515,34.5548067771305,40.5402570776346,28.7851868727407,2369,LH123HT,1988,1983,1983,1988,1985.5
2369 X PHN82,0.781365640900002,58.2085173109824,60.007065728445,56.3496664358656,0.991411134130923,15.1255414815558,21.3573773276351,11.2472033040159,1.01420503238541,238.139518700834,288.431128259189,174.215113631354,1.04252088955246,105.941497238452,137.683667467885,64.8434945844503,1.00307103292152,154.672702807714,202.254253902825,87.0722347408274,1.01489422981435,2244.09382474968,2915.1471999524,1355.43502373155,1.00920083434642,2248.26405661226,2772.25064997794,1402.09340173299,1.02517696024892,5.38816440315052,201.805237630708,-180.757570799635,1.01628604972957,15.7841798571211,16.6144493528288,15.13669989833,1.01800239053085,4.34508309901093,4.76577218401611,3.68307029927839,0.98329716847818,16.2497901415956,17.4681957389556,14.7144919920136,1.08108411478767,2.62617879228517,2.9647233800494,2.43066629563886,1.02917489946485,20.4272916246623,26.3518720106953,14.4498973162908,1.01651089482964,136.639939768172,166.57622985062,77.7337332183396,1.04594718459862,514.74953824839,623.786711486537,385.862003413922,0.95849457612626,26.4166069798829,30.093219219814,19.6149150068751,0.949732686405974,14.5195170455421,16.6329084461337,12.4628371302418,0.888880789020555,34.5653066831005,39.4726000621529,29.8349662517252,2369,PHN82,1988,1989,1988,1989,1988.5
2369 X PHP02,0.936253850510291,58.1545846315286,60.3096549251736,55.9272582707892,0.981533113756413,14.1075685313961,20.2773128804779,10.267872550033,0.997546287725927,239.98773091902,289.453279616508,177.113311116382,1.00448319770469,108.75558621906,139.339603262436,69.1570961179272,0.993347217381575,150.453381612239,197.573675018944,83.5082355119158,1.00668087708583,2193.69753598633,2859.32019938846,1312.23048754068,0.991430232729857,2202.08375110514,2716.84368047469,1370.81296659432,1.03604205115543,7.97504000586107,206.473792240026,-180.14351590326,1.03534327236144,15.4094758622224,16.2553144298743,14.7498544697005,0.970873509944698,4.30843704295191,4.70965013670645,3.67707242486935,1.00066658653142,16.3710491192008,17.6109771991402,14.8086307497591,1.090206999852,2.56922698243002,2.91062842778848,2.37206462523064,1.16983179294632,19.5533112680686,26.2876015223796,12.7589890352339,1.03154280382674,131.8889199557,162.26790041217,72.1116231492603,1.04332656617882,492.701436236644,601.465417071926,364.136828843297,0.974185322978212,26.7237181884433,30.4605173020057,19.8106811650079,1.07113494278456,14.4746833567257,16.8582249672821,12.1551025368448,1.04728018440682,33.5874100808863,39.3691877708005,28.0141185209051,2369,PHP02,1988,1988,1988,1988,1988
2369 X PHZ51,0.776240773322435,58.5549138319255,60.341665822736,56.7082548988173,1.06311836177364,14.4413346950371,21.1239095496496,10.2824823402824,1.00823752808194,250.945561509506,300.941259110332,187.397282716438,1.06118982041389,115.434885811788,147.745478590201,73.6009211470684,1.03953760540585,143.810983792914,193.122358624309,73.7529057584103,1.01781675663513,2265.78958190723,2938.77534713601,1374.57176626057,1.02676577954307,2268.79255237865,2801.8990309872,1407.89446102279,0.965553573410721,3.58665290167563,188.580282574835,-171.733010697255,1.14647421349112,15.0907851079764,16.0274136953023,14.3603617427204,1.06045416725005,4.19619981385242,4.63443207878622,3.5065803799696,0.982311199963702,16.6523494586667,17.8695333403589,15.118590778214,1.02910221916913,2.54870035192448,2.87096666015185,2.36258870582604,1.09867834963257,21.1839555057101,27.5086416248302,14.8028887723107,1.01485955669728,132.527141265401,162.414799367999,73.7166287859456,1.07648830202447,495.958316987499,608.179319352666,363.30733272263,0.988399436733301,26.5333789059405,30.3247007950234,19.5194753509258,0.925298430012124,14.7793015153608,16.8383206193244,12.775534851431,0.908475161622639,34.3513706755435,39.3668397921353,29.5167552344122,2369,PHZ51,1988,1986,1986,1988,1987
2FACC X 3IIH6,1.10995276071501,57.6915690400433,60.2464597042178,55.0510169699305,0.73275491383896,13.4659067384391,18.0718751215311,10.5994154723179,0.981318288705128,231.791875541739,280.452722857744,169.940291506769,0.967740340474228,103.540897189519,133.00618554303,65.3908749887469,0.988510144721865,153.948052756094,200.838895393756,87.3288939140388,0.949531312559212,2149.37767602538,2777.21274832655,1317.95176684232,0.964327548006752,2151.21681283152,2651.90477262297,1342.67044124292,0.933223326255601,6.43115706795577,185.230526853153,-163.018166229418,1.08386148248067,16.0504087920501,16.9358850088256,15.3598762513363,0.89292509812408,4.35983900940507,4.72883995282339,3.77916469109397,0.883540997257487,16.1943197954458,17.2891173104449,14.8147786946933,1.06923216052726,2.5821546556596,2.91698776999229,2.38878556777852,0.973835690436189,19.6807401752314,25.2867531413241,14.0247531157635,0.93769651754841,129.871150311147,157.486353553346,75.5321904193085,0.859870464503924,487.800010722948,577.439187711086,381.841903010837,0.959621193592605,26.5427942698455,30.2237280110868,19.7331075672186,0.984339555044301,14.2368455244961,16.4272458136187,12.1052232041606,0.992641051584121,32.1973559426085,37.677484347208,26.9148364437619,2FACC,3IIH6,1989,1993,1989,1993,1991
4N506 X 3IIH6,1.19137953082458,57.6348611688636,60.3771800751489,54.8005966868488,0.839889546065676,13.733384612262,19.0127824319239,10.4477893841242,1.04772022893152,248.54768372699,300.501218759135,182.510846820175,1.07732373068571,114.311098779144,147.11292902958,71.841107063249,0.992517530303529,150.074651040061,197.155587515101,83.1854204561704,1.00231913494877,2214.2159554801,2876.95461215832,1336.56812328773,1.00428597564223,2223.47602998713,2744.91078234987,1381.42626865733,0.992276001725451,9.81413448336267,199.927603328325,-170.357633930567,1.02031245369784,15.6461055641292,16.4796644884315,14.9960603670608,0.952961715778766,4.3420352954135,4.73584634731769,3.72231881992305,1.01845840716613,16.3977286105419,17.6597025729911,14.8075304913218,0.907892457735435,2.56049295299814,2.84480207717639,2.39630191673167,1.06552890352809,19.7986013378181,25.9324583196356,13.6100648639243,0.977181779557764,132.016134023101,160.794179949531,75.3890264966161,0.904699630015367,487.669429505976,581.981926101422,376.187218171297,0.970094372228368,26.8841203439356,30.6052273086069,20.0001136223612,0.961937644958917,14.2768181372869,16.4173686057084,12.1937079500983,0.900200014858046,32.813073216825,37.7828572725738,28.0224954709614,4N506,3IIH6,1989,1993,1989,1993,1991
66 X A344,0.968771873189389,57.9775736621531,60.2074939814035,55.672887673923,0.91378881276461,13.6062809522208,19.3501965520034,10.0315964275603,1.00195990410656,228.142185155672,277.826592826117,164.989579195081,0.998966477959505,98.7972071395784,129.213253776783,59.4161958103346,1.08024831406641,136.544164814776,187.786687691199,63.7424496195293,1.02103446023336,2196.33071354376,2871.44404122838,1302.29542141765,1.02350102617988,2202.19167607007,2733.60306393479,1344.03093727807,0.997508965548278,7.60571816205084,198.721788000051,-173.516221720669,0.978187605907435,15.6183905237624,16.4175349481894,14.9951832378498,1.01188462388785,4.31681134903148,4.73497226939258,3.6587769680739,1.00186664418806,16.1053358761048,17.3467509500201,14.541043763548,0.972541309294912,2.64888275918285,2.95343685644068,2.47300007172956,0.978167154006811,21.0190076400494,26.6499552446829,15.33786366536,0.977931525513538,126.068008441595,154.868134419045,69.3974535793703,0.936330275307965,481.046376259879,578.656282324166,365.666457701531,1.00585552690121,25.9667360747052,29.8250163758347,18.8289601981015,0.989616832270666,14.0827458442333,16.2848893875035,11.9396953923463,0.970798303883169,32.6547309058637,38.0142708440488,27.4884515528931,66,A344,2002,1996,1996,2002,1999
66 X B7,1.17158364952831,57.2957289394139,59.9924816611704,54.5085584033639,1.15324563494515,15.8052016906794,23.0543007170744,11.293777095867,1.01312549488495,240.803222754815,291.041301048047,176.946859935436,0.953114212658794,104.355802299214,133.375761409381,66.7823677196595,0.999244925792923,138.180864825628,185.580921185213,70.8382515110758,0.994479619447291,2241.81433874292,2899.36946675118,1371.0309208328,0.989985954951394,2256.75750766989,2770.76755439245,1426.69768675724,1.01407560562195,9.39687879850631,203.68700646521,-174.733136290667,1.00736354260241,16.4282815261275,17.2512616513918,15.7864861327681,0.99152295179291,4.37360637617376,4.78335284359991,3.72881330749225,0.978842986017195,16.4858437864368,17.6987301969059,14.9575002974695,0.957829471799667,2.68354814335514,2.98349518655311,2.51032607040872,0.808081499123357,23.3957157386802,28.0475429475558,18.7024204046491,1.00689829525037,133.807801567549,163.461000174131,75.4586394912965,1.11052393291848,528.220927615477,643.990052712562,391.375880182735,0.911120175040363,25.3311713168802,28.8260639026473,18.8656586938842,0.980900174955059,14.7156486181661,16.8983954313075,12.5914743977558,0.975449041212467,33.9326221713175,39.3178376925343,28.741593075641,66,B7,2002,1968,1968,2002,1985
