genotype,combineTestWeight.sp.b,combineTestWeight.sp.mu,combineTestWeight.sp.FWB,combineTestWeight.sp.FWW,locationYear,blockSet,combineMoisture.sp.b,combineMoisture.sp.mu,combineMoisture.sp.FWB,combineMoisture.sp.FWW,flagLeafHeight.sp.b,flagLeafHeight.sp.mu,flagLeafHeight.sp.FWB,flagLeafHeight.sp.FWW,earHeight.sp.b,earHeight.sp.mu,earHeight.sp.FWB,earHeight.sp.FWW,yieldPerAcre.sp.b,yieldPerAcre.sp.mu,yieldPerAcre.sp.FWB,yieldPerAcre.sp.FWW,GDDToAnthesis.sp.b,GDDToAnthesis.sp.mu,GDDToAnthesis.sp.FWB,GDDToAnthesis.sp.FWW,{genotype},GDDToSilk.sp.b,GDDToSilk.sp.mu,GDDToSilk.sp.FWB,GDDToSilk.sp.FWW,anthesisSilkingIntervalGDD.sp.b,anthesisSilkingIntervalGDD.sp.mu,anthesisSilkingIntervalGDD.sp.FWB,anthesisSilkingIntervalGDD.sp.FWW,kernelRowNumber.sp.b,kernelRowNumber.sp.mu,kernelRowNumber.sp.FWB,kernelRowNumber.sp.FWW,earWidth.sp.b,earWidth.sp.mu,earWidth.sp.FWB,earWidth.sp.FWW,earLength.sp.b,earLength.sp.mu,earLength.sp.FWB,earLength.sp.FWW,shelledCobWidth.sp.b,shelledCobWidth.sp.mu,shelledCobWidth.sp.FWB,shelledCobWidth.sp.FWW,shelledCobMass.sp.b,shelledCobMass.sp.mu,shelledCobMass.sp.FWB,shelledCobMass.sp.FWW,kernelMassPerEar.sp.b,kernelMassPerEar.sp.mu,kernelMassPerEar.sp.FWB,kernelMassPerEar.sp.FWW,kernelsPerEar.sp.b,kernelsPerEar.sp.mu,kernelsPerEar.sp.FWB,kernelsPerEar.sp.FWW,hundredKernelMass.sp.b,hundredKernelMass.sp.mu,hundredKernelMass.sp.FWB,hundredKernelMass.sp.FWW,earFillLength.sp.b,earFillLength.sp.mu,earFillLength.sp.FWB,earFillLength.sp.FWW,kernelsPerRow.sp.b,kernelsPerRow.sp.mu,kernelsPerRow.sp.FWB,kernelsPerRow.sp.FWW
2369 X 3IIH6,1.02153545134908,59.4913265872182,59.5016728459851,59.4732221089199,2022:North Platte,1,1.0124792331105,13.6796077789991,13.6963253977455,13.6787028729441,0.710147561934891,286.052131558621,288.451690887526,283.047845636364,0.911724693613301,126.747380353198,129.951079459127,123.480999953407,0.988290278086797,183.900190180975,191.797083511882,173.496413833067,1.06094452617722,2686.1432026137,2725.76418732641,2624.56368427765,NA,0.967098376067958,2622.83671189811,2760.0950390252,2529.31271130884,1.04611964285466,-59.1096759541412,146.522089128489,-175.051189668572,1.00419998231171,16.2606712514808,16.3309613236105,16.1413902707321,1.01645165808312,4.13151235370123,4.17347820726085,4.04608987292351,1.05904220846919,16.7724567255165,17.1376419628273,16.3050227078985,0.925085479122265,2.61671209904723,2.62717441057405,2.60645901670107,1.04490742839945,19.2326058709031,20.5865864099545,17.5009587919901,1.03808131348539,137.985444075753,148.684546632546,123.914255097914,1.03677822501739,496.145072641163,521.480569775706,474.830415065609,1.04210804625399,27.3473777848953,28.3542333474817,25.7959233059518,1.04390269876335,15.0210945738872,15.510338104312,14.3357381497034,0.987877930553382,33.7265892045591,35.1246408607507,32.2867916392251
2369 X LH123HT,1.01435062717829,58.7781956996574,58.7884691894861,58.7602185566298,2022:North Platte,1,1.01248919936994,14.8075770246063,14.8242948079112,14.8066721096438,0.984802004281372,289.016384456174,292.343989820415,284.850170339191,0.979928081694835,131.332285158596,134.77564337977,127.821556644083,1.0509187011474,173.950317123481,182.347640325407,162.887248540293,1.0239047198834,2735.07013590436,2773.30786865363,2675.6404881549,NA,1.03236202204272,2633.5500286553,2780.07109377306,2533.71465642521,0.975266502045253,-52.5516897266454,139.152742563984,-160.64054485372,0.995846804533884,15.2539141274177,15.3236195097656,15.1356253546508,0.975303852206731,4.16281301815859,4.20308001788491,4.08084859426786,1.02867922190679,16.7666732161522,17.1213885077285,16.3126406405941,0.96640360913942,2.62306853858087,2.63399814005841,2.61235751132149,1.05143954008691,21.1685769384293,22.5310217221241,19.4261046784378,1.00136992554901,130.915313551636,141.236046033338,117.341747323172,0.995074444197371,487.377232887997,511.693624881276,466.919944599659,1.00413439518335,28.3624100115919,29.3325764976957,26.8674893932659,1.01844468763162,15.3729351566025,15.8502473381972,14.7042927532721,1.09604826701431,34.1380742500788,35.6892093119857,32.5406221990428
2369 X PHN82,1.00896345428582,59.0156824379131,59.0259013656758,58.997800770725,2022:North Platte,1,1.00209415425387,14.5471680940164,14.5637142388369,14.5462724696537,0.980677403954114,278.896225494742,282.209894004555,274.747460538134,1.07484101364358,123.786616206317,127.563487907333,119.935848924865,1.00499239371645,183.781960624532,191.812311532076,173.20236035181,1.02658513212423,2708.38045464991,2746.71828742308,2648.79522996815,NA,1.01378704870865,2627.17269973869,2771.05745625604,2529.13363475099,1.08204006751804,-75.768704771277,136.923801763348,-195.691281681666,1.02009564450738,15.8237782852327,15.8951809915606,15.7026091843786,0.964198721820128,4.14719158249608,4.18700008892184,4.06616043248949,0.96923656993606,16.9398362595654,17.2740541821107,16.5120401431458,1.03914143635303,2.63419811226542,2.64595034670529,2.62268090336237,0.983154106086084,20.0773673672813,21.351328572216,18.4480594595625,0.961886513051222,136.575751512008,146.489543733715,123.537382817234,0.959487842055473,499.635843515704,523.082614374166,479.910164187344,0.984928949357087,27.4109778939902,28.36258861706,25.944649680314,0.9734681986698,15.2478453054468,15.7040784570976,14.6087314450388,0.890541333907563,35.0306775832106,36.2909778169441,33.7327447063509
2369 X PHP02,1.02076161308025,59.2411187662323,59.2514571874533,59.2230280025222,2022:North Platte,1,1.01684194681897,14.0692480027552,14.0860376567415,14.068339197513,1.11652176929333,278.016108431494,281.788789450258,273.29265261304,1.0491342068667,123.289206320183,126.975747163141,119.530537245992,1.04666804663342,178.219081338377,186.582439858035,167.200759587043,1.01308262051122,2654.37545967625,2692.20904100837,2595.57395001534,NA,1.09149446887593,2587.00573116477,2741.91934551238,2481.4519096752,1.12483070112881,-62.7790290428988,158.324669823777,-187.444094890876,1.04037694492149,15.5699604673379,15.6427827853907,15.4463823110698,1.1408394926012,4.22322916204345,4.2703305688844,4.12735314191774,1.02549989158159,17.083160602057,17.4367795780285,16.6305313012082,0.98032601248089,2.61569972229458,2.62678678005507,2.6048343876213,1.06269417115681,21.017536046074,22.3945644675425,19.2564123261667,1.03484083272197,136.136500486768,146.802204661786,122.109236215605,1.00992333818353,480.845479533109,505.524730334531,460.082919506753,1.05136219027836,28.6201349516268,29.6359316085857,27.0549032225728,0.991898708038039,15.4056943320793,15.8705652691113,14.7544802366479,0.977630065512209,34.3971271881675,35.7806759951202,32.97226552805
2369 X PHZ51,0.967964936638106,59.1410592101796,59.1508628990271,59.1239041519134,2022:North Platte,1,0.973204708601742,14.3096676297773,14.3257367645788,14.3087978254349,0.828005404804456,293.097493300186,295.895289420289,289.594608668111,0.951976047269285,138.276186912556,141.621324795589,134.865600445332,1.07684905209286,166.530760829338,175.135279447419,155.194722271801,0.979474499370423,2699.06885084215,2735.64733652969,2642.21802932842,NA,0.957393125694171,2623.60880586911,2759.48968633347,2531.02335906521,0.95130552234295,-64.1944397939324,122.800073719292,-169.627697852602,0.972271521610407,14.9782438077987,15.0462990125261,14.8627553565992,1.01077128320065,3.99728158506718,4.03901291514644,3.91233648234316,0.938704866370527,16.7935979215247,17.1172877203344,16.3792777145149,0.938771654803204,2.61186625565734,2.62248335183576,2.60146148410037,0.912216419793181,20.0492438606593,21.2312847249825,18.5374956849468,1.01251737647327,133.574186270253,144.009811216674,119.849516379158,1.00138224775888,468.684212732059,493.154746985661,448.097245145176,1.02388787648976,27.6197111339769,28.6089628796229,26.0953822147001,0.895708927467419,15.0624409201386,15.4822308090107,14.4743785764299,1.0737623666008,32.947283253311,34.4668791553488,31.3823121234134
2FACC X 3IIH6,0.98855952747072,59.5150176739636,59.5250299478051,59.4974976216854,2022:North Platte,1,0.990555301633894,13.6478669272691,13.6642225475508,13.6469816157872,0.983733632919166,275.096982797445,278.420978178908,270.935288435533,0.975841220792126,120.457047472529,123.886044919324,116.960960705073,0.995763428453574,188.101105958928,196.057713194344,177.61865941993,1.01013303466029,2547.16353780578,2584.88696682265,2488.53322849654,NA,0.919740855403908,2522.98771565753,2653.52468513985,2434.04346093497,0.902092499566628,-46.7554119979467,130.565484536887,-146.734387275367,0.997201303016063,16.0671213442762,16.1369215362215,15.9486716813378,0.995088963953895,4.19388144848709,4.23496530860774,4.1102542860741,1.03218662243856,16.4481746227963,16.8040993570986,15.9925939707698,0.986326079482951,2.63828745415683,2.64944237004674,2.62735561840616,1.02899467664139,20.0035028750846,21.3368638304124,18.2982268117758,1.01700595367259,136.485680724354,146.967567699738,122.700168183274,0.971199837108651,480.654103470086,504.387077500981,460.687642499074,1.04347978826837,27.4172928992902,28.4254738005328,25.8637962181971,0.970350670242269,14.8578920340399,15.3126641006528,14.2208249334859,0.914175246362474,32.8383011685575,34.1320482780921,31.5059226901113
4N506 X 3IIH6,1.00137551142135,59.6802220193194,59.6903640952996,59.6624748317978,2022:North Platte,1,1.00200321090514,13.3927260690667,13.40927071227,13.3918305259849,0.903255566394165,286.682719633032,289.734782946212,282.861488486472,1.02048628460482,133.833639841778,137.419515074184,130.177605929743,1.0327827084193,181.032308436386,189.284716724952,170.160158266922,0.946523022794795,2649.07561549707,2684.42352793837,2594.13736905765,NA,1.04041194663441,2585.4973021133,2733.16087683535,2484.88345566499,1.00295763663902,-62.0337373225535,135.113836125544,-173.191602847436,0.963819272660406,15.5594773354845,15.6269409158356,15.4449928601485,1.1232691258152,4.1528200503444,4.19919603612508,4.05842064182841,1.03669323278517,16.9568365972987,17.3143153278022,16.4992668432673,1.02254411495547,2.63679842570362,2.64836295170909,2.62546517137218,1.0973550040729,20.0366256640559,21.4585672442983,18.2180611331824,1.03343472887107,133.322688245487,143.97390025201,119.314483707653,1.01537096348496,473.971073884605,498.783446979574,453.096518577968,1.01975276875167,27.8952135982209,28.8804701187624,26.3770408845738,1.04167182878904,14.9718314726021,15.4600294662126,14.2879396878624,1.08344947410528,33.1598819119211,34.6931870752669,31.5807921613228
B105 X 3IIH6,0.999802780190247,59.533043144331,59.5431692914619,59.5153238300257,2022:North Platte,1,0.999478072211711,13.5812802125636,13.59778316177,13.5803869263313,0.991521942415122,282.766757488103,286.117069246202,278.57211460981,1.05934873859525,118.314377157251,122.03681072791,114.519113103825,0.959565559122386,172.751920340644,180.419289971226,162.6505304053,1.05302801656478,2675.93616208052,2715.26150465682,2614.81613510976,NA,1.021215184686,2589.19482472342,2734.1338416378,2490.43741606903,1.02299361895143,-51.777191135202,149.308779260324,-165.15564599126,0.979064993758653,16.0260719358881,16.094602657102,15.9097765418138,0.997788028609516,4.11737554182467,4.15857083720265,4.03352155032755,1.00004854260315,17.6059794953018,17.9508221856425,17.1645837658929,0.99774213961655,2.66190139341635,2.67318541994546,2.65084302902884,1.01866274839044,19.7501877722749,21.0701607188639,18.0620340423796,1.01108321007368,136.539181243023,146.960024791116,122.833951473017,0.950652168752928,503.416653900646,526.647509561202,483.872623208753,1.01732038886911,26.9001232219326,27.8830296452612,25.3855717514732,1.0502026139961,15.5381026901226,16.030298787653,14.8486101645744,0.966536247560569,34.478277984406,35.8461267437304,33.0695851763127
B14A X MO17,0.998671467002587,58.9616465896925,58.9717612787198,58.9439473254354,2022:North Platte,1,1.00611968072392,14.476969649412,14.4935822619827,14.4760704272241,1.200741197223,278.269648086017,282.326903078975,273.189901187692,1.03527677190996,133.421001411966,137.058848770704,129.71197852401,1.10336680090856,175.586350155192,184.402757768253,163.971158059423,0.979491919960497,2708.9000072758,2745.47914353546,2652.04817463329,NA,1.00900088676146,2661.12352013885,2804.32898631875,2563.54730466456,0.984594344252487,-54.4439498315946,139.094020975004,-163.566610367623,1.02651757002341,14.9469706989027,15.0188229149057,14.8250387882624,1.04685197180607,4.02900563076946,4.07222661053574,3.9410283111128,0.998215957674936,16.5213702329054,16.8655810004044,16.0807833593937,0.977774589171896,2.62952956019812,2.64058776247867,2.61869250394223,1.02928318222926,19.4851494364552,20.8188842344228,17.7793952543725,1.00313712527353,132.136290681877,142.475237007567,118.53877006664,0.935800826504129,469.801184127624,492.66912115244,450.562475506481,1.04676177870847,27.1990333333997,28.2103852017439,25.6406505382549,0.969242854898299,14.9361503605876,15.3904032298745,14.2998105772096,1.00270533476312,33.5611803498801,34.9802158507061,32.0997723610099
B37 X H95,0.996082815262293,58.9674333172287,58.9775217880168,58.9497799311534,2022:North Platte,1,0.992566535232776,14.5484702328539,14.5648590617541,14.5475831238265,1.07988585806934,285.62321955739,289.272109342806,281.05475230503,1.03249231555038,131.327925628298,134.955988717275,127.628878442153,1.02460118607712,149.342091985073,157.529126151629,138.556069070446,0.96599630484344,2749.89189634726,2785.96703871558,2693.82337843803,NA,0.958354623244656,2654.29305641279,2790.31040029037,2561.61462724049,0.911854474029693,-72.0884406876016,107.151330091916,-173.149336282473,0.956250393277028,15.9765497626349,16.043483551025,15.8629643346717,0.946009547190109,4.09248738829877,4.13154492517982,4.01298485444214,0.984748255153798,15.7585810975525,16.0981478517139,15.3239385218669,0.935258025445532,2.61153126939198,2.62210862796154,2.60116544075645,1.06753755424977,19.4535675287771,20.8368719573567,17.6844172316277,0.995531213621042,129.962099715508,140.222654851847,116.467677209081,0.919603721410692,480.193792961909,502.665925271907,461.288073345021,1.00468722736185,27.0996038203084,28.0703044373558,25.6038601645224,0.994853743539318,14.4605175136417,14.9267733805172,13.8073633403019,0.922721789301405,31.8352644416292,33.1411066776374,30.490429675483
