genotype,yieldPerAcre.sp.b.1,yieldPerAcre.sp.mu.1,yieldPerAcre.sp.FWB.1,yieldPerAcre.sp.FWW.1,yieldPerAcre.sp.b.2,yieldPerAcre.sp.mu.2,yieldPerAcre.sp.FWB.2,yieldPerAcre.sp.FWW.2
'IOWA I 205' X I159,1.00702202957886,135.965679008127,180.768231692012,65.5595822785912,1.02624565320829,123.692066682293,175.510494217622,57.4580333154937
2369 X 3IIH6,0.992188132938959,159.344130858142,203.486721380132,89.9751482443134,1.03651627117955,153.718085390428,206.055109298296,86.8211849495712
2369 X LH123HT,1.06661504812698,151.519764435495,198.973618952579,76.9472128469146,1.05866708625586,143.67979285463,197.135282309506,75.3532758104984
2369 X PHN82,1.01738552181831,156.773994787582,202.037620708605,85.6433329386797,0.993844557965461,151.994943738212,202.177336274848,87.852081444075
2369 X PHP02,0.993629747814031,152.473615584369,196.680343756275,83.0038422496231,0.99538106635535,148.375379361231,198.635355124076,84.1333506076343
2369 X PHZ51,1.0423573342889,148.392566185286,194.767191578975,75.5159963098716,1.02116521092765,139.222701819203,190.7846015638,73.316560884866
2FACC X 3IIH6,1.01091150900111,156.1548540517,201.130450225806,85.4768237830881,0.977413607130968,151.52541334068,200.878154582335,88.4430068374331
4N506 X 3IIH6,0.970962729324332,154.299576659636,197.49784596943,86.4145713334149,1.01386203381473,145.88376661449,197.076905572797,80.4489737195518
66 X A344,1.05865142286459,142.355663119968,189.455214821529,68.3398895899324,1.04091983994034,132.409261829291,184.968636017536,65.2281544645627
66 X B7,0.992496671758581,141.876465162602,186.032782620364,72.4859110107718,1.00861588087029,136.602318024661,187.530561930462,71.5061125508559
66 X CI 3A,1.01446472563197,138.622646745191,183.756326030317,67.6961928011624,0.983382233801423,118.437629394371,168.091745699239,54.970006917922
66 X I159,0.999508476746294,135.748311179055,180.216584833548,65.8675256264087,1.01597174424544,120.864078648988,172.16374363908,55.2931247572885
66 X K201,0.98639153090922,132.360041509955,176.24474038688,63.3963291992785,0.959145635934288,121.530581604377,169.960914513568,59.6271924348466
66 X OS426,1.05981179511243,144.497526000325,191.648702827494,70.4006248699748,1.0302542650895,126.228162703806,178.248997882602,59.7354129836027
A344 X OS426,0.986219826176572,139.843482895863,183.720542604921,70.8917753474076,1.00441245833842,131.808261756958,182.524261406047,66.9833457423184
B105 X 3IIH6,0.975298481246884,149.037876014546,192.429043541289,80.849735940238,1.02569578457326,142.543750223517,194.334413131606,76.3452054528507
B14A X MO17,0.99323266110987,154.669403045482,198.858464773695,85.2273920874089,1.03853505452,147.239693183573,199.678651923427,80.2125001926696
B37 X H95,1.01285948634527,131.602624451213,176.664886413183,60.7884010534632,0.936730171262078,121.114470224262,168.412974581336,60.6577781787492
B37 X MO17,0.89146560923155,133.434488909536,173.095920090114,71.1075366969213,0.978925938994473,132.901225223945,182.330328941614,69.7212126175237
B37 X OH43,0.923489055989546,132.222290643165,173.308449504323,67.6564143317411,0.906992151375911,126.100780509489,171.897717065814,67.5633842926549
B7 X A344,1.02529264836356,130.969280757135,176.584695857755,59.2857909659978,1.02220360986479,130.579111935717,182.193443766051,64.6059525934234
B7 X OS426,1.04071765936778,124.922961802523,171.224637826804,52.1610300459483,0.964866625186985,115.786362080239,164.505566046857,53.5137394899687
B73 X 3IIH6,1.03388983253446,161.123625577527,207.121530619217,88.839062361421,1.03728519310735,152.003363783261,204.379213020202,85.0568370171059
B73 X MO17,0.987554614581273,152.305331332415,196.241775966595,83.2603018517927,1.08901543146782,144.637820053114,199.625694587786,74.3526167011648
B73 X PHM49,1.08601042900417,154.277191374689,202.593949133262,78.3486088135617,1.00364013473332,145.378396762751,196.055399321193,80.6033266181239
B73 X PHN82,1.06919069233101,159.934846779331,207.503292071747,85.1822186386555,1.04233283016985,156.144569626218,208.775290213435,88.8722676808203
B73 X PHZ51,1.03984725185436,150.054263708354,196.317215179119,77.3531866240541,1.04602350231225,139.618342810559,192.435417246262,72.1078443855359
B84 X 3IIH6,1.0159812264028,148.775529001124,193.976677620271,77.7430486775081,0.997346701145514,142.589819294148,192.949046248573,78.2209282051337
C.I. 540 X I159,1.00677735585829,126.730095576919,171.521762692331,56.3411052473735,1.03171661786826,120.351835803775,172.446509854639,53.764705637292
C.I. 540 X OS426,1.03663880502238,134.145123580633,180.265330797548,61.6683655393823,1.0344341289132,124.788556899242,177.020446780174,58.0260382020867
CI 3A X I159,0.987326234751625,118.440451206649,162.366735189871,49.4113889361816,1.00513763772959,117.434711865116,168.187328142607,52.562992674413
COMMERCIAL HYBRID 1,1.03793986295314,166.568085368798,212.746176837273,94.0003636665418,1.0265791460558,157.345386211621,209.180652868167,91.0898291713035
