loc	genotype	lbsNPerAc	yieldPerAc.sp
Ames	2369 X 3IIH6	75	165.087026573569
Ames	2369 X 3IIH6	150	123.976529215215
Ames	2369 X 3IIH6	250	124.274667172722
Ames	2369 X LH123HT	75	135.294631333013
Ames	2369 X LH123HT	150	100.800021119433
Ames	2369 X LH123HT	250	107.730455091545
Ames	2369 X PHN82	75	133.948880800515
Ames	2369 X PHN82	150	123.816738571494
Ames	2369 X PHN82	250	118.664079273132
Ames	2369 X PHP02	75	148.371168569426
Ames	2369 X PHP02	150	117.202650344679
Ames	2369 X PHP02	250	109.203367906546
Ames	2369 X PHZ51	75	131.225811324714
Ames	2369 X PHZ51	150	115.797706934381
Ames	2369 X PHZ51	250	122.466290386355
Ames	2FACC X 3IIH6	75	151.944288268355
Ames	2FACC X 3IIH6	150	129.208839241714
Ames	2FACC X 3IIH6	250	124.911015038722
Ames	4N506 X 3IIH6	75	165.933814793354
Ames	4N506 X 3IIH6	150	137.186119815156
Ames	4N506 X 3IIH6	250	125.544823178629
Ames	B105 X 3IIH6	75	135.061476721957
Ames	B105 X 3IIH6	150	129.434654446417
Ames	B105 X 3IIH6	250	97.441116461086
Ames	B14A X MO17	75	153.726259728689
Ames	B14A X MO17	150	145.334738370445
Ames	B14A X MO17	250	101.020103976555
Ames	B37 X H95	75	106.066161688495
Ames	B37 X H95	150	92.3445438209121
Ames	B37 X H95	250	95.8219448854564
Ames	B37 X MO17	75	140.377026689881
Ames	B37 X MO17	150	110.651661387785
Ames	B37 X MO17	250	114.654497137774
Ames	B73 X 3IIH6	75	174.729834717984
Ames	B73 X 3IIH6	150	142.882523946119
Ames	B73 X 3IIH6	250	123.333830694547
Ames	B73 X MO17	75	134.737305216137
Ames	B73 X MO17	150	131.17274235258
Ames	B73 X MO17	250	125.435963800822
Ames	B73 X PHM49	75	141.583932969221
Ames	B73 X PHM49	150	109.20844194968
Ames	B73 X PHM49	250	108.341689574758
Ames	B73 X PHN82	75	158.90009655716
Ames	B73 X PHN82	150	113.445408070439
Ames	B73 X PHN82	250	125.174712204177
Ames	B73 X PHZ51	75	131.097665590942
Ames	B73 X PHZ51	150	122.979221158452
Ames	B73 X PHZ51	250	119.833197223959
Ames	B84 X 3IIH6	75	140.483624968053
Ames	B84 X 3IIH6	150	110.716424254701
Ames	B84 X 3IIH6	250	126.385707018457
Ames	F42 X MO17	75	139.940777070969
Ames	F42 X MO17	150	103.424060414464
Ames	F42 X MO17	250	133.985689230111
Ames	F42 X OH43	75	127.588544646918
Ames	F42 X OH43	150	128.340716525296
Ames	F42 X OH43	250	94.2346166827012
Ames	HOEGEMEYER 7089 AMXT	75	134.417536932918
Ames	HOEGEMEYER 7089 AMXT	150	132.143908239535
Ames	HOEGEMEYER 7089 AMXT	250	157.908425459174
Ames	HOEGEMEYER 8065RR	75	153.340059871686
Ames	HOEGEMEYER 8065RR	150	142.533348474526
Ames	HOEGEMEYER 8065RR	250	144.579520086872
Ames	LH123HT X 3IIH6	75	146.468220246606
Ames	LH123HT X 3IIH6	150	120.042657344959
Ames	LH123HT X 3IIH6	250	114.12296185882
Ames	LH123HT X PHB47	75	142.481562490921
Ames	LH123HT X PHB47	150	106.2242405904
Ames	LH123HT X PHB47	250	126.396662742474
Ames	LH145 X LH162	75	139.710986892751
Ames	LH145 X LH162	150	132.665421245482
Ames	LH145 X LH162	250	121.805248649118
Ames	LH185 X LH145	75	155.544397164538
Ames	LH185 X LH145	150	89.3922166704029
Ames	LH185 X LH145	250	78.1062359589386
Ames	LH185 X LH82	75	172.34770162855
Ames	LH185 X LH82	150	121.585572817304
Ames	LH185 X LH82	250	145.978471938987
Ames	LH185 X W606S	75	157.934191439879
Ames	LH185 X W606S	150	109.279199178095
Ames	LH185 X W606S	250	130.415867861443
Ames	LH195 X 3IIH6	75	134.550674238271
Ames	LH195 X 3IIH6	150	131.962648255076
Ames	LH195 X 3IIH6	250	126.531288251738
Ames	LH195 X LH123HT	75	135.985526815501
Ames	LH195 X LH123HT	150	106.333329986621
Ames	LH195 X LH123HT	250	122.933347401085
Ames	LH195 X LH185	75	154.930895268545
Ames	LH195 X LH185	150	121.344526794387
Ames	LH195 X LH185	250	114.086032373984
Ames	LH195 X PHM49	75	128.674959005573
Ames	LH195 X PHM49	150	94.7755642524418
Ames	LH195 X PHM49	250	104.157620138871
Ames	LH195 X PHZ51	75	147.378497759254
Ames	LH195 X PHZ51	150	108.690481649669
Ames	LH195 X PHZ51	250	129.571974185446
Ames	LH198 X PHB47	75	150.312755766103
Ames	LH198 X PHB47	150	114.773176903718
Ames	LH198 X PHB47	250	132.162221602543
Ames	LH198 X PHZ51	75	102.607347928728
Ames	LH198 X PHZ51	150	141.089646059384
Ames	LH198 X PHZ51	250	120.321146375556
Ames	LH74 X PHM49	75	146.295542481886
Ames	LH74 X PHM49	150	128.400138250858
Ames	LH74 X PHM49	250	101.864103817941
Ames	LH74 X PHN82	75	154.974880902383
Ames	LH74 X PHN82	150	126.518456049771
Ames	LH74 X PHN82	250	125.57859233029
Ames	LH82 X PHB47	75	150.13724542799
Ames	LH82 X PHB47	150	121.551709879723
Ames	LH82 X PHB47	250	102.80490004189
Ames	LH82 X PHJ89	75	168.529003175701
Ames	LH82 X PHJ89	150	112.139896406328
Ames	LH82 X PHJ89	250	117.199903374051
Ames	LH82 X W606S	75	155.995945305062
Ames	LH82 X W606S	150	119.552189802377
Ames	LH82 X W606S	250	118.00650844373
Ames	N209 X 3IIH6	75	136.678446611628
Ames	N209 X 3IIH6	150	142.642565457293
Ames	N209 X 3IIH6	250	130.982204596845
Ames	PHB47 X 3IIH6	75	161.609492275689
Ames	PHB47 X 3IIH6	150	105.851699524033
Ames	PHB47 X 3IIH6	250	109.593377805504
Ames	PHB47 X LH185	75	152.184645471957
Ames	PHB47 X LH185	150	133.968707875059
Ames	PHB47 X LH185	250	121.07089362888
Ames	PHB47 X PHJ89	75	133.041126216024
Ames	PHB47 X PHJ89	150	97.1981445416998
Ames	PHB47 X PHJ89	250	74.8052550327848
Ames	PHB47 X PHK56	75	166.256597911157
Ames	PHB47 X PHK56	150	129.151854941569
Ames	PHB47 X PHK56	250	129.46357854775
Ames	PHG39 X PHM49	75	146.363056321162
Ames	PHG39 X PHM49	150	120.410242258481
Ames	PHG39 X PHM49	250	137.455096227597
Ames	PHG39 X PHN82	75	180.850526935316
Ames	PHG39 X PHN82	150	162.141221150707
Ames	PHG39 X PHN82	250	158.231507014361
Ames	PHJ40 X LH82	75	131.160374792229
Ames	PHJ40 X LH82	150	113.623459777563
Ames	PHJ40 X LH82	250	138.516320992582
Ames	PHK56 X 3IIH6	75	147.941076973268
Ames	PHK56 X 3IIH6	150	126.969044866375
Ames	PHK56 X 3IIH6	250	135.751600263282
Ames	PHK56 X LH145	75	146.759131953433
Ames	PHK56 X LH145	150	100.51432815761
Ames	PHK56 X LH145	250	128.168087819402
Ames	PHK56 X LH185	75	151.54653656081
Ames	PHK56 X LH185	150	135.345388884459
Ames	PHK56 X LH185	250	149.510375537263
Ames	PHK56 X LH198	75	151.790619776366
Ames	PHK56 X LH198	150	141.206394803428
Ames	PHK56 X LH198	250	123.36085816155
Ames	PHK56 X LH82	75	156.246030581346
Ames	PHK56 X LH82	150	151.776280722284
Ames	PHK56 X LH82	250	136.60400535727
Ames	PHK56 X PHJ89	75	150.841805158894
Ames	PHK56 X PHJ89	150	146.110654554128
Ames	PHK56 X PHJ89	250	132.989527750704
Ames	PHK56 X W606S	75	166.452559488442
Ames	PHK56 X W606S	150	125.969952822758
Ames	PHK56 X W606S	250	142.138680111831
Ames	PHK76 X 3IIH6	75	139.732332426718
Ames	PHK76 X 3IIH6	150	131.270158096792
Ames	PHK76 X 3IIH6	250	115.147413552332
Ames	PHK76 X LH145	75	121.410466291314
Ames	PHK76 X LH145	150	97.5358394672902
Ames	PHK76 X LH145	250	98.8217151627936
Ames	PHK76 X LH198	75	146.411373926745
Ames	PHK76 X LH198	150	123.836022773228
Ames	PHK76 X LH198	250	133.5464608171
Ames	PHK76 X LH82	75	157.840151396656
Ames	PHK76 X LH82	150	111.637230218898
Ames	PHK76 X LH82	250	129.140130422613
Ames	PHK76 X W606S	75	132.279276780255
Ames	PHK76 X W606S	150	110.385161349152
Ames	PHK76 X W606S	250	120.272613854807
Ames	PHN46 X PHB47	75	149.584641243474
Ames	PHN46 X PHB47	150	133.931042544046
Ames	PHN46 X PHB47	250	128.211782955271
Ames	PHN46 X PHK56	75	145.693738662974
Ames	PHN46 X PHK56	150	130.669537393151
