loc	genotype	lbsNPerAc	yieldPerAc.sp
Ames	PHW52 X PHM49	75	114.952097080956
Ames	PHW52 X PHM49	150	147.488440651761
Ames	PHW52 X PHM49	250	138.46109521546
Crawfordsville	PHP02 X PHB47	75	166.800044204758
Crawfordsville	PHP02 X PHB47	150	158.071245326904
Crawfordsville	PHP02 X PHB47	225	162.617283435439
Lincoln	2369 X LH123HT	75	25.8897356108808
Lincoln	2369 X LH123HT	150	29.3162084671081
Lincoln	2369 X LH123HT	225	20.9090862986535
North Platte1	SYNGENTA NK0760-3111	75	NA
North Platte1	SYNGENTA NK0760-3111	150	195.475852795101
North Platte1	SYNGENTA NK0760-3111	225	NA
North Platte2	SYNGENTA NK0760-3111	75	187.31987661488
North Platte2	SYNGENTA NK0760-3111	150	183.953975858885
North Platte2	SYNGENTA NK0760-3111	225	NA
North Platte3	WF9 X H95	75	76.6922929827339
North Platte3	WF9 X H95	150	NA
North Platte3	WF9 X H95	225	75.833915202753
Scottsbluff	PHP02 X LH145	75	97.3742139028987
Scottsbluff	PHP02 X LH145	150	143.291123655872
Scottsbluff	PHP02 X LH145	225	120.068861227
