Field,Range,Plot,Standing plants
HIPS,2,4001,49
HIPS,2,4002,44
HIPS,2,4003,41
HIPS,2,4004,63
HIPS,2,4005,46
HIPS,2,4006,47
HIPS,2,4007,44
HIPS,2,4008,49
HIPS,2,4009,59
HIPS,2,4010,53
HIPS,2,4011,65
HIPS,2,4012,39
HIPS,2,4013,68
HIPS,2,4014,42
HIPS,2,4015,54
HIPS,2,4016,50
HIPS,2,4017,59
HIPS,2,4018,42
HIPS,2,4019,47
HIPS,2,4020,47
HIPS,2,4021,39
HIPS,2,4022,39
HIPS,2,4023,41
HIPS,2,4024,52
HIPS,2,4025,54
HIPS,3,4026,60
HIPS,3,4027,41
HIPS,3,4028,48
HIPS,3,4029,59
HIPS,3,4030,56
HIPS,3,4031,34
HIPS,3,4032,39
HIPS,3,4033,59
HIPS,3,4034,40
HIPS,3,4035,51
HIPS,3,4036,55
HIPS,3,4037,47
HIPS,3,4038,64
HIPS,3,4039,55
HIPS,3,4040,44
HIPS,3,4041,40
HIPS,3,4042,20
HIPS,3,4043,47
HIPS,3,4044,57
HIPS,3,4045,32
HIPS,3,4046,8
HIPS,3,4047,44
HIPS,3,4048,58
HIPS,3,4049,64
HIPS,3,4050,50
HIPS,4,4051,63
HIPS,4,4052,49
HIPS,4,4053,46
HIPS,4,4054,62
HIPS,4,4055,61
HIPS,4,4056,49
HIPS,4,4057,50
HIPS,4,4058,52
HIPS,4,4059,54
HIPS,4,4060,45
HIPS,4,4061,67
HIPS,4,4062,43
HIPS,4,4063,42
HIPS,4,4064,47
HIPS,4,4065,36
HIPS,4,4066,63
HIPS,4,4067,52
HIPS,4,4068,27
HIPS,4,4069,19
HIPS,4,4070,43
HIPS,4,4071,40
HIPS,4,4072,44
HIPS,4,4073,45
HIPS,4,4074,46
HIPS,4,4075,34
HIPS,5,4076,52
HIPS,5,4077,36
HIPS,5,4078,70
HIPS,5,4079,46
HIPS,5,4080,48
HIPS,5,4081,53
HIPS,5,4082,46
HIPS,5,4083,64
HIPS,5,4084,39
HIPS,5,4085,43
HIPS,5,4086,48
HIPS,5,4087,41
HIPS,5,4088,42
HIPS,5,4089,56
HIPS,5,4090,44
HIPS,5,4091,40
HIPS,5,4092,16
HIPS,5,4093,42
HIPS,5,4094,47
HIPS,5,4095,45
HIPS,5,4096,53
HIPS,5,4097,41
HIPS,5,4098,53
HIPS,5,4099,10
HIPS,5,4100,48
HIPS,6,4101,55
HIPS,6,4102,54
HIPS,6,4103,55
HIPS,6,4104,40
HIPS,6,4105,52
HIPS,6,4106,46
HIPS,6,4107,53
HIPS,6,4108,52
HIPS,6,4109,48
HIPS,6,4110,51
HIPS,6,4111,8
HIPS,6,4112,53
HIPS,6,4113,50
HIPS,6,4114,27
HIPS,6,4115,47
HIPS,6,4116,48
HIPS,6,4117,41
HIPS,6,4118,47
HIPS,6,4119,46
HIPS,6,4120,44
HIPS,6,4121,50
HIPS,6,4122,60
HIPS,6,4123,43
HIPS,6,4124,44
HIPS,6,4125,48
HIPS,7,4126,71
HIPS,7,4127,38
HIPS,7,4128,50
HIPS,7,4129,53
HIPS,7,4130,47
HIPS,7,4131,56
HIPS,7,4132,36
HIPS,7,4133,37
HIPS,7,4134,43
HIPS,7,4135,49
HIPS,7,4136,49
HIPS,7,4137,46
HIPS,7,4138,43
HIPS,7,4139,53
HIPS,7,4140,55
HIPS,7,4141,45
HIPS,7,4142,44
HIPS,7,4143,45
HIPS,7,4144,48
HIPS,7,4145,51
HIPS,7,4146,60
HIPS,7,4147,60
HIPS,7,4148,46
HIPS,7,4149,29
HIPS,7,4150,44
HIPS,8,4151,51
HIPS,8,4152,50
HIPS,8,4153,16
HIPS,8,4154,60
HIPS,8,4155,57
HIPS,8,4156,54
HIPS,8,4157,48
HIPS,8,4158,44
HIPS,8,4159,62
HIPS,8,4160,42
HIPS,8,4161,51
HIPS,8,4162,43
HIPS,8,4163,15
HIPS,8,4164,55
HIPS,8,4165,65
HIPS,8,4166,63
HIPS,8,4167,58
HIPS,8,4168,41
HIPS,8,4169,60
HIPS,8,4170,52
HIPS,8,4171,60
HIPS,8,4172,51
HIPS,8,4173,47
HIPS,8,4174,29
HIPS,8,4175,29
HIPS,9,4176,60
HIPS,9,4177,55
HIPS,9,4178,10
HIPS,9,4179,56
HIPS,9,4180,62
HIPS,9,4181,55
HIPS,9,4182,44
HIPS,9,4183,42
HIPS,9,4184,53
HIPS,9,4185,40
HIPS,9,4186,48
HIPS,9,4187,56
HIPS,9,4188,46
HIPS,9,4189,12
HIPS,9,4190,62
HIPS,9,4191,52
HIPS,9,4192,48
HIPS,9,4193,54
HIPS,9,4194,20
HIPS,9,4195,48
HIPS,9,4196,52
HIPS,9,4197,48
HIPS,9,4198,51
HIPS,9,4199,39
HIPS,9,4200,38
HIPS,10,4201,64
HIPS,10,4202,42
HIPS,10,4203,53
HIPS,10,4204,61
HIPS,10,4205,55
HIPS,10,4206,48
HIPS,10,4207,56
HIPS,10,4208,54
HIPS,10,4209,55
HIPS,10,4210,43
HIPS,10,4211,67
HIPS,10,4212,48
HIPS,10,4213,41
HIPS,10,4214,43
HIPS,10,4215,62
HIPS,10,4216,43
HIPS,10,4217,51
HIPS,10,4218,65
HIPS,10,4219,45
HIPS,10,4220,40
HIPS,10,4221,50
HIPS,10,4222,51
HIPS,10,4223,54
HIPS,10,4224,41
HIPS,10,4225,43
HIPS,11,4226,61
HIPS,11,4227,28
HIPS,11,4228,45
HIPS,11,4229,58
HIPS,11,4230,49
HIPS,11,4231,45
HIPS,11,4232,52
HIPS,11,4233,58
HIPS,11,4234,48
HIPS,11,4235,25
HIPS,11,4236,56
HIPS,11,4237,69
HIPS,11,4238,63
HIPS,11,4239,53
HIPS,11,4240,66
HIPS,11,4241,47
HIPS,11,4242,50
HIPS,11,4243,52
HIPS,11,4244,55
HIPS,11,4245,54
HIPS,11,4246,53
HIPS,11,4247,56
HIPS,11,4248,66
HIPS,11,4249,69
HIPS,11,4250,48
HIPS,13,5001,65
HIPS,13,5002,42
HIPS,13,5003,36
HIPS,13,5004,61
HIPS,13,5005,58
HIPS,13,5006,67
HIPS,13,5007,51
HIPS,13,5008,53
HIPS,13,5009,31
HIPS,13,5010,62
HIPS,13,5011,34
HIPS,13,5012,59
HIPS,13,5013,56
HIPS,13,5014,54
HIPS,13,5015,47
HIPS,13,5016,69
HIPS,13,5017,45
HIPS,13,5018,66
HIPS,13,5019,65
HIPS,13,5020,41
HIPS,13,5021,54
