Plot #,Schnable Row #,Schnable Range #,Weight (lb),Moisture (%),Test Weight (lb/bu),Correct Date/Time,# Ears Incorrectly Taken from the Middle 2 Rows
4001,2,2,12.04,12.8,59.2,10/23/23 13:55,0
4026,2,3,6.46,15.7,61.8,10/23/23 13:55,0
4051,2,4,13.22,12.5,55.5,10/23/23 13:55,0
4076,2,5,12.22,12.4,59.8,10/23/23 13:56,0
4101,2,6,10.45,9.23,53.2,10/23/23 13:56,0
4126,2,7,13.13,11.2,56.9,10/23/23 13:56,0
4151,2,8,10.52,10.3,56.2,10/23/23 13:57,0
4176,2,9,8.54,12.4,61.4,10/23/23 13:57,0
4201,2,10,9.66,13.2,60.8,10/23/23 13:57,0
4226,2,11,10.79,13.3,60.1,10/23/23 13:58,0
Border,2,12,16.04,14.4,61.3,10/23/23 13:58,0
5001,2,13,11.72,14.4,61.1,10/23/23 13:58,0
5026,2,14,12.8,12.7,59.8,10/23/23 13:58,0
5051,2,15,10.82,14.6,59,10/23/23 13:59,0
5076,2,16,11.87,15.7,60.8,10/23/23 13:59,0
5101,2,17,9.44,12.9,59,10/23/23 13:59,0
5126,2,18,8.66,12.1,56.9,10/23/23 14:00,0
5151,2,19,12.47,11.7,56.6,10/23/23 14:00,0
5176,2,20,9.61,12.2,60.6,10/23/23 14:00,0
5201,2,21,11.42,13.4,61.5,10/23/23 14:01,0
5226,2,22,13.44,13.1,60.2,10/23/23 14:01,0
Border,2,23,12.79,12.8,59.3,10/23/23 14:01,0
6001,2,24,14.98,13.8,60.2,10/23/23 14:01,0
6026,2,25,15.36,12.8,56.2,10/23/23 14:02,0
6051,2,26,12.41,10.2,54.4,10/23/23 14:02,0
6076,2,27,11.68,12.4,58,10/23/23 14:02,0
6101,2,28,11.49,16.7,61.2,10/23/23 14:03,0
6126,2,29,16.98,13.7,61.1,10/23/23 14:03,0
6151,2,30,11.87,11.9,57.4,10/23/23 14:03,0
6176,2,31,10.19,11.8,58,10/23/23 14:04,0
6201,2,32,8.61,11.6,58,10/23/23 14:04,0
6226,2,33,10.66,14.3,61.1,10/23/23 14:04,0
Border,2,34,17.92,13.4,59.2,10/23/23 14:05,0
Border,3,34,15.74,12.2,58.1,10/23/23 14:05,0
6227,3,33,9.9,11.3,57.3,10/23/23 14:05,0
6202,3,32,11.72,11.9,54.5,10/23/23 14:06,0
6177,3,31,10.36,10.6,55.9,10/23/23 14:06,0
6152,3,30,6.76,13.3,57.7,10/23/23 14:07,0
6127,3,29,14.26,12.1,60.1,10/23/23 14:07,0
6102,3,28,9.27,11.5,59.4,10/23/23 14:07,0
6077,3,27,13.93,15.5,60,10/23/23 14:08,0
6052,3,26,11.87,11.9,59.1,10/23/23 14:08,0
6027,3,25,11,11.7,57.4,10/23/23 14:08,0
6002,3,24,13.85,13.2,59.7,10/23/23 14:09,0
Border,3,23,12.62,13.1,59.3,10/23/23 14:09,0
5227,3,22,12.9,12.7,59.4,10/23/23 14:09,0
5202,3,21,9.87,14,59.2,10/23/23 14:09,0
5177,3,20,6.89,15,60.9,10/23/23 14:10,0
5152,3,19,7.52,13.7,58.3,10/23/23 14:10,0
5127,3,18,10.8,11.8,57.6,10/23/23 14:10,0
5102,3,17,11.74,10.4,55.9,10/23/23 14:11,0
5077,3,16,10.24,13.3,57.7,10/23/23 14:11,0
5052,3,15,11.94,12.4,59.1,10/23/23 14:11,0
5027,3,14,10.25,13.5,59.4,10/23/23 14:11,0
5002,3,13,11.64,13.7,60,10/23/23 14:12,0
Border,3,12,10.7,12.7,59,10/23/23 14:12,0
4227,3,11,4.34,0,0,10/23/23 14:12,0
4202,3,10,4.27,0,0,10/23/23 14:13,0
4177,3,9,2.17,0,0,10/23/23 14:13,0
4152,3,8,10.41,10.3,56.9,10/23/23 14:13,0
4127,3,7,7.68,12.3,57.7,10/23/23 14:14,0
4102,3,6,9.99,12.4,59.4,10/23/23 14:14,0
4077,3,5,10.92,15.2,60.1,10/23/23 14:14,0
4052,3,4,8.41,11.9,58,10/23/23 14:15,0
4027,3,3,8.33,9.36,52.3,10/23/23 14:15,0
