SL NO,Plot No,MF,Name,FF,Name,Remarks,,Border rows flowered : 7/17  and 7/19,,
1,1001,25-Jul,c,27-Jul,c,,,,,
2,1002,25-Jul,c,27-Jul,c,,,,,
3,1003,19-Jul,c,21-Jul,c,,,,,
4,1004,26-Jul,c,28-Aug,c,,,,,
5,1005,28-Jul,c,23/8,c,,,,,
6,1006,27-Jul,c,31-Jul,w,,,,,
7,1007,18-Jul,c,22-Jul,c,,,,,
8,1008,27-Jul,c,31-Jul,w,,,,,
9,1009,16-Jul,c,18-Jul,c,,,,,
10,1010,18-Aug,c,21-Aug,c,,,,,
11,1011,7-Aug,w,7-Aug,w,,,,,
12,1012,17-Jul,c,20-Jul,c,,,,,
13,1013,29-Jul,c,25-Aug,w,"No silking(cobs appears to be very small, some issue with silking",,,,
14,1014,17-Jul,c,23-Jul,c,,,,,
15,1015,20-Jul,c,6-Jul,c,,,,,
16,1016,5-Jul,w,6-Jul,w,,,,,
17,1017,23-Jul,c,26-Jul,c,,,,,
18,1018,26-Jul,c,27-Jul,c,,,,,
19,1019,15-Jul,c,19-Jul,c,,,,,
20,1020,14-Jul,c,18-Jul,c,,,,,
21,1021,28-Jul,c,2-Aug,w,,,,,
22,1022,27-Jul,c,28-Jul,c,,,,,
23,1023,27-Jul,c,29-Jul,c,,,,,
24,1024,1-Aug,w,8-Aug,w,,,,,
25,1025,26-Jul,c,2-Aug,w,,,,,
26,1026,23-Jul,c,2-Aug,w,,,,,
27,1027,23-Jul,c,26-Jul,c,,,,,
28,1028,21-Jul,c,25-Jul,c,,,,,
29,1029,14-Jul,c,15-Jul,c,,,,,
30,1030,12-Jul,J,13-Jul,c,,,,,
31,1031,29-Jul,c,2-Aug,w,,,,,
32,1032,26-Jul,c,2-Aug,w,,,,,
33,1033,27-Jul,c,29-Jul,c,,,,,
34,1034,3-Aug,c,28-Jul,c,,,,,
35,1035,19-Jul,c,29-Jul,c,abnormal tasseling,,,,
36,1036,18-Aug,c,23-Aug,c,Tassels are not opened completely; burnt bez of high temp,,,,
37,1037,27-Jul,c,28-Aug,c,,,,,
38,1038,2-Aug,w,3-Aug,w,,,,,
39,1039,18-Jul,c,24-Jul,c,,,,,
40,1040,17-Jul,c,20-Jul,c,,,,,
41,1041,20-Jul,c,23-Jul,c,,,,,
42,1042,20-Jul,c,22-Jul,c,,,,,
43,1043,27-Jul,c,8-Jul,w,,,,,
