Start Date:,4/24/2023,Start Time:,12:00 AM
End Date:,4/24/2023,End Time:,1:56 PM

Product:,Whole Corn,,Parameters:,Moisture,Protein As is,Oil As is,Fiber As is,Ash As is,Starch As is
,,,Target:,,,,,,
Sample ID,Date,Time,,,,,,,
MV$Inbred-HIPS$Rep1$Plot222$Row58$Range27$B73,4/24/2023,10:39 AM,,6.77,10.64,4.22,1.33,1.07,63.47
MV$Inbred-HIPS$Rep1$Plot222$Row58$Range27$B73,4/24/2023,10:40 AM,,6.86,10.44,3.83,1,1.01,64.18
MV$Inbred-HIPS$Rep1$Plot222$Row58$Range27$B73,4/24/2023,10:40 AM,,6.44,10.74,4.33,1.5,1.05,62.79
MV$Inbred-HIPS$Rep2$Plot179$Row54$Range64$R177,4/24/2023,10:41 AM,,6.13,11.5,5.15,0.21,0.9,60.19
MV$Inbred-HIPS$Rep2$Plot179$Row54$Range64$R177,4/24/2023,10:49 AM,,6.11,11.62,4.5,0.21,0.78,59.99
MV$Inbred-HIPS$Rep2$Plot179$Row54$Range64$R177,4/24/2023,10:49 AM,,6.01,11.53,4.51,0.17,0.78,60.63
MV$Inbred-HIPS$Rep2$Plot179$Row54$Range64$R177,4/24/2023,10:51 AM,,6.49,11.19,4.63,1.51,0.96,61.25
MV$Inbred-HIPS$Rep2$Plot179$Row54$Range64$R177,4/24/2023,11:00 AM,,6.53,10.75,5.36,0.69,1.02,63.19
MV$Inbred-HIPS$Rep2$Plot179$Row54$Range64$R177,4/24/2023,11:01 AM,,6.5,10.63,5.39,0.7,1.01,63.22
MV$Inbred-HIPS$Rep2$Plot369$Row61$Range85$A441-5,4/24/2023,11:11 AM,,6.61,11.48,4.04,1.53,1.03,61.72
MV$Inbred-HIPS$Rep2$Plot369$Row61$Range85$A441-5,4/24/2023,11:12 AM,,6.65,11.57,3.8,1.52,1.02,61.78
MV$Inbred-HIPS$Rep2$Plot369$Row61$Range85$A441-5,4/24/2023,11:12 AM,,6.65,11.57,3.79,1.52,1.02,61.67
MV$Inbred-HIPS$Rep2$Plot140$Row57$Range60$A635,4/24/2023,11:13 AM,,6.32,13.29,3.62,1.67,1.26,59.41
MV$Inbred-HIPS$Rep2$Plot140$Row57$Range60$A635,4/24/2023,11:14 AM,,6.26,13.07,3.54,1.68,1.25,60.11
MV$Inbred-HIPS$Rep2$Plot140$Row57$Range60$A635,4/24/2023,11:15 AM,,6.14,13.11,3.56,1.66,1.24,60.82
MV$Inbred-HIPS$Rep1$Plot127$Row53$Range17$NC296,4/24/2023,11:17 AM,,6.06,12.96,4.12,1.39,0.98,62.77
MV$Inbred-HIPS$Rep1$Plot127$Row53$Range17$NC296,4/24/2023,11:17 AM,,5.73,13.09,4.24,1.58,1,62.03
MV$Inbred-HIPS$Rep1$Plot127$Row53$Range17$NC296,4/24/2023,11:18 AM,,5.72,12.92,4.23,1.58,1,62.09
MV$Inbred-HIPS$Rep1$Plot16$Row55$Range4$AK-51,4/24/2023,11:19 AM,,6.84,10.84,5.26,0.94,1.18,60.27
MV$Inbred-HIPS$Rep1$Plot16$Row55$Range4$AK-51,4/24/2023,11:19 AM,,6.83,10.93,5.27,0.95,1.17,60.24
MV$Inbred-HIPS$Rep1$Plot16$Row55$Range4$AK-51,4/24/2023,11:20 AM,,6.7,10.93,5.26,0.95,1.16,60.19
MV$Inbred-HIPS$Rep2$Plot169$Row59$Range63$B73,4/24/2023,11:20 AM,,5.76,12.5,4.32,0.95,1.06,62.57
MV$Inbred-HIPS$Rep2$Plot169$Row59$Range63$B73,4/24/2023,11:21 AM,,5.76,12.46,4.36,0.94,1.05,62.75
MV$Inbred-HIPS$Rep2$Plot169$Row59$Range63$B73,4/24/2023,11:21 AM,,5.7,12.46,4.32,0.94,1.05,62.67
MV$Inbred-HIPS$Rep1$Plot193$Row58$Range24$CML91,4/24/2023,11:22 AM,,6.49,10.79,4.94,0.63,1.09,61.11
MV$Inbred-HIPS$Rep1$Plot193$Row58$Range24$CML91,4/24/2023,11:22 AM,,6.55,10.53,4.98,0.63,1.09,61.1
MV$Inbred-HIPS$Rep1$Plot193$Row58$Range24$CML91,4/24/2023,11:23 AM,,6.48,10.87,4.99,0.63,1.1,61.14
MV$Inbred-HIPS$Rep2$Plot84$Row59$Range54$Va22,4/24/2023,11:34 AM,,5.18,14.64,4.31,2.32,1.01,58.75
MV$Inbred-HIPS$Rep2$Plot84$Row59$Range54$Va22,4/24/2023,11:35 AM,,5.11,14.91,4.11,2.33,1,58.84
MV$Inbred-HIPS$Rep2$Plot84$Row59$Range54$Va22,4/24/2023,11:35 AM,,5.2,14.67,4.11,2.33,1,58.94
MV$Inbred-HIPS$Rep1$Plot234$Row53$Range28$LP1 NR HT,4/24/2023,11:36 AM,,5.93,12.8,3.25,2.18,1.04,60.97
MV$Inbred-HIPS$Rep1$Plot234$Row53$Range28$LP1 NR HT,4/24/2023,11:36 AM,,5.87,12.74,3.23,2.17,1.03,61.25
MV$Inbred-HIPS$Rep1$Plot234$Row53$Range28$LP1 NR HT,4/24/2023,11:36 AM,,5.8,12.77,3.23,2.16,1.02,61.12
MV$Inbred-HIPS$Rep1$Plot18$Row53$Range4$W22,4/24/2023,11:37 AM,,6.28,11.96,3.89,1.13,0.9,61.66
MV$Inbred-HIPS$Rep1$Plot18$Row53$Range4$W22,4/24/2023,11:38 AM,,6.29,11.93,3.89,1.12,0.89,61.65
MV$Inbred-HIPS$Rep1$Plot18$Row53$Range4$W22,4/24/2023,11:38 AM,,6.25,12.16,3.91,1.12,0.89,61.73
MV$Inbred-HIPS$Rep2$Plot86$Row57$Range54$B73,4/24/2023,11:39 AM,,5.68,10.13,3.78,1.41,1.1,61.91
MV$Inbred-HIPS$Rep2$Plot86$Row57$Range54$B73,4/24/2023,11:39 AM,,5.61,10.31,3.8,1.43,1.09,61.93
MV$Inbred-HIPS$Rep2$Plot86$Row57$Range54$B73,4/24/2023,11:39 AM,,5.61,10.22,3.8,1.4,1.08,62.12
MV$Inbred-HIPS$Rep2$Plot137$Row60$Range60$PHG50,4/24/2023,11:40 AM,,6.49,11.4,4.31,0.67,1.03,60.11
MV$Inbred-HIPS$Rep2$Plot137$Row60$Range60$PHG50,4/24/2023,11:40 AM,,6.41,11.51,4.35,0.69,1.02,60.12
MV$Inbred-HIPS$Rep2$Plot137$Row60$Range60$PHG50,4/24/2023,11:41 AM,,6.42,11.53,4.36,0.7,1.01,60.09
MV$Inbred-HIPS$Rep1$Plot182$Row54$Range23$Pa875,4/24/2023,11:41 AM,,6.47,12.1,3.78,1.59,1.21,60.09
MV$Inbred-HIPS$Rep1$Plot182$Row54$Range23$Pa875,4/24/2023,11:42 AM,,6.44,12.16,3.84,1.6,1.2,60.22
MV$Inbred-HIPS$Rep1$Plot182$Row54$Range23$Pa875,4/24/2023,11:42 AM,,6.46,12.16,3.74,1.59,1.2,61.27
MV$Inbred-HIPS$Rep1$Plot182$Row54$Range23$Pa875,4/24/2023,11:42 AM,,6.48,12.15,3.77,1.6,1.19,61.34
MV$Inbred-HIPS$Rep2$Plot319$Row58$Range80$MS71,4/24/2023,11:43 AM,,6.07,11.5,4.71,0.89,1.05,63.64
MV$Inbred-HIPS$Rep2$Plot319$Row58$Range80$MS71,4/24/2023,11:44 AM,,6.07,11.33,4.33,1.03,1.05,63.65
MV$Inbred-HIPS$Rep2$Plot319$Row58$Range80$MS71,4/24/2023,11:44 AM,,6.03,11.4,4.34,1.02,1.04,63.7
MV$Inbred-HIPS$Rep2$Plot375$Row56$Range86$AK-56,4/24/2023,11:45 AM,,6.15,10.4,3.34,1.29,0.99,64.75
MV$Inbred-HIPS$Rep2$Plot375$Row56$Range86$AK-56,4/24/2023,11:45 AM,,6.41,9.99,3.41,1.35,0.99,64.5
MV$Inbred-HIPS$Rep2$Plot375$Row56$Range86$AK-56,4/24/2023,11:46 AM,,6.43,10.07,3.38,1.35,0.98,64.61
