Start Date:,5/3/2023,Start Time:,12:00 AM
End Date:,5/3/2023,End Time:,12:03 PM

Product:,Whole Corn,,Parameters:,Moisture,Protein As is,Oil As is,Fiber As is,Ash As is,Starch As is
,,,Target:,,,,,,
Sample ID,Date,Time,,,,,,,
MV$Inbred-HIPS$Rep2$Plot198$Row53$Range66$NQ508,5/3/2023,10:25 AM,,5.74,11.24,4.21,1.79,1.06,58.01
MV$Inbred-HIPS$Rep2$Plot198$Row53$Range66$NQ508,5/3/2023,10:25 AM,,5.8,11.38,4.33,1.71,1.12,58.24
MV$Inbred-HIPS$Rep2$Plot198$Row53$Range66$NQ508,5/3/2023,10:25 AM,,5.83,11.3,4.33,1.7,1.11,58.39
MV$Inbred-HIPS$Rep2$Plot274$Row56$Range75$Seagull Seventeen,5/3/2023,10:26 AM,,6.45,11.13,3.84,1.39,1,63.41
MV$Inbred-HIPS$Rep2$Plot274$Row56$Range75$Seagull Seventeen,5/3/2023,10:26 AM,,6.45,11.05,3.83,1.41,1,63.37
MV$Inbred-HIPS$Rep2$Plot274$Row56$Range75$Seagull Seventeen,5/3/2023,10:27 AM,,6.41,11.02,3.82,1.39,0.99,63.85
MV$Inbred-HIPS$Rep2$Plot184$Row56$Range65$NC328,5/3/2023,10:27 AM,,5.83,10.89,3.38,1.5,0.82,63.11
MV$Inbred-HIPS$Rep2$Plot184$Row56$Range65$NC328,5/3/2023,10:28 AM,,5.79,10.86,3.4,1.46,0.82,63.08
MV$Inbred-HIPS$Rep2$Plot184$Row56$Range65$NC328,5/3/2023,10:28 AM,,5.79,10.96,3.43,1.48,0.81,63.23
MV$Inbred-HIPS$Rep1$Plot59$Row57$Range9$807,5/3/2023,10:29 AM,,6.69,11.12,3.64,2.38,1.12,60.96
MV$Inbred-HIPS$Rep1$Plot59$Row57$Range9$807,5/3/2023,10:29 AM,,6.43,11.04,3.65,2.38,1.12,61.67
MV$Inbred-HIPS$Rep1$Plot59$Row57$Range9$807,5/3/2023,10:29 AM,,6.54,11.18,3.66,2.38,1.11,61.81
MV$Inbred-HIPS$Rep2$Plot183$Row55$Range65$NS701,5/3/2023,10:31 AM,,5.71,10.16,3.7,1.51,1.26,66
MV$Inbred-HIPS$Rep2$Plot183$Row55$Range65$NS701,5/3/2023,10:31 AM,,5.78,10.17,3.71,1.53,1.25,66.6
MV$Inbred-HIPS$Rep2$Plot183$Row55$Range65$NS701,5/3/2023,10:31 AM,,5.88,10.24,3.7,1.52,1.25,66.66
MV$Inbred-HIPS$Rep2$Plot90$Row53$Range54$PHN11,5/3/2023,10:32 AM,,5.13,11.22,4.22,0.37,0.85,63.83
MV$Inbred-HIPS$Rep2$Plot90$Row53$Range54$PHN11,5/3/2023,10:32 AM,,5.2,11.04,4.2,0.36,0.84,63.85
MV$Inbred-HIPS$Rep2$Plot90$Row53$Range54$PHN11,5/3/2023,10:32 AM,,5.13,10.71,4.14,0.49,0.86,64.14
MV$Inbred-HIPS$Rep1$Plot319$Row58$Range38$LH213,5/3/2023,10:33 AM,,5.32,11.22,4.47,1.06,1.11,62.48
MV$Inbred-HIPS$Rep1$Plot319$Row58$Range38$LH213,5/3/2023,10:33 AM,,5.28,11.06,4.49,1.05,1.11,63.2
MV$Inbred-HIPS$Rep1$Plot319$Row58$Range38$LH213,5/3/2023,10:34 AM,,5.8,10.21,4.64,0.97,1.06,64.8
MV$Inbred-HIPS$Rep2$Plot196$Row55$Range66$H49,5/3/2023,10:34 AM,,5.34,10.91,3.97,0.69,0.88,64.94
MV$Inbred-HIPS$Rep2$Plot196$Row55$Range66$H49,5/3/2023,10:35 AM,,5.57,11.09,3.66,0.89,0.87,64.79
MV$Inbred-HIPS$Rep2$Plot196$Row55$Range66$H49,5/3/2023,10:35 AM,,5.51,10.37,3.9,0.75,0.89,65.62
MV$Inbred-HIPS$Rep2$Plot195$Row56$Range66$B73,5/3/2023,10:36 AM,,5.58,9.24,4.18,0.98,1,65.89
MV$Inbred-HIPS$Rep2$Plot195$Row56$Range66$B73,5/3/2023,10:36 AM,,5.59,9.12,4.15,0.98,0.99,65.98
MV$Inbred-HIPS$Rep2$Plot195$Row56$Range66$B73,5/3/2023,10:36 AM,,5.79,8.7,3.96,1.02,0.97,66.12
MV$Inbred-HIPS$Rep1$Plot226$Row61$Range28$Oh43E,5/3/2023,10:37 AM,,6.14,12.04,4.39,1.17,1.11,62.82
MV$Inbred-HIPS$Rep1$Plot226$Row61$Range28$Oh43E,5/3/2023,10:38 AM,,6.2,12.37,4.07,1.57,1.14,62.54
MV$Inbred-HIPS$Rep1$Plot226$Row61$Range28$Oh43E,5/3/2023,10:38 AM,,6.14,12.58,4.12,1.56,1.13,62.62
MV$Inbred-HIPS$Rep1$Plot226$Row61$Range28$Oh43E,5/3/2023,10:38 AM,,6.14,12.34,4.11,1.56,1.13,62.66
MV$Inbred-HIPS$Rep2$Plot197$Row54$Range66$B73,5/3/2023,10:39 AM,,5.48,10.53,4.18,1.24,0.95,64.95
MV$Inbred-HIPS$Rep2$Plot197$Row54$Range66$B73,5/3/2023,10:39 AM,,5.5,10.42,3.86,1.24,0.94,65.07
MV$Inbred-HIPS$Rep2$Plot197$Row54$Range66$B73,5/3/2023,10:39 AM,,5.5,10.55,4.19,1.26,0.93,65.16
MV$Inbred-HIPS$Rep1$Plot320$Row57$Range38$R168,5/3/2023,10:40 AM,,5.45,11.02,4.44,0.48,1.07,64.06
MV$Inbred-HIPS$Rep1$Plot320$Row57$Range38$R168,5/3/2023,10:41 AM,,5.39,11.13,4.43,0.46,1.06,64.1
MV$Inbred-HIPS$Rep1$Plot320$Row57$Range38$R168,5/3/2023,10:41 AM,,5.53,11.18,4.4,0.47,1.01,64.27
MV$Inbred-HIPS$Rep1$Plot11$Row60$Range4$B73,5/3/2023,10:42 AM,,6.29,13.03,3.84,1.7,1.03,61.02
MV$Inbred-HIPS$Rep1$Plot11$Row60$Range4$B73,5/3/2023,10:42 AM,,6.14,13.02,3.85,1.72,1.02,60.93
MV$Inbred-HIPS$Rep1$Plot11$Row60$Range4$B73,5/3/2023,10:42 AM,,6.02,12.99,3.65,1.76,0.97,61.01
MV$Inbred-HIPS$Rep2$Plot176$Row57$Range64$CML91,5/3/2023,10:43 AM,,5.84,12.23,4.98,1.34,1.22,60.61
MV$Inbred-HIPS$Rep2$Plot176$Row57$Range64$CML91,5/3/2023,10:44 AM,,5.72,12.54,4.73,1.67,1.15,60.8
MV$Inbred-HIPS$Rep2$Plot176$Row57$Range64$CML91,5/3/2023,10:45 AM,,5.83,12.12,5.11,1.41,1.19,60.43
MV$Inbred-HIPS$Rep2$Plot320$Row57$Range80$B73Htrhm,5/3/2023,10:48 AM,,5.31,9.18,4.62,0.59,1.05,66.96
MV$Inbred-HIPS$Rep2$Plot320$Row57$Range80$B73Htrhm,5/3/2023,10:49 AM,,4.91,9.57,4.28,0.73,1.09,66.21
MV$Inbred-HIPS$Rep2$Plot320$Row57$Range80$B73Htrhm,5/3/2023,10:50 AM,,4.87,9.44,4.3,0.73,1.08,66.31
MV$Inbred-HIPS$Rep1$Plot201$Row55$Range25$2FACC,5/3/2023,10:55 AM,,5.43,8.85,4.08,1.18,0.99,66.42
MV$Inbred-HIPS$Rep1$Plot201$Row55$Range25$2FACC,5/3/2023,10:56 AM,,5.46,9.07,4.11,1.15,0.98,66.39
MV$Inbred-HIPS$Rep1$Plot201$Row55$Range25$2FACC,5/3/2023,10:56 AM,,5.4,8.8,4.12,1.15,0.98,66.47
MV$Inbred-HIPS$Rep2$Plot316$Row61$Range80$NC250,5/3/2023,10:57 AM,,5.4,12.37,4.6,1.4,0.89,60.19
MV$Inbred-HIPS$Rep2$Plot316$Row61$Range80$NC250,5/3/2023,10:57 AM,,5.39,12.23,4.81,1.41,0.88,60.23
MV$Inbred-HIPS$Rep2$Plot316$Row61$Range80$NC250,5/3/2023,10:57 AM,,5.41,13.3,4.92,1.22,0.97,60.09
