Person,QR Code,Ear #,Kernel Color,Ear Width,Kernel Fill Length,Kernel Row Number,Kernels per Row,Ear Weight,Kernel Count,Cob Width,Cob Length,Cob Weight,100 Kernel weight,Total Moisture
LL,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1050$Row10$Range35$Syngenta NK0760-3111,1,Yellow,5,15,18,36,188.7,640,2.5,17,21.5,26.2,5
LL,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1050$Row10$Range35$Syngenta NK0760-3111,2,Yellow,4.5,16.5,16,38,190.2,628,2.5,18.5,21.1,27.1,
LL,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1050$Row10$Range35$Syngenta NK0760-3111,3,Yellow,4.5,18,16,44,233,700,2.5,19,26.4,30.3,
LL,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1050$Row10$Range35$Syngenta NK0760-3111,4,Yellow,4.5,17,14,45,200.2,551,2.5,18.5,24.2,32.4,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot372$Row4$Range26$LH185 x LH145,1,Orange,4,19.5,14,41,207.38,506,2.5,20,21.47,36.31,4.7
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot372$Row4$Range26$LH185 x LH145,2,Orange,3.5,17.5,14,34,155.56,500,2,18.5,19.19,27.77,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot372$Row4$Range26$LH185 x LH145,3,Orange,3.5,13.5,14,32,115.11,413,2,16.5,15.63,24.26,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot372$Row4$Range26$LH185 x LH145,4,Orange,3.5,15.5,14,35,136.46,475,2,17,17.65,24.63,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot376$Row8$Range26$PHP02 x PHN46,1,Yellow,4.5,15.5,16,35,199.27,569,2.5,17,22.17,32.64,4.74
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot376$Row8$Range26$PHP02 x PHN46,2,Yellow,4,12,18,24,137.4,385,2.5,13.5,14.77,31.56,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot376$Row8$Range26$PHP02 x PHN46,3,Yellow,4.5,15,16,33,179.17,446,2.5,16.5,22.54,33.52,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot376$Row8$Range26$PHP02 x PHN46,4,Yellow,4,13,18,28,153.07,467,2.5,15.5,19.09,29.42,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot381$Row13$Range26$B73 x PHZ51,1,Yellow,4.5,18,18,45,256.74,727,3,18.5,34.11,32.55,4.89
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot381$Row13$Range26$B73 x PHZ51,2,Yellow,4,17,18,38,212.57,648,3,18,29.88,28.25,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot381$Row13$Range26$B73 x PHZ51,3,Yellow,4.5,14,16,33,166.49,474,2.5,16,23.94,30.86,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot381$Row13$Range26$B73 x PHZ51,4,Yellow,4.5,13,16,30,163.31,469,2.5,14.5,22.36,32.02,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot375$Row7$Range26$PHK56 x W606S,1,Orange,4.5,15,16,34,185.52,489,2.5,16.5,27.08,32.66,4.99
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot375$Row7$Range26$PHK56 x W606S,2,Orange,4.5,15,18,30,181.97,492,2.5,17,24.59,33.13,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot375$Row7$Range26$PHK56 x W606S,3,Orange,4,16.5,18,32,172.88,476,2.5,19,27.05,30.21,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot375$Row7$Range26$PHK56 x W606S,4,Orange,4,17.5,14,39,179.89,484,2.5,19,25.34,33.33,
