qr,loc,plot,field,nLvl,irrigation,rep,row,range,genotype,population,anthesisDate,anthesisCollector,silkingDate,silkingCollector,notes,leafDimHtNotes,leafDimHtCollector,leafDimHtDate,earHt,flagLeafHt,plantHt,harvestDate,combineYield,combineMoisture,combineTestWt,harvestSeq,combineNotes,earLen,earFillLen,earWidth,shelledCobWidth,shelledCobWt,kernelsPerEar,kernelMass,kernelColor,kernelStriping,hundredKernelWt,pctMoistureEarPhenotyping,moistureCorrectedStarch,moistureCorrectedProtein,moistureCorrectedOil,moistureCorrectedFiber,moistureCorrectedAsh
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT1$ROW1$RANGE1$2FACC X 3IIH6,North Platte1,1,Hybrid HIPS,Low,Full,1,1,1,2FACC X 3IIH6,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,13.5,4,2.6,20.4,20.4,129,yellow,N,27.7,4.9,72.14,9.69,3.81,0.45,0.93
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT17$ROW1$RANGE2$PHK56 X 3IIH6,North Platte1,17,Hybrid HIPS,Low,Full,1,1,2,PHK56 X 3IIH6,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,15.1,4.1,3,16.3,16.3,119.3,yellow,N,26.3,4.4,70.3,7.44,3.11,0.73,0.87
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT33$ROW1$RANGE3$WF9 X H95,North Platte1,33,Hybrid HIPS,Low,Full,1,1,3,WF9 X H95,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,14.5,4.2,3,22.6,22.6,118.6,yellow,N,26.1,4.3,69.32,11.54,4.23,0.89,0.89
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT49$ROW1$RANGE4$PHP02 X LH145,North Platte1,49,Hybrid HIPS,Low,Full,1,1,4,PHP02 X LH145,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,15.5,4.1,3.2,22.7,22.7,116.1,yellow,N,27.1,4.2,69.41,11.48,3.96,0.9,0.94
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT65$ROW1$RANGE5$B73 X PHZ51,North Platte1,65,Hybrid HIPS,Low,Full,1,1,5,B73 X PHZ51,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,14.2,4,2.5,24,24,130.8,yellow,N,26.8,NA,71.07,9.03,4.04,0.86,0.91
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT81$ROW1$RANGE6$PHW52 X PHM49,North Platte1,81,Hybrid HIPS,Low,Full,1,1,6,PHW52 X PHM49,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,13.9,4.1,2.2,18.4,18.4,130.6,yellow,N,32.2,3.9,70.58,9.61,4.09,0.56,0.84
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT97$ROW1$RANGE7$B14A X MO17,North Platte1,97,Hybrid HIPS,Low,Full,1,1,7,B14A X MO17,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,16.1,4.2,2.9,19.2,19.2,140.8,yellow,N,29.4,4.6,68.04,8.89,4.36,1.27,1.03
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT113$ROW1$RANGE8$2369 X PHP02,North Platte1,113,Hybrid HIPS,Low,Full,1,1,8,2369 X PHP02,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,15.6,4.2,3,23.9,23.9,138.3,yellow,N,29.6,4.6,68.79,10.73,4.2,1.08,1.07
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT129$ROW1$RANGE9$LH185 X LH145,North Platte1,129,Hybrid HIPS,Low,Full,1,1,9,LH185 X LH145,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,16.6,4,2.5,18.2,18.2,128.7,orange,N,30.1,3.9,70.97,10.16,3.54,0.77,0.76
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT145$ROW1$RANGE10$PHB47 X PHK56,North Platte1,145,Hybrid HIPS,Low,Full,1,1,10,PHB47 X PHK56,Hybrid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,15.6,4.5,2.9,24.4,24.4,184.3,yellow,N,32.1,4.8,68.39,9.87,3.85,1.29,1.11
