qrCode,location,sublocation,irrigationProvided,N,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,column,range,plot,genotype,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,plantH,plantDensity,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,kernelColor,notes,rep
22-A-1594251,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,16,1,59,4,1594251,29MIBZ2,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,35,107,3529,14.796,NA,3.714,2.336,NA,13.3,239,24.803,59.2,2.336,NA,;;;;;;;x - collect data; but analyze team may need to assess photos;;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;;NA;NA,1
22-A-1594252,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,32,1,50,4,1594252,F42,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,30,118,7059,10.944,NA,4.271,2.657,NA,17,225,24.587,55.4,2.657,NA,;;;;;;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594253,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,16,1,58,3,1594253,LH54,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,36,94,3529,17.621,NA,3.541,2.151,NA,9.3,139,33.026,45.8,2.151,NA,;;;;;;;x - collect data; but analyze team may need to assess photos;Smooth cob/ovule issue;x - collect data; but analyze team may need to assess photos;Smooth cob/ovule issue;x - collect data; but analyze team may need to assess photos;Smooth cob/ovule issue;x - collect data; but analyze team may need to assess photos;Smooth cob/ovule issue;x - collect data; but analyze team may need to assess photos;Smooth cob/ovule issue;x - collect data; but analyze team may need to assess photos;Smooth cob/ovule issue;NA;NA,1
22-A-1594254,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,31,1,55,4,1594254,NC230,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,23,80,6838,11.077,NA,4.019,2.616,NA,13.3,190,23.789,45.2,2.616,NA,;;;;x -set asside;;;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594255,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,24,1,51,3,1594255,A188,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,33,101,5294,9.816,NA,3.422,1.856,NA,10.3,148,26.169,38.6,1.856,NA,;;;;;;;NA;NA,1
22-A-1594256,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,28,1,56,6,1594256,CI187-2,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,147,92,6176,14.738,NA,3.684,2.463,NA,14,282,23.339,65.7,2.463,NA,;;;;;x - collect data; but analyze team may need to assess photos;;NA;NA,1
22-A-1594257,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,30,1,55,5,1594257,NC290A,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,45,86,6618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,;x -set asside;x -set asside;NA;NA,1
22-A-1594258,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,26,1,48,3,1594258,NC364,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,48,108,5735,13.351,NA,4.123,2.587,NA,15.7,311,31.24,97.3,2.587,NA,;;;;;;;x - collect data; but analyze team may need to assess photos;;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;;;NA;NA,1
22-A-1594259,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,24,1,49,4,1594259,W22,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,52,117,5294,14.393,NA,3.558,2.601,NA,15.5,124,23.763,29.5,2.601,NA,;;;;;x -set asside;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;x - collect data; but analyze team may need to assess photos;NA;NA,1
22-A-1594260,Ames,Ames B1,NA,Medium,150,LC_2232,7.5,27,1,48,5,1594260,NC262,5/23/22,NA,NA,NA,NA,NA,NA,NA,NA,45,96,5956,8.335,NA,3.547,2.625,NA,14,52,22.308,11.6,2.625,NA,;;x -set asside;x -set asside;x -set asside;x - collect data; but analyze team may need to assess photos;NA;NA,1
