date,minTemp,maxTemp,GDD,location,lat,lon,tmin,tmax
2022-06-08,62.5,79,20.75,Scottsbluff,NA,NA,NA,NA
2022-06-09,56.1,86.1,21.05,Scottsbluff,NA,NA,NA,NA
2022-06-10,51.1,91.5,18.55,Scottsbluff,NA,NA,NA,NA
2022-06-11,54.2,91.8,20.1,Scottsbluff,NA,NA,NA,NA
2022-06-12,56.7,90.6,21.35,Scottsbluff,NA,NA,NA,NA
2022-06-13,55.7,96.3,20.85,Scottsbluff,NA,NA,NA,NA
2022-06-14,54.4,74.9,14.65,Scottsbluff,NA,NA,NA,NA
2022-06-15,49.1,84.3,17.15,Scottsbluff,NA,NA,NA,NA
2022-06-16,45.2,90.3,18,Scottsbluff,NA,NA,NA,NA
2022-06-17,64.9,99.1,25.45,Scottsbluff,NA,NA,NA,NA
2022-07-02,68.9,86.3,27.45,Scottsbluff,NA,NA,NA,NA
2022-07-03,62.9,94.6,24.45,Scottsbluff,NA,NA,NA,NA
2022-07-04,58.9,93.5,22.45,Scottsbluff,NA,NA,NA,NA
2022-07-05,60.8,92.9,23.4,Scottsbluff,NA,NA,NA,NA
2022-07-06,60.4,78.4,19.4,Scottsbluff,NA,NA,NA,NA
2022-07-07,58.4,88.2,22.2,Scottsbluff,NA,NA,NA,NA
2022-07-08,54,75.8,14.9,Scottsbluff,NA,NA,NA,NA
2022-07-11,77.6,112.2,31.8,Scottsbluff,NA,NA,NA,NA
2022-07-12,56.7,111.8,21.35,Scottsbluff,NA,NA,NA,NA
2022-07-13,59.8,102,22.9,Scottsbluff,NA,NA,NA,NA
2022-07-14,61.5,101.2,23.75,Scottsbluff,NA,NA,NA,NA
2022-07-15,62.7,91.4,24.35,Scottsbluff,NA,NA,NA,NA
2022-07-16,60.8,96.3,23.4,Scottsbluff,NA,NA,NA,NA
2022-07-17,57.6,96.8,21.8,Scottsbluff,NA,NA,NA,NA
2022-07-18,69,93.8,27.5,Scottsbluff,NA,NA,NA,NA
2022-07-19,66,86.6,26,Scottsbluff,NA,NA,NA,NA
2022-07-21,71.5,97.1,28.75,Scottsbluff,NA,NA,NA,NA
2022-07-22,58.7,95.6,22.35,Scottsbluff,NA,NA,NA,NA
