qrCode,year,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,row,range,plotNumber,genotype,pedigreeID,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,flagLeafHeight,plantDensity,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,kernelColor,percentLodging,harvestDate,notes
22-A-1594251,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,16,1,59,4,1594251,29MIBZ2,1715804,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,35,107,3529,14.796,NA,3.714,2.336,NA,13.3,239,24.803,42.04,17.16,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;x - collect data; but alyze team may need to assess photos;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;
22-A-1594252,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,32,1,50,4,1594252,F42,1715692,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,30,118,7059,10.944,NA,4.271,2.657,NA,17,225,24.587,40.68,14.72,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594253,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,16,1,58,3,1594253,LH54,1715816,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,36,94,3529,17.621,NA,3.541,2.151,NA,9.3,139,33.026,26.54,19.26,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;x - collect data; but alyze team may need to assess photos;Smooth cob/ovule issue;x - collect data; but alyze team may need to assess photos;Smooth cob/ovule issue;x - collect data; but alyze team may need to assess photos;Smooth cob/ovule issue;x - collect data; but alyze team may need to assess photos;Smooth cob/ovule issue;x - collect data; but alyze team may need to assess photos;Smooth cob/ovule issue;x - collect data; but alyze team may need to assess photos;Smooth cob/ovule issue;;
22-A-1594254,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,31,1,55,4,1594254,NC230,1715814,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,23,80,6838,11.077,NA,4.019,2.616,NA,13.3,190,23.789,30.95,14.25,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;x -set asside;;;x - collect data; but alyze team may need to assess photos;;
22-A-1594255,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,24,1,51,3,1594255,A188,1715807,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,33,101,5294,9.816,NA,3.422,1.856,NA,10.3,148,26.169,32.5,6.1,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;;
22-A-1594256,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,28,1,56,6,1594256,CI187-2,1715839,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,147,92,6176,14.738,NA,3.684,2.463,NA,14,282,23.339,49,16.7,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;x - collect data; but alyze team may need to assess photos;;;
22-A-1594257,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,30,1,55,5,1594257,NC290A,1715821,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,45,86,6618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;x -set asside;x -set asside;;
22-A-1594258,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,26,1,48,3,1594258,NC364,1715817,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,48,108,5735,13.351,NA,4.123,2.587,NA,15.7,311,31.24,77.98,19.32,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;;
22-A-1594259,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,24,1,49,4,1594259,W22,1715823,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,52,117,5294,14.393,NA,3.558,2.601,NA,15.5,124,23.763,7.03,22.467,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;x -set asside;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594260,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,27,1,48,5,1594260,NC262,1715837,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,45,96,5956,8.335,NA,3.547,2.625,NA,14,52,22.308,3.3,8.3,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;x -set asside;x -set asside;x -set asside;x - collect data; but alyze team may need to assess photos;;
22-A-1594261,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,27,1,56,4,1594261,RS 710,1715819,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,29,97,5956,9.43,NA,3.014,2.074,NA,14,86,15.289,5.63,7.575,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;Seed missing on either side of ear at widest point;;;;x -set asside;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594262,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,30,1,57,4,1594262,MO47,1715808,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,35,83,6618,11.738,NA,3.443,2.344,NA,13.3,132,20.952,15.04,12.66,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594263,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,30,1,47,5,1594263,78010,1715822,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,50,87,6618,11.7,NA,4.064,2.557,NA,15.2,163,29.171,34.55,12.95,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;x -set asside;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594264,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,36,1,54,3,1594264,LH57,1715806,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,35,100,7941,10.346,NA,3.296,1.49,NA,10.7,136,24.28,29.4,3.5,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;x - collect data; but alyze team may need to assess photos;;;;
22-A-1594265,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,28,1,51,4,1594265,PHG47,1715832,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,33,103,6176,10.755,NA,3.453,2.108,NA,13.7,184,25.011,38.2,7.8,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;;;;x - collect data; but alyze team may need to assess photos;;x - collect data; but alyze team may need to assess photos;;
22-A-1594266,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,33,1,56,3,1594266,778,1715820,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,69,131,7279,12.315,NA,4.234,2.317,NA,13.7,245,29.625,57.68,14.92,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;;;;;;;;
22-A-1594267,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,25,1,58,4,1594267,WIL500,NA,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,43,83,5515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;x -set asside;x -set asside;x -set asside;;
22-A-1594268,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,28,1,53,5,1594268,L127,1715813,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,51,112,6176,14.394,NA,3.954,2.559,NA,13.3,225,27.345,42.36,19.24,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;;;
22-A-1594269,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,24,1,54,5,1594269,NC360,1715828,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,65,100,5294,13.737,NA,3.565,2.41,NA,13,128,31.484,22.7,17.6,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
22-A-1594270,2022,Ames,Ames B1,0,Medium,150,LC_2232,7.5,20,1,59,3,1594270,W117HT,1715694,5/23/2022,NA,NA,NA,NA,NA,NA,NA,NA,28,77,4412,9.465,NA,3.39,2.231,NA,13,58,25.977,7.53,7.567,NA,NA,NA,NA,NA,NA,NA,NA,10/23/2022,;;;;;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;x - collect data; but alyze team may need to assess photos;;
