location,date,tmax,tmin,GDD,lat,lon
Ames,2023-06-19,86.6,71.4,28.7,NA,NA
Ames,2023-06-20,85.4,63,24.2,NA,NA
Ames,2023-06-21,86.2,59.9,22.95,NA,NA
Ames,2023-06-22,91,60.6,23.3,NA,NA
Ames,2023-06-23,91.1,63.4,24.7,NA,NA
Ames,2023-06-24,80.4,64.8,22.6,NA,NA
Ames,2023-06-25,76,62.2,19.1,NA,NA
Ames,2023-06-26,75.5,61,18.25,NA,NA
Ames,2023-06-27,82.4,56.3,19.35,NA,NA
Ames,2023-06-28,82.9,65.8,24.35,NA,NA
Ames,2023-06-29,86.7,65.3,25.65,NA,NA
Ames,2023-06-30,85.2,64.6,24.9,NA,NA
Ames,2023-07-01,74.1,66.6,20.35,NA,NA
Ames,2023-07-02,84.2,64.3,24.25,NA,NA
Ames,2023-07-03,88.8,64.9,25.45,NA,NA
Ames,2023-07-04,90.5,64.8,25.4,NA,NA
Ames,2023-07-05,77.4,61,19.2,NA,NA
Ames,2023-07-06,73.9,52,12.95,NA,NA
Ames,2023-07-07,66.5,48.8,8.25,NA,NA
Ames,2023-07-08,76.9,53,14.95,NA,NA
Ames,2023-07-09,80.6,51.4,16,NA,NA
Ames,2023-07-10,87.7,56.4,21.2,NA,NA
Ames,2023-07-11,84.7,64.1,24.4,NA,NA
Ames,2023-07-12,75,62.3,18.65,NA,NA
Ames,2023-07-13,84.4,59.8,22.1,NA,NA
Ames,2023-07-14,80.8,65.6,23.2,NA,NA
Ames,2023-07-15,82.1,60,21.05,NA,NA
Ames,2023-07-16,78.5,59.8,19.15,NA,NA
Ames,2023-07-17,74.5,57.2,15.85,NA,NA
Ames,2023-07-18,78,53.3,15.65,NA,NA
Ames,2023-07-19,84.2,57.1,20.65,NA,NA
Ames,2023-07-20,78.7,60.3,19.5,NA,NA
Ames,2023-07-21,79.6,56.3,17.95,NA,NA
Ames,2023-07-22,84.8,57.3,21.05,NA,NA
Ames,2023-07-23,83.4,61.4,22.4,NA,NA
Ames,2023-07-24,85.4,59.3,22.35,NA,NA
Ames,2023-07-25,84.9,65.4,25.15,NA,NA
Ames,2023-07-26,90.2,68.9,27.45,NA,NA
Ames,2023-07-27,85.3,68.8,27.05,NA,NA
Ames,2023-07-28,95,70.2,28.1,NA,NA
Ames,2023-07-29,82.4,63.5,22.95,NA,NA
Ames,2023-07-30,83.6,58.8,21.2,NA,NA
Ames,2023-07-31,82.3,59.7,21,NA,NA
Ames,2023-08-01,83.8,60.7,22.25,NA,NA
Ames,2023-08-02,77.9,66.9,22.4,NA,NA
Ames,2023-08-03,84.5,65.5,25,NA,NA
Ames,2023-08-04,83.3,62.7,23,NA,NA
Ames,2023-08-05,83.1,68.3,25.7,NA,NA
Ames,2023-08-06,76.5,63.9,20.2,NA,NA
Ames,2023-08-07,79,62,20.5,NA,NA
Ames,2023-08-08,82.4,59.5,20.95,NA,NA
Ames,2023-08-09,80.7,59.4,20.05,NA,NA
Ames,2023-08-10,86.2,59.8,22.9,NA,NA
Ames,2023-08-11,89.3,62.2,24.1,NA,NA
Ames,2023-08-12,86.1,60.7,23.35,NA,NA
Ames,2023-08-13,78.1,61.1,19.6,NA,NA
Ames,2023-08-14,71.9,58.9,15.4,NA,NA
Ames,2023-08-15,78.8,53.5,16.15,NA,NA
Ames,2023-08-16,83.9,54.9,19.4,NA,NA
Ames,2023-08-17,73.7,54.6,14.15,NA,NA
Ames,2023-08-18,78.9,48.5,14.45,NA,NA
Ames,2023-08-19,92,61.7,23.85,NA,NA
Ames,2023-08-20,89.1,71.9,28.95,NA,NA
Ames,2023-08-21,88.7,66.3,26.15,NA,NA
Ames,2023-08-22,96.3,70,28,NA,NA
Ames,2023-08-23,97.8,75.2,30.6,NA,NA
Ames,2023-08-24,93.2,74.8,30.4,NA,NA
Ames,2023-08-25,86.3,70.1,28.05,NA,NA
Ames,2023-08-26,78.6,61.4,20,NA,NA
Ames,2023-08-27,76.6,53.9,15.25,NA,NA
Ames,2023-08-28,85.9,51.4,18.65,NA,NA
Ames,2023-08-29,80.8,59.7,20.25,NA,NA
Ames,2023-08-30,80.7,51.2,15.95,NA,NA
Ames,2023-08-31,79,50.2,14.6,NA,NA
Ames,2023-09-01,86.1,51.3,18.65,NA,NA
Ames,2023-09-02,94.8,55.8,20.9,NA,NA
Ames,2023-09-03,96.4,61.6,23.8,NA,NA
Ames,2023-09-04,94.2,61.4,23.7,NA,NA
Ames,2023-09-05,92.4,65.7,25.85,NA,NA
Ames,2023-09-06,72.7,51.4,12.05,NA,NA
Ames,2023-09-07,76.8,46.1,13.4,NA,NA
Ames,2023-09-08,80.2,52.4,16.3,NA,NA
Ames,2023-09-09,82,51.7,16.85,NA,NA
Ames,2023-09-10,73.9,56.4,15.15,NA,NA
Ames,2023-09-11,73.4,50.9,12.15,NA,NA
Ames,2023-09-12,77.3,45,13.65,NA,NA
Ames,2023-09-13,78.1,46.1,14.05,NA,NA
Ames,2023-09-14,82.7,44.4,16.35,NA,NA
Ames,2023-09-15,77.5,52.5,15,NA,NA
Ames,2023-09-16,78.3,50,14.15,NA,NA
Ames,2023-09-17,74.2,46.1,12.1,NA,NA
Ames,2023-09-18,80.1,40.8,15.05,NA,NA
Ames,2023-09-19,65.3,58.4,11.85,NA,NA
Ames,2023-09-20,80.6,53.3,16.95,NA,NA
Ames,2023-09-21,80.7,48,15.35,NA,NA
Ames,2023-09-22,68,60.4,14.2,NA,NA
Ames,2023-09-23,79.8,60.8,20.3,NA,NA
Ames,2023-09-24,79.2,60,19.6,NA,NA
Ames,2023-09-25,76.9,50.8,13.85,NA,NA
Ames,2023-09-26,72.9,54.3,13.6,NA,NA
Ames,2023-09-27,75.4,51.8,13.6,NA,NA
