qr	loc	plot	field	nLvl	irrigation	rep	row	range	genotype	population	harvestDate	combineYield	combineMoisture	combineTestWt	harvestSeq	combineNotes
4101$ROW2$RANGE2$PHN46 X W606S	Lincoln	4101	Hybrid HIPS	Medium	Dryland	1	2	2	PHN46 X W606S	Hybrid	2022-10-10 09:50:44	5.68	13.7	62.4	1	NA
4102$ROW2$RANGE3$PHK56 X W606S	Lincoln	4102	Hybrid HIPS	Medium	Dryland	1	2	3	PHK56 X W606S	Hybrid	2022-10-10 10:28:10	6.81	13.2	62.5	76	NA
4103$ROW2$RANGE4$PHK56 X PHJ89	Lincoln	4103	Hybrid HIPS	Medium	Dryland	1	2	4	PHK56 X PHJ89	Hybrid	2022-10-10 10:28:50	3.78	13.7	62.2	77	NA
4104$ROW2$RANGE5$PHJ40 X LH82	Lincoln	4104	Hybrid HIPS	Medium	Dryland	1	2	5	PHJ40 X LH82	Hybrid	2022-10-10 10:57:59	8.46	12.5	62.8	152	NA
4105$ROW2$RANGE6$PHP02 X PHK76	Lincoln	4105	Hybrid HIPS	Medium	Dryland	1	2	6	PHP02 X PHK76	Hybrid	2022-10-10 11:00:14	4.23	12.6	62.7	153	NA
4106$ROW2$RANGE7$2FACC X 3IIH6	Lincoln	4106	Hybrid HIPS	Medium	Dryland	1	2	7	2FACC X 3IIH6	Hybrid	2022-10-10 11:33:39	3.52	12.7	62.6	228	NA
4107$ROW2$RANGE8$PIONEER P0589 AMXT	Lincoln	4107	Hybrid HIPS	Medium	Dryland	1	2	8	PIONEER P0589 AMXT	Hybrid	2022-10-10 11:37:35	10.76	12.7	62.6	229	NA
4201$ROW2$RANGE9$PHW52 X PHN82	Lincoln	4201	Hybrid HIPS	Medium	Dryland	2	2	9	PHW52 X PHN82	Hybrid	2022-10-10 12:06:27	6.92	13.1	62.3	304	NA
4202$ROW2$RANGE10$HOEGEMEYER 7089 AMXT	Lincoln	4202	Hybrid HIPS	Medium	Dryland	2	2	10	HOEGEMEYER 7089 AMXT	Hybrid	2022-10-10 12:07:01	11.14	12.7	62.6	305	NA
4203$ROW2$RANGE11$LH195 X LH185	Lincoln	4203	Hybrid HIPS	Medium	Dryland	2	2	11	LH195 X LH185	Hybrid	2022-10-10 13:18:50	5.59	13	61.7	380	NA
4204$ROW2$RANGE12$PHK76 X LH145	Lincoln	4204	Hybrid HIPS	Medium	Dryland	2	2	12	PHK76 X LH145	Hybrid	2022-10-10 13:19:22	5.16	12.9	62	381	NA
4205$ROW2$RANGE13$PHK76 X LH82	Lincoln	4205	Hybrid HIPS	Medium	Dryland	2	2	13	PHK76 X LH82	Hybrid	2022-10-10 13:43:47	6.84	12.1	62.6	456	NA
4206$ROW2$RANGE14$PHK56 X LH145	Lincoln	4206	Hybrid HIPS	Medium	Dryland	2	2	14	PHK56 X LH145	Hybrid	2022-10-10 13:44:37	2.01	11.9	62.4	457	NA
4207$ROW2$RANGE15$N209 X 3IIH6	Lincoln	4207	Hybrid HIPS	Medium	Dryland	2	2	15	N209 X 3IIH6	Hybrid	2022-10-10 14:06:06	6.4	11.4	62.9	532	NA
4108$ROW3$RANGE2$B37 X OH43	Lincoln	4108	Hybrid HIPS	Medium	Dryland	1	3	2	B37 X OH43	Hybrid	2022-10-10 09:51:15	3.75	16	60.5	2	NA
4109$ROW3$RANGE3$LH74 X PHN82	Lincoln	4109	Hybrid HIPS	Medium	Dryland	1	3	3	LH74 X PHN82	Hybrid	2022-10-10 10:27:43	4.97	13.9	62.1	75	NA
4110$ROW3$RANGE4$PHT69 X 3IIH6	Lincoln	4110	Hybrid HIPS	Medium	Dryland	1	3	4	PHT69 X 3IIH6	Hybrid	2022-10-10 10:29:09	8.12	12.7	62.8	78	NA
4111$ROW3$RANGE5$PHK76 X 3IIH6	Lincoln	4111	Hybrid HIPS	Medium	Dryland	1	3	5	PHK76 X 3IIH6	Hybrid	2022-10-10 10:57:36	4.28	12.9	62.5	151	NA
4112$ROW3$RANGE6$PHP02 X LH185	Lincoln	4112	Hybrid HIPS	Medium	Dryland	1	3	6	PHP02 X LH185	Hybrid	2022-10-10 11:00:39	3.83	12.8	62.6	154	NA
4113$ROW3$RANGE7$PHK76 X LH198	Lincoln	4113	Hybrid HIPS	Medium	Dryland	1	3	7	PHK76 X LH198	Hybrid	2022-10-10 11:33:17	6.2	16.2	59.3	227	NA
