qr	loc	plot	field	nLvl	irrigation	rep	row	range	genotype	population	anthesisDate	silkDate	notes	leafDimHtNotes	leafDimHtDate	earHt	flagLeafHt	tasselTipHt	harvestDate	combineYield	combineMoisture	combineTestWt	harvestSeq	combineNotes	earFillLen	earWidth	shelledCobLen	shelledCobWidth	shelledCobWt	kernelsPerEar	kernelMass	kernelColor	kernelStriping	kernelsPerRow	kernelRows	hundredKernelWt	moistureCorrectedStarch	moistureCorrectedProtein	moistureCorrectedOil	moistureCorrectedFiber	moistureCorrectedAsh	pctMoistureNIR	latitude	longitude	yieldPerAc	plantDensity	pctRootLodge	pctStalkLodge	plantDate	totalStandCt	block	plotLen	daysToAnthesis	daysToSilk	moistureCorrectedKernelMass	moistureCorrectedHundredKernelWt	earLen	earWt	lbsNPerAc	ASI
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP2$PLOT62$ROW14$RANGE4$PHP02 X PHK76	North Platte1	62	Hybrid HIPS	Low	Full	2	14	4	PHP02 X PHK76	Hybrid	2022-07-19	2022-07-20	NA	NA	NA	140	290	NA	2022-11-01 05:00:00	20.456205	11.918365	60.268299	NA	NA	14.2	4	16.5	2.5	17.8	354	105.6	yellow	N	27.5	15.5	NA	68.96	9.8	3.39	0.91	0.96	0.03	NA	NA	189.559483610138	32500	0	0	2022-05-17 05:00:00	65	NA	17.5	63	64	108.865979381443	29.8969072164948	NA	NA	75	1
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP2$PLOT174$ROW14$RANGE11$SYNGENTA NK0760-3111	North Platte1	174	Hybrid HIPS	Low	Full	2	14	11	SYNGENTA NK0760-3111	Hybrid	2022-07-25	2022-07-26	NA	NA	NA	120	290	NA	2022-11-01 05:00:00	26.02236	12.841623	59.507301	NA	NA	15.1	4.1	16.2	2.4	19.2	531.2	151.9	yellow	N	36.2	16	NA	68.87	8.3	3.91	1.46	1.2	0.03	NA	NA	238.611239835217	35000	0	0	2022-05-17 05:00:00	70	NA	17.5	69	70	156.59793814433	28.7628865979381	NA	NA	75	1
NORTH PLATTE$HIPS - NO IRRIGATION - LOW NITROGEN$REP1$PLOT1140$ROW4$RANGE5$PHP02 X PHG47	North Platte3	1140	Hybrid HIPS	Low	Non-Irrigated	1	4	5	PHP02 X PHG47	Hybrid	2022-07-20	2022-07-20	NA	NA	NA	110	270	NA	2022-10-21 05:00:00	8.568668	11.34765	60.789799	NA	NA	14.8	4	18.5	2.6	19.2	474.8	116.3	yellow	N	34.2	15	NA	68.74	10.05	3.98	1.09	1.08	0.05	NA	NA	82.2674011164549	24705.8823529412	0	0	2022-05-18 05:00:00	48	NA	17	63	63	122.421052631579	23.7894736842105	NA	NA	75	0
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT50$ROW2$RANGE4$2369 X LH123HT	North Platte1	50	Hybrid HIPS	Low	Full	1	2	4	2369 X LH123HT	Hybrid	2022-07-23	2022-07-26	NA	NA	NA	140	310	NA	2022-10-31 05:00:00	17.071606	15.4596	58.729698	NA	NA	15.1	4.1	16.1	3	23.8	429	99.9	yellow	N	30.8	15.5	NA	68.23	11.75	3.71	1.51	0.8	0.03	NA	NA	151.835652261508	33500	0	0	2022-05-17 05:00:00	67	NA	17.5	67	70	102.989690721649	26.701030927835	NA	NA	75	3
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP2$PLOT57$ROW9$RANGE4$B37 X H95	North Platte1	57	Hybrid HIPS	Low	Full	2	9	4	B37 X H95	Hybrid	2022-07-25	2022-07-29	NA	NA	NA	150	290	NA	2022-11-01 05:00:00	13.739262	15.300798	58.489101	NA	NA	12.6	4.5	13.6	3.1	19	506.2	110.8	yellow	N	28	18	NA	69.67	10.14	4.22	0.98	0.85	0.04	NA	NA	122.427168739395	34000	0	0	2022-05-17 05:00:00	68	NA	17.5	69	73	115.416666666667	25.625	NA	NA	75	4
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT167$ROW7$RANGE11$SYNGENTA NK0760-3111	North Platte1	167	Hybrid HIPS	Low	Full	1	7	11	SYNGENTA NK0760-3111	Hybrid	2022-07-25	2022-07-26	NA	NA	NA	130	290	NA	2022-11-01 05:00:00	17.198109	14.15089	59.716	NA	NA	16.9	4.5	18.4	2.9	20.9	510.5	158	yellow	N	39.2	15.5	NA	67.36	9.24	4.11	1.61	1.27	0.03	NA	NA	155.328653119346	34500	0	0	2022-05-17 05:00:00	69	NA	17.5	69	70	162.886597938144	32.4742268041237	NA	NA	75	1
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT164$ROW4$RANGE11$PHK76 X LH145	North Platte1	164	Hybrid HIPS	Low	Full	1	4	11	PHK76 X LH145	Hybrid	2022-07-16	2022-07-18	NA	NA	NA	130	290	NA	2022-10-31 05:00:00	21.118788	12.583899	60.279102	NA	NA	16.2	3.9	17.8	2.8	22.2	434.2	117.9	yellow	N	34.8	13.5	NA	71.8	9.47	3.69	0.36	0.73	0.04	NA	NA	194.220695291224	33500	0	1.49253731343284	2022-05-17 05:00:00	67	NA	17.5	60	62	122.8125	26.9791666666667	NA	NA	75	2
NORTH PLATTE$HIPS - NO IRRIGATION - MEDIUM NITROGEN$REP2$PLOT1570$ROW16$RANGE28$LH82 X W606S	North Platte3	1570	Hybrid HIPS	Medium	Non-Irrigated	2	16	28	LH82 X W606S	Hybrid	2022-07-27	2022-07-24	NA	NA	NA	100	240	NA	2022-10-24 05:00:00	7.580135	11.745582	60.9608	NA	NA	11.9	3.8	15.6	3	14.5	432.2	68.7	orange	N	25.5	17	NA	68.87	10.8	3.96	0.94	1.19	0.06	NA	NA	72.4498690899928	33455.8823529412	0	0	2022-05-18 05:00:00	65	NA	17	70	67	73.0851063829787	16.1702127659574	NA	NA	150	-3
NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP2$PLOT170$ROW10$RANGE11$SYNGENTA NK0760-3111	North Platte1	170	Hybrid HIPS	Low	Full	2	10	11	SYNGENTA NK0760-3111	Hybrid	2022-07-24	2022-07-25	NA	NA	NA	130	290	NA	2022-11-01 05:00:00	22.045023	13.260174	59.250099	NA	NA	15.9	4.5	17.4	3	21.2	554.8	160.7	yellow	N	37.5	16	NA	72.29	8.6	3.76	1.67	1.25	0.03	NA	NA	201.170448888159	32500	0	1.53846153846154	2022-05-17 05:00:00	65	NA	17.5	68	69	165.670103092784	30.7216494845361	NA	NA	75	1
NORTH PLATTE$HIPS - FULL IRRIGATION - HIGH NITROGEN$REP2$PLOT412$ROW12$RANGE28$PHW52 X LH185	North Platte1	412	Hybrid HIPS	High	Full	2	12	28	PHW52 X LH185	Hybrid	2022-07-26	2022-07-22	NA	NA	NA	120	270	NA	2022-11-01 05:00:00	21.623672	14.9968	58.184101	NA	NA	16.2	4.5	16.6	2.9	18.4	453.8	154.8	yellow	N	34.8	15	NA	69.7	8.2	3.93	0.64	0.88	0.02	NA	NA	193.374766608109	33000	0	0	2022-05-17 05:00:00	66	NA	17.5	70	66	157.959183673469	33.5714285714286	NA	NA	225	-4
