qr	loc	plot	field	nLvl	irrigation	rep	row	range	genotype	population	anthesisDate	silkDate	notes	leafDimHtDate	earHt	flagLeafHt	tasselTipHt	harvestDate	combineYield	combineMoisture	combineTestWt	harvestSeq	earFillLen	earWidth	shelledCobLen	shelledCobWidth	shelledCobWt	kernelsPerEar	kernelMass	kernelColor	kernelStriping	kernelsPerRow	kernelRows	hundredKernelWt	moistureCorrectedStarch	moistureCorrectedProtein	moistureCorrectedOil	moistureCorrectedFiber	moistureCorrectedAsh	pctMoistureNIR	latitude	longitude	yieldPerAc	plantDensity	pctRootLodge	pctStalkLodge	plantDate	totalStandCt	plotLen	daysToAnthesis	daysToSilk	moistureCorrectedKernelMass	moistureCorrectedHundredKernelWt	earLen	earWt	lbsNPerAc	ASI	GDDToAnthesis	GDDToSilk	ASI.GDD	exp
MV$INBRED-HIPS$REP2$PLOT199$ROW53$RANGE67$F118	Missouri Valley	199	Inbred HIPS	Medium	Non-Irrigated	1	53	67	NA	Inbred	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.1	11.6	2.9	16.6	275.5	77.9	yellow	N	21.2	17	NA	NA	NA	NA	NA	NA	NA	41.671	-95.94165	NA	32000	NA	NA	2022-04-29	32	17.5	NA	NA	NA	NA	NA	NA	175	NA	NA	NA	NA	LC_2211
MV$INBRED-HIPS$REP2$PLOT201$ROW55$RANGE67$OH43E	Missouri Valley	201	Inbred HIPS	Medium	Non-Irrigated	1	55	67	NA	Inbred	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5	15.1	2.5	14.6	414	71.5	yellow	N	32.8	14.5	NA	NA	NA	NA	NA	NA	NA	41.670973	-95.941686	NA	21000	NA	NA	2022-04-29	21	17.5	NA	NA	NA	NA	NA	NA	175	NA	NA	NA	NA	LC_2211
MV$INBRED-HIPS$REP2$PLOT203$ROW57$RANGE67$A680	Missouri Valley	203	Inbred HIPS	Medium	Non-Irrigated	1	57	67	NA	Inbred	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.9	14	3	20.8	444.5	79.3	yellow	N	30.2	16.5	NA	NA	NA	NA	NA	NA	NA	41.670945	-95.941653	NA	27000	NA	NA	2022-04-29	27	17.5	NA	NA	NA	NA	NA	NA	175	NA	NA	NA	NA	LC_2211
MV$INBRED-HIPS$REP2$PLOT205$ROW59$RANGE67$MO1W	Missouri Valley	205	Inbred HIPS	Medium	Non-Irrigated	1	59	67	NA	Inbred	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.1	8.8	1.8	10.4	232.4	39.5	NA	N	19.4	12.8	NA	NA	NA	NA	NA	NA	NA	41.670918	-95.941686	NA	19000	NA	NA	2022-04-29	19	17.5	NA	NA	NA	NA	NA	NA	175	NA	NA	NA	NA	LC_2211
MV$INBRED-HIPS$REP2$PLOT206$ROW60$RANGE67$CI64	Missouri Valley	206	Inbred HIPS	Medium	Non-Irrigated	1	60	67	NA	Inbred	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.2	11	2.1	11.3	174.5	40.3	NA	N	16	14	NA	NA	NA	NA	NA	NA	NA	41.670918	-95.941686	NA	30000	NA	NA	2022-04-29	30	17.5	NA	NA	NA	NA	NA	NA	175	NA	NA	NA	NA	LC_2211
MV$INBRED-HIPS$REP2$PLOT207$ROW61$RANGE67$FR19	Missouri Valley	207	Inbred HIPS	Medium	Non-Irrigated	1	61	67	NA	Inbred	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.6	17.1	2.6	19.1	486	82.5	yellow	N	32.8	17	NA	NA	NA	NA	NA	NA	NA	41.67089	-95.941657	NA	12000	NA	NA	2022-04-29	12	17.5	NA	NA	NA	NA	NA	NA	175	NA	NA	NA	NA	LC_2211
MV$INBRED-HIPS$REP2$PLOT208$ROW61$RANGE68$B73	Missouri Valley	208	Inbred HIPS	Medium	Non-Irrigated	1	61	68	NA	Inbred	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5	11	2.6	14.8	194.5	31.5	yellow	N	17.8	17.5	NA	NA	NA	NA	NA	NA	NA	41.67089	-95.94162	NA	27000	NA	NA	2022-04-29	27	17.5	NA	NA	NA	NA	NA	NA	175	NA	NA	NA	NA	LC_2211
MV$INBRED-HIPS$REP2$PLOT209$ROW60$RANGE68$N7A	Missouri Valley	209	Inbred HIPS	Medium	Non-Irrigated	1	60	68	NA	Inbred	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.2	13.2	2.5	17.2	98.5	33.6	NA	N	16.3	13.3	NA	NA	NA	NA	NA	NA	NA	41.670918	-95.941649	NA	26000	NA	NA	2022-04-29	26	17.5	NA	NA	NA	NA	NA	NA	175	NA	NA	NA	NA	LC_2211
MV$INBRED-HIPS$REP2$PLOT210$ROW59$RANGE68$4722	Missouri Valley	210	Inbred HIPS	Medium	Non-Irrigated	1	59	68	NA	Inbred	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.8	13.8	2.1	16.7	208.2	22.3	yellow	N	23	14	NA	NA	NA	NA	NA	NA	NA	41.670918	-95.941649	NA	21000	NA	NA	2022-04-29	21	17.5	NA	NA	NA	NA	NA	NA	175	NA	NA	NA	NA	LC_2211
MV$INBRED-HIPS$REP2$PLOT211$ROW58$RANGE68$A682	Missouri Valley	211	Inbred HIPS	Medium	Non-Irrigated	1	58	68	NA	Inbred	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.1	16.4	2.5	13.6	265.2	62.6	yellow	N	31	10	NA	NA	NA	NA	NA	NA	NA	41.670945	-95.941616	NA	20000	NA	NA	2022-04-29	20	17.5	NA	NA	NA	NA	NA	NA	175	NA	NA	NA	NA	LC_2211
