location,plotNumber,qrCode,row,range,genotype,block,numberPrimaryEars,numberSecondaryEars,secondaryEarKernels,kernelColor,kernelStriping,earWidth,kernelFillLength,kernelRowNumber,kernelsPerRow,kernelsPerEar,shelledCobWidth,shelledCobMass,hundredKernelMass,kernelMassPerEar,notes,experiment,plantDensity,plantingDate,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,totalStandCount,flagLeafHeight,earHeight,flagLeafHt,earLength,anthesisDate,silkDate,plotLength,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD
Lincoln,1001,LINCOLN$SAM$REP1$PLOT1001$ROW3$RANGE2$UFMU-02456,3,2,UFMU-02456,1,2,0,0,black,FALSE,3.341,11.847,15,22,131,1.861,7.25,15.8,38.7,ak; ;ak; ;n/a; ;n/a; ;n/a; ;n/a; ;NA,NA,10147.0588235294,2022-05-05,Lincoln,0,Medium,150,46,169,81.5,NA,11.3565,2022-07-18,2022-07-29,7.5,74,85,11,1315.8,1590.56,274.76
Lincoln,1002,LINCOLN$SAM$REP1$PLOT1002$ROW4$RANGE2$UFMU-01317,4,2,UFMU-01317,1,2,0,0,black,FALSE,NA,NA,NA,NA,18,1.509,2.85,NA,NA,; ;; ;; ;; ;; ;; ;NA,NA,10147.0588235294,2022-05-05,Lincoln,0,Medium,150,46,155,85.5,NA,8.211,2022-07-20,2022-07-26,7.5,76,82,6,1366.37,1518.555,152.185
Lincoln,1003,LINCOLN$SAM$REP1$PLOT1003$ROW5$RANGE2$UFMU-06466,5,2,UFMU-06466,1,6,0,0,yellow/black,FALSE,2.89166666666667,6.8824,12.5,9.83333333333333,107,1.96816666666667,9.26666666666667,15.8,17.1166666666667,ak; ;ak; ;ak; ;ak uneven rows; ;ak uneven rows; ;ak uneven rows; ;NA,NA,10147.0588235294,2022-05-05,Lincoln,0,Medium,150,46,157,79,NA,11.4206666666667,2022-07-18,2022-07-20,7.5,74,76,2,1315.8,1366.37,50.5700000000002
Lincoln,1004,LINCOLN$SAM$REP1$PLOT1004$ROW6$RANGE2$UFMU-03304,6,2,UFMU-03304,1,6,0,0,brown,FALSE,2.48433333333333,9.96316666666667,14.3333333333333,21.3333333333333,271.333333333333,1.49566666666667,10.0166666666667,14.2,37.8833333333333,; ;; ;; ;; ;; ;; ;NA,NA,10147.0588235294,2022-05-05,Lincoln,0,Medium,150,46,150,82.5,NA,11.1618333333333,2022-07-15,2022-07-17,7.5,71,73,2,1230.13,1288.375,58.2449999999999
Lincoln,1005,LINCOLN$SAM$REP1$PLOT1005$ROW7$RANGE2$UFMU-08266,7,2,UFMU-08266,1,5,1,108,black,FALSE,3.0772,9.7362,12.6,15.2,152.2,2.2518,19.58,23.2625,32.16,; ;; ;; ;; ;mold/scattered; ;; ;NA,NA,10147.0588235294,2022-05-05,Lincoln,0,Medium,150,46,145,60,NA,15.5386,2022-07-18,2022-07-20,7.5,74,76,2,1315.8,1366.37,50.5700000000002
Lincoln,1006,LINCOLN$SAM$REP1$PLOT1006$ROW8$RANGE2$W22 R1-R,8,2,W22 R1-R,1,6,0,0,black,FALSE,2.1444,7.5158,14.2,18.8,187.5,1.1365,4.98333333333333,11.62,24.1,small and bare; ;; ;; ;; ;; ;; ;NA,NA,10147.0588235294,2022-05-05,Lincoln,0,Medium,150,46,147.5,72,NA,8.32616666666667,2022-07-17,2022-07-20,7.5,73,76,3,1288.375,1366.37,77.9950000000001
Lincoln,1007,LINCOLN$SAM$REP1$PLOT1007$ROW9$RANGE2$UFMU-05052,9,2,UFMU-05052,1,6,0,0,black,FALSE,2.29416666666667,7.867,12.3333333333333,16,138.666666666667,1.36366666666667,8.43333333333333,17.7,25.1166666666667,; ;; ;; ;; ;; ;; ;NA,NA,10147.0588235294,2022-05-05,Lincoln,0,Medium,150,46,149,78,NA,9.5835,2022-07-18,2022-07-20,7.5,74,76,2,1315.8,1366.37,50.5700000000002
Lincoln,1008,LINCOLN$SAM$REP1$PLOT1008$ROW10$RANGE2$UFMU-10417,10,2,UFMU-10417,1,6,0,0,black,FALSE,3.0025,10.9983333333333,12.6666666666667,24.6666666666667,267.5,1.86833333333333,10.1666666666667,12.28,33.6666666666667,; ;; ;; ;ak; ;; ;; ;NA,NA,10147.0588235294,2022-05-05,Lincoln,0,Medium,150,46,147.5,73.5,NA,12.1491666666667,2022-07-18,2022-07-20,7.5,74,76,2,1315.8,1366.37,50.5700000000002
Lincoln,1009,LINCOLN$SAM$REP1$PLOT1009$ROW11$RANGE2$W22 R1-R,11,2,W22 R1-R,1,6,0,0,brown,FALSE,2.43316666666667,9.9125,13.1666666666667,20.5,209,1.413,10.3666666666667,16.12,32.4833333333333,few yellow kernels; ;few yellow kernels; ;; ;; ;; ;; ;NA,NA,10147.0588235294,2022-05-05,Lincoln,0,Medium,150,46,150,69,NA,11.6546666666667,2022-07-18,2022-07-21,7.5,74,77,3,1315.8,1391.03,75.23
Lincoln,1010,LINCOLN$SAM$REP1$PLOT1010$ROW12$RANGE2$W22 R1-R,12,2,W22 R1-R,1,6,0,0,black,FALSE,3.56283333333333,7.8715,13.1666666666667,18.1666666666667,191.833333333333,2.10666666666667,9.18333333333333,14,26.1666666666667,ak; ;ak; ;ak; ;ak; ;ak; ;ak; ;NA,NA,10147.0588235294,2022-05-05,Lincoln,0,Medium,150,46,142.5,60,NA,12.0106666666667,2022-07-18,2022-07-21,7.5,74,77,3,1315.8,1391.03,75.23
