hybrid,P1,P2,P1InPanel,P2InPanel,BothInPanel,releaseYearP1,releaseYearP2,youngestParentAge,oldestParentAge,meanParentAge
B73 X 3IIH6,B73,3IIH6,TRUE,TRUE,TRUE,1972,1993,1993,1972,1982.5
2369 X 3IIH6,2369,3IIH6,FALSE,TRUE,FALSE,1988,1993,1993,1988,1990.5
PHW52 X LH185,PHW52,LH185,FALSE,FALSE,FALSE,1988,1993,1993,1988,1990.5
LH195 X 3IIH6,LH195,3IIH6,FALSE,TRUE,FALSE,1989,1993,1993,1989,1991
2369 X LH123HT,2369,LH123HT,FALSE,TRUE,FALSE,1988,1983,1988,1983,1985.5
PHW52 X PHN82,PHW52,PHN82,FALSE,FALSE,FALSE,1988,1989,1989,1988,1988.5
LH145 X LH162,LH145,LH162,TRUE,FALSE,FALSE,1983,1990,1990,1983,1986.5
LH74 X PHN82,LH74,PHN82,TRUE,FALSE,FALSE,1981,1989,1989,1981,1985
PHB47 X PHJ89,PHB47,PHJ89,FALSE,FALSE,FALSE,1983,1991,1991,1983,1987
B37 X OH43,B37,OH43,TRUE,TRUE,TRUE,1958,1949,1958,1949,1953.5
PHW52 X PHM49,PHW52,PHM49,FALSE,FALSE,FALSE,1988,1988,1988,1988,1988
B14A X MO17,B14A,MO17,TRUE,TRUE,TRUE,1962,1964,1964,1962,1963
PHB47 X PHK56,PHB47,PHK56,FALSE,FALSE,FALSE,1983,1990,1990,1983,1986.5
LH195 X PHZ51,LH195,PHZ51,FALSE,TRUE,FALSE,1989,1986,1989,1986,1987.5
PHB47 X 3IIH6,PHB47,3IIH6,FALSE,TRUE,FALSE,1983,1993,1993,1983,1988
PHB47 X LH185,PHB47,LH185,FALSE,FALSE,FALSE,1983,1993,1993,1983,1988
2369 X PHN82,2369,PHN82,FALSE,FALSE,FALSE,1988,1989,1989,1988,1988.5
LH195 X LH123HT,LH195,LH123HT,FALSE,TRUE,FALSE,1989,1983,1989,1983,1986
F42 X MO17,F42,MO17,TRUE,TRUE,TRUE,1983,1964,1983,1964,1973.5
WF9 X H95,WF9,H95,TRUE,TRUE,TRUE,1936,1968,1968,1936,1952
LH82 X PHJ89,LH82,PHJ89,TRUE,FALSE,FALSE,1984,1991,1991,1984,1987.5
LH74 X PHM49,LH74,PHM49,TRUE,FALSE,FALSE,1981,1988,1988,1981,1984.5
PHK56 X LH198,PHK56,LH198,FALSE,FALSE,FALSE,1990,1991,1991,1990,1990.5
PHP02 X LH82,PHP02,LH82,FALSE,TRUE,FALSE,1988,1984,1988,1984,1986
PHK76 X LH82,PHK76,LH82,TRUE,TRUE,TRUE,1987,1984,1987,1984,1985.5
LH82 X PHB47,LH82,PHB47,TRUE,FALSE,FALSE,1984,1983,1984,1983,1983.5
B84 X 3IIH6,B84,3IIH6,TRUE,TRUE,TRUE,1978,1993,1993,1978,1985.5
LH123HT X PHB47,LH123HT,PHB47,TRUE,FALSE,FALSE,1983,1983,1983,1983,1983
PHK56 X 3IIH6,PHK56,3IIH6,FALSE,TRUE,FALSE,1990,1993,1993,1990,1991.5
LH82 X W606S,LH82,W606S,TRUE,FALSE,FALSE,1984,2009,2009,1984,1996.5
B73 X PHZ51,B73,PHZ51,TRUE,TRUE,TRUE,1972,1986,1986,1972,1979
PHZ51 X LH145,PHZ51,LH145,TRUE,TRUE,TRUE,1986,1983,1986,1983,1984.5
PHG39 X PHM49,PHG39,PHM49,TRUE,FALSE,FALSE,1983,1988,1988,1983,1985.5
2369 X PHP02,2369,PHP02,FALSE,FALSE,FALSE,1988,1988,1988,1988,1988
LH198 X PHB47,LH198,PHB47,FALSE,FALSE,FALSE,1991,1983,1991,1983,1987
PHP02 X PHN46,PHP02,PHN46,FALSE,FALSE,FALSE,1988,1990,1990,1988,1989
LH198 X PHZ51,LH198,PHZ51,FALSE,TRUE,FALSE,1991,1986,1991,1986,1988.5
