"genotype","accession","additional accession names","release year","received/donation year","origin","description","narrative","developer(s)","IPR"
"66","Ames 26770","66/Ames 26770",NA,2002,"Indiana, United States",NA,NA,"Purdue University",NA
"2369","PI 601559","2369'/NSSL 236209","1988",NA,"Iowa, United States","(2702H X B73) X B73 . 2702H was a private hybrid of Cargill, Inc.",NA,"Cargill Wheat Research Farm","PVP 8800178"
"2FACC","PI 601808","2FACC'/NSSL 247784","1989",NA,"Illinois, United States","4676A X PB80 . The origin of 4676A is (1067.B-Line Comp.). The origin of PB80 is (B73''1067-1)","The yellow dent inbred line 2FACC is used as a female line and its usage most closely resembles the usage of B73Ht. It is shorter and earlier than B73Ht and has a lower ear placement. It has pink silk while B73Ht has green-yellow silk. Under stress conditions the kernels express more red streaks. Red streaks are not observed under non-stress conditions.","DeKalb-Pfizer Genetics","PVP 9000016"
"3IIH6","PI 564754","NSSL 271929","1993",NA,"Illinois, United States","Pioneer 3737 hybrid",NA,"DeKalb-Pfizer Genetics","PVP 9300087"
"4N506","PI 601745","4N506'/NSSL 244903","1989",NA,"Nebraska, United States","B73 X Iowa Stiff Stalk Synthetic 2",NA,"Funk Seeds International, Inc.","PVP 8900263"
"A12","NSL 42873","1996:4",NA,1965,"Minnesota, United States","Minnesota No. 13 (same as C11-28)","List of Inbreds from Minnesota",NA,NA
"A344","Ames 23425","A344'/Ames 23425","1996",NA,"Minnesota, United States","U.S. 153 (Iowa)",NA,"University of Minnesota",NA
"B105","PI 594048","B105/Ames 22790/BSSS(R)C9-5/NSSL 331728","1996",NA,"Iowa, United States","BSSS(R)C9-5-1-1-1-1-1-2-1-1-1","Developed from BSSS(R)C9-5, a strain of Iowa Stiff Stalk Synthetic that has been under reciprocal recurrent selection with Iowa Corn Borer Synthetic No. 1. Date of flowering and plant and ear heights are similar to B73. Silk emergence is delayed if heat and drought stress occur at flowering . Ears have 14 to 16 rows of yellow dent kernels on red cobs. Average root and stalk strength, average resistance to 1st-generation European corn borer (Ostrinia nubilalis), above-average resistance to grey leaf spot (Cercospora zeae-maydis), and average yield.","Hallauer, Arnel R., Iowa State University/Lamkey, Kendall R., USDA, ARS/White, Paul R., Iowa State University","Crop Science Registration. PL-284, MAIZE. Issued: 01 Jul 1997."
"B14A","PI 550461","NSSL 80396","1962",NA,"Iowa, United States","(Cuzco/Early Dent)Selection//8*B14 ;Selected for rust resistance","Fast ear drying. Yield above average. Maturity is AES800. Resistant to root and stalk lodging. High resistance to all known biotypes of corn leaf rust (Pucinia sorghi). Good tolerance to western corn rootworm (Diabrotica virgifera).","Dicke, Fred/Guthrie, W.D., USDA, ARS/Penny, L.H./Russell, W. A., Iowa State University/Sprague, G. F., University of Illinois",NA
"B37","PI 550467","NSSL 80397","1958",NA,"Iowa, United States","Selected from Iowa Stiff Stalk Synthetic. (BSSS-C0)","Plant vigorous. Seed yield good. Pollen production poor. Root and stalk strength moderate. Maturity is AES800. Some resistance to northern corn leaf blight (Helminthosporium turcicum). During its era of heavy usage the line contributed high yield to single-cross hybrids particularly when grown at moderately high plant densites. In an ASTA 1975 survey reported in The Second Meeting of the Interregional Corn Conference, February 9-12, 1976 in Cincinnati, Ohio; almost 66 million kg (~145 million pounds) of parent seed were used in 1974 for hybrid production for 1975 planting. This represented 6.8% of the total 1975 requirement.","Dicke, Fred/Guthrie, W.D., USDA, ARS/Penny, L.H./Russell, W. A., Iowa State University/Sprague, G. F., University of Illinois",NA
"B7","NSL 65863","89:7456",NA,1968,"Iowa, United States","Recovered I233.","Mimeo descr. in files",NA,NA
"B73","PI 550473","NSSL 81326","1972",NA,"Iowa, United States","Selected from advanced recurrent selection population (C5) of Iowa Stiff Stalk Synthetic (BSSS).","Plant vigorous. Leaves erect. Pollen production average. Seed smooth dent. Maturity is AES800. This is the accession of B73 that was used for the first complete maize genome sequence. See https://maizegdb.org/assembly details.","Russell, W. A., Iowa State University",NA
