loc,row,range,genotype,moistureCorrectedStarch,moistureCorrectedProtein,moistureCorrectedOil,moistureCorrectedFiber,moistureCorrectedAsh,plot,qr,nLvl,field,rep,population,irrigation,earLen,earFillLen,earWidth,shelledCobWidth,shelledCobWt,kernelsPerEar,hundredKernelWt,pctMoistureEarPhenotyping,kernelMass,kernelColor,kernelStriping
North Platte1,1,1,2FACC X 3IIH6,72.14,9.69,3.81,0.45,0.93,1,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT1$ROW1$RANGE1$2FACC X 3IIH6,Low,Hybrid HIPS,1,Hybrid,Full,15.6,13.5,4,2.6,20.4,20.4,27.7,4.9,129,yellow,N
North Platte1,1,2,PHK56 X 3IIH6,70.3,7.44,3.11,0.73,0.87,17,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT17$ROW1$RANGE2$PHK56 X 3IIH6,Low,Hybrid HIPS,1,Hybrid,Full,16,15.1,4.1,3,16.3,16.3,26.3,4.4,119.3,yellow,N
North Platte1,1,3,WF9 X H95,69.32,11.54,4.23,0.89,0.89,33,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT33$ROW1$RANGE3$WF9 X H95,Low,Hybrid HIPS,1,Hybrid,Full,15.4,14.5,4.2,3,22.6,22.6,26.1,4.3,118.6,yellow,N
North Platte1,1,4,PHP02 X LH145,69.41,11.48,3.96,0.9,0.94,49,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT49$ROW1$RANGE4$PHP02 X LH145,Low,Hybrid HIPS,1,Hybrid,Full,18.8,15.5,4.1,3.2,22.7,22.7,27.1,4.2,116.1,yellow,N
North Platte1,1,5,B73 X PHZ51,71.07,9.03,4.04,0.86,0.91,65,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT65$ROW1$RANGE5$B73 X PHZ51,Low,Hybrid HIPS,1,Hybrid,Full,15.5,14.2,4,2.5,24,24,26.8,NA,130.8,yellow,N
North Platte1,1,6,PHW52 X PHM49,70.58,9.61,4.09,0.56,0.84,81,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT81$ROW1$RANGE6$PHW52 X PHM49,Low,Hybrid HIPS,1,Hybrid,Full,17,13.9,4.1,2.2,18.4,18.4,32.2,3.9,130.6,yellow,N
North Platte1,1,7,B14A X MO17,68.04,8.89,4.36,1.27,1.03,97,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT97$ROW1$RANGE7$B14A X MO17,Low,Hybrid HIPS,1,Hybrid,Full,17,16.1,4.2,2.9,19.2,19.2,29.4,4.6,140.8,yellow,N
North Platte1,1,8,2369 X PHP02,68.79,10.73,4.2,1.08,1.07,113,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT113$ROW1$RANGE8$2369 X PHP02,Low,Hybrid HIPS,1,Hybrid,Full,16.8,15.6,4.2,3,23.9,23.9,29.6,4.6,138.3,yellow,N
North Platte1,1,9,LH185 X LH145,70.97,10.16,3.54,0.77,0.76,129,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT129$ROW1$RANGE9$LH185 X LH145,Low,Hybrid HIPS,1,Hybrid,Full,17.5,16.6,4,2.5,18.2,18.2,30.1,3.9,128.7,orange,N
North Platte1,1,10,PHB47 X PHK56,68.39,9.87,3.85,1.29,1.11,145,NORTH PLATTE$HIPS - FULL IRRIGATION - LOW NITROGEN$REP1$PLOT145$ROW1$RANGE10$PHB47 X PHK56,Low,Hybrid HIPS,1,Hybrid,Full,17.9,15.6,4.5,2.9,24.4,24.4,32.1,4.8,184.3,yellow,N
