qr,plot,loc,field,nLvl,irrigation,rep,row,range,genotype,anthesisDate,anthesisCollector,silkingDate,silkingCollector,notes,leafLen1,leafWidth1,leafLen2,leafWidth2,earHt1,flagLeafHt1,plantHt1,earHt2,flagLeafHt2,plantHt2,leafDimHtCollector,leafDimHtDate,harvestDate,combineYield,combineMoisture,combineTestWt,harvestSeq,population,leafDimHtNotes,moistureCorrectedStarch,moistureCorrectedProtein,moistureCorrectedOil,moistureCorrectedFiber,moistureCorrectedAsh,looseKernelCt,looseKernelWt,totalMoisture,earDataCollector1,earPhenotypeNotes1,seedColor1,earWidth1,kernelFillLen1,kernelRows1,kernelsPerRow1,earWt1,totalKernelCt1,cobWidth1,cobLen1,cobWt1,hundredKernelWt1,greenAtHarvest1,earDataCollector2,earPhenotypeNotes2,seedColor2,earWidth2,kernelFillLen2,kernelRows2,kernelsPerRow2,earWt2,totalKernelCt2,cobWidth2,cobLen2,cobWt2,hundredKernelWt2,greenAtHarvest2,earDataCollector3,earPhenotypeNotes3,seedColor3,earWidth3,kernelFillLen3,kernelRows3,kernelsPerRow3,earWt3,totalKernelCt3,cobWidth3,cobLen3,cobWt3,hundredKernelWt3,greenAtHarvest3,earDataCollector4,earPhenotypeNotes4,seedColor4,earWidth4,kernelFillLen4,kernelRows4,kernelsPerRow4,earWt4,totalKernelCt4,cobWidth4,cobLen4,cobWt4,hundredKernelWt4,greenAtHarvest4,combineNotes
4101$Row2$Range2$PHN46 x W606S,4101,Lincoln,Hybrid HIPS,Medium,Dryland,1,2,2,PHN46 X W606S,2022-07-21,Lina,2022-07-25,Deniz,NA,65.3,7.9,68.5,10.5,65,164,205,73,173,216,Lina,2022-08-02,2022-10-10 09:50:44,5.68,13.7,62.4,1,Hybrid,NA,71.54,9.01,4.72,0.27,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4102$Row2$Range3$PHK56 x W606S,4102,Lincoln,Hybrid HIPS,Medium,Dryland,1,2,3,PHK56 X W606S,2022-07-19,Vla,2022-07-21,Lina,NA,77.6,9.7,68.4,8.6,96,191,226,77,171,212,Lina,2022-08-02,2022-10-10 10:28:10,6.81,13.2,62.5,76,Hybrid,NA,67.53,10.95,3.88,0.88,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4103$Row2$Range4$PHK56 x PHJ89,4103,Lincoln,Hybrid HIPS,Medium,Dryland,1,2,4,PHK56 X PHJ89,2022-07-18,Vla,2022-07-18,Vla,NA,77.7,9.4,83.5,9.4,73,172,220,83,172,221,Lina,2022-08-02,2022-10-10 10:28:50,3.78,13.7,62.2,77,Hybrid,NA,69.6,9.45,4.4,0.72,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4104$Row2$Range5$PHJ40 x LH82,4104,Lincoln,Hybrid HIPS,Medium,Dryland,1,2,5,PHJ40 X LH82,2022-07-13,Vla,2022-07-14,Vla,NA,83.2,9.5,81.1,9.4,58,150,190,66,168,209,Lina,2022-08-02,2022-10-10 10:57:59,8.46,12.5,62.8,152,Hybrid,NA,67.7,10.35,3.99,1.04,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4105$Row2$Range6$PHP02 x PHK76,4105,Lincoln,Hybrid HIPS,Medium,Dryland,1,2,6,PHP02 X PHK76,2022-07-16,Vla,2022-07-17,Vla,NA,85.6,9.2,79.3,7.7,79,170,219,78,169,210,Lina,2022-08-02,2022-10-10 11:00:14,4.23,12.6,62.7,153,Hybrid,NA,67.26,9.52,3.66,1.3,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4106$Row2$Range7$2FACC x 3IIH6,4106,Lincoln,Hybrid HIPS,Medium,Dryland,1,2,7,2FACC X 3IIH6,2022-07-14,Vla,2022-07-14,Vla,NA,81.2,8.8,78.2,8.3,88,181,228,81,175,220,Lina,2022-08-02,2022-10-10 11:33:39,3.52,12.7,62.6,228,Hybrid,NA,68.72,9.84,4.01,2.04,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4107$Row2$Range8$Pioneer P0589 AMXT,4107,Lincoln,Hybrid HIPS,Medium,Dryland,1,2,8,PIONEER P0589 AMXT,2022-07-20,Lina,2022-07-19,Lina,NA,75.1,9.3,84.1,8.6,88,180,220,79,170,230,Lina,2022-08-02,2022-10-10 11:37:35,10.76,12.7,62.6,229,Hybrid,NA,68.79,8.84,3.69,1.47,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4108$Row3$Range2$B37 x OH43,4108,Lincoln,Hybrid HIPS,Medium,Dryland,1,3,2,B37 X OH43,2022-07-24,Deniz,2022-07-30,Isabel,NA,87.6,10.6,83.4,11,92,210,266,110,208,259,Isabel/Lina,2022-08-02,2022-10-10 09:51:15,3.75,16,60.5,2,Hybrid,NA,65.77,12.61,4.52,1.91,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4109$Row3$Range3$LH74 x PHN82,4109,Lincoln,Hybrid HIPS,Medium,Dryland,1,3,3,LH74 X PHN82,2022-07-19,Vla,2022-07-21,Lina,NA,88.3,9.8,86.7,9.6,80,160,210,93,167,210,Isabel/Lina,2022-08-02,2022-10-10 10:27:43,4.97,13.9,62.1,75,Hybrid,NA,68.31,10.28,3.77,0.86,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4110$Row3$Range4$PHT69 x 3IIH6,4110,Lincoln,Hybrid HIPS,Medium,Dryland,1,3,4,PHT69 X 3IIH6,2022-07-14,Vla,2022-07-17,Vla,NA,86.6,8.9,84.2,8.2,90,179,250,99,189,235,Isabel/Lina,2022-08-02,2022-10-10 10:29:09,8.12,12.7,62.8,78,Hybrid,NA,67.47,10.76,4.32,1.68,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
