qrCode,location,sublocation,irrigationProvided,nitrogenTreatment,poundsOfNitrogenPerAcre,experiment,plotLength,totalStandCount,block,row,range,plotNumber,genotype,plantingDate,anthesisDate,silkDate,daysToAnthesis,daysToSilk,anthesisSilkingInterval,GDDToAnthesis,GDDToSilk,anthesisSilkingIntervalGDD,earHeight,flagLeafHeight,plantDensity,combineYield,yieldPerAcre,combineMoisture,combineTestWeight,earLength,earFillLength,earWidth,shelledCobWidth,kernelsPerRow,kernelRowNumber,kernelsPerEar,hundredKernelMass,kernelMassPerEar,shelledCobMass,percentMoisture,percentStarch,percentProtein,percentOil,percentFiber,percentAsh,kernelColor,percentLodging,harvestDate,notes
22-A-1583799,Ames,Ames B1,0,Medium,150,LC_4232,17.5,65,1,17,2,1583799,B73 X 3IIH6,2022-05-22,,,,,,,,,102,193,32500,15.27,137.19,14.6,,16.824,,4.874,2.704,,18,610,27.406,167.3,21.667,,,,,,,,0,2022-10-16,Check;Tattoo sensor
22-A-1583800,Ames,Ames B1,0,Medium,150,LC_4232,17.5,70,1,18,2,1583800,2369 X 3IIH6,2022-05-22,,,,,,,,,100,192,35000,12.66,119.07,10.6,,15.124,,4.593,2.511,,16.5,464,26.415,122.6,14.367,,,,,,,,0,2022-10-16,Check;Tattoo sensor
22-A-1583801,Ames,Ames B1,0,Medium,150,LC_4232,17.5,63,1,19,2,1583801,PHW52 X LH185,2022-05-22,,,,,,,,,67,167,31500,10.71,99.15,12,,16.234,,4.649,2.45,,14.5,388,36.621,142,17.8,,,,,,,,0,2022-10-16,Check;Tattoo sensor
22-A-1583802,Ames,Ames B1,0,Medium,150,LC_4232,17.5,61,1,20,2,1583802,LH195 X 3IIH6,2022-05-22,,,,,,,,,84,179,30500,12.72,115.09,14,,13.438,,4.538,2.461,,17,399,29.239,116.6,16.8,,,,,,,,8.2,2022-10-16,Check;Tattoo sensor
22-A-1583804,Ames,Ames B1,0,Medium,150,LC_4232,17.5,66,1,22,2,1583804,2369 X LH123HT,2022-05-22,,,,,,,,,90,186,33000,8.27,77.09,11.4,,15.99,,4.202,2.559,,13.5,358,27.135,97.2,20.867,,,,,,,,0,2022-10-16,Check;Tattoo sensor
22-A-1583805,Ames,Ames B1,0,Medium,150,LC_4232,17.5,64,1,17,3,1583805,PHW52 X PHN82,2022-05-22,,,,,,,,,78,192,32000,18.92,155.26,22,,17.59,,5.008,2.681,,16,590,35.045,206.8,26.8,,,,,,,,0,2022-10-16,Check;Tattoo sensor
22-A-1583806,Ames,Ames B1,0,Medium,150,LC_4232,17.5,70,1,18,3,1583806,LH145 X LH162,2022-05-22,,,,,,,,,80,184,35000,16.63,133.32,23.8,,16.887,,4.332,2.292,,13.5,443,32.363,143.4,19.8,,,,,,,,0,2022-10-16,Check;Tattoo sensor
22-A-1583807,Ames,Ames B1,0,Medium,150,LC_4232,17.5,63,1,19,3,1583807,LH74 X PHN82,2022-05-22,,,,,,,,,87,163,31500,15.11,131.3,17.4,,15.074,,4.831,2.597,,16,470,30.879,145.2,18.933,,,,,,,,0,2022-10-16,Check;Tattoo sensor
22-A-1583808,Ames,Ames B1,0,Medium,150,LC_4232,17.5,68,1,20,3,1583808,PHB47 X PHJ89,2022-05-22,,,,,,,,,71,179,34000,9.14,91.06,5.3,,15.558,,4.23,2.285,,15.5,522,25.639,133.8,18.167,,,,,,,,0,2022-10-16,Check;Tattoo sensor
22-A-1583810,Ames,Ames B1,0,Medium,150,LC_4232,17.5,66,1,22,3,1583810,B37 X OH43,2022-05-22,,,,,,,,,82,179,33000,4.42,44.04,5.3,,14.027,,4.521,2.663,,15.5,406,25.957,105.3,17.333,,,,,,,,0,2022-10-16,Severe bend in ear. String used to measure ear length;Check;Tattoo sensor
22-A-1583811,Ames,Ames B1,0,Medium,150,LC_4232,17.5,63,1,17,4,1583811,PHW52 X PHM49,2022-05-22,,,,,,,,,86,200,31500,16.16,131.93,22.4,,16.737,,4.551,2.274,,14.5,483,33.416,161.4,18.6,,,,,,,,0,2022-10-16,Check;Tattoo sensor
22-A-1583813,Ames,Ames B1,0,Medium,150,LC_4232,17.5,65,1,19,4,1583813,B14A X MO17,2022-05-22,,,,,,,,,103,205,32500,14.25,120.53,19.6,,17.068,,4.36,2.492,,13.5,486,25.871,125.7,20.467,,,,,,,,0,2022-10-16,Check;Tattoo sensor
22-A-1583814,Ames,Ames B1,0,Medium,150,LC_4232,17.5,69,1,20,4,1583814,PHB47 X PHK56,2022-05-22,,,,,,,,,87,199,34500,15.43,138.47,14.7,,14.911,,4.468,2.451,,15,504,28.366,143,18.3,,,,,,,,0,2022-10-16,Check;Tattoo sensor
22-A-1583816,Ames,Ames B1,0,Medium,150,LC_4232,17.5,71,1,22,4,1583816,LH195 X PHZ51,2022-05-22,,,,,,,,,115,227,35500,11.55,104.99,13.6,,16.773,,4.424,2.632,,14,481,29.924,144,26.967,,,,,,,,1.41,2022-10-16,counting;Check;Tattoo sensor
22-A-1583817,Ames,Ames B1,0,Medium,150,LC_4232,17.5,62,1,17,5,1583817,PHB47 X 3IIH6,2022-05-22,,,,,,,,,90,215,31000,8.7,86.68,5.3,,17.463,,4.221,2.482,,15,478,24.524,117.1,16.3,,,,,,,,0,2022-10-16,Check;Nitrate sensor;Tattoo sensor
22-A-1583818,Ames,Ames B1,0,Medium,150,LC_4232,17.5,69,1,18,5,1583818,PHB47 X LH185,2022-05-22,,,,,,,,,93,206,34500,12.42,118.12,9.6,,15.58,,4.37,2.444,,13.8,427,29.139,124.5,14.7,,,,,,,,0,2022-10-16,Check;Nitrate sensor;Commercial soil moisture sensor;Tattoo sensor
22-A-1583819,Ames,Ames B1,0,Medium,150,LC_4232,17.5,66,1,19,5,1583819,2369 X PHN82,2022-05-22,,,,,,,,,88,193,33000,13.5,123.28,13.2,,15.378,,4.672,2.802,,17,532,27.424,145.9,21.433,,,,,,,,0,2022-10-16,Check;Nitrate sensor;Tattoo sensor
22-A-1583820,Ames,Ames B1,0,Medium,150,LC_4232,17.5,66,1,20,5,1583820,LH195 X LH123HT,2022-05-22,,,,,,,,,111,232,33000,12.71,108.71,18.7,,18.057,,4.665,2.602,,14,549,32.981,181,29.1,,,,,,,,0,2022-10-16,Check;Tattoo sensor
22-A-1583821,Ames,Ames B1,0,Medium,150,LC_4232,17.5,66,1,21,5,1583821,F42 X MO17,2022-05-22,,,,,,,,,104,209,33000,11.23,101.6,14,,15.09,,4.272,2.369,,14,428,26.885,115,18,,,,,,,,0,2022-10-16,Check;Tattoo sensor
