Sample ID,Date,Time,Moisture,Protein As is,Oil As is,Fiber As is,Ash As is,Starch As is
22-A-1583837-BULK,11/30/2023,1:10 PM,8.29,6.06,3.11,1.2,1.06,66.7
22-A-1583837-BULK,11/30/2023,1:10 PM,8.03,6.16,3.03,1.06,1.01,67.13
22-A-1583837-BULK,11/30/2023,1:11 PM,8.11,6.11,3.37,1.19,1.04,67.24
22-A-1583838-BULK,11/30/2023,1:12 PM,8.17,5.95,3.58,1.72,1.26,66.41
22-A-1583838-BULK,11/30/2023,1:13 PM,8.34,6.01,3.63,1.48,1.17,66.98
22-A-1583838-BULK,11/30/2023,1:13 PM,7.88,6.12,3.81,1.62,1.21,66.84
22-A-1583839-BULK,11/30/2023,1:17 PM,7.9,5.56,3.58,1.43,0.91,65.58
22-A-1583839-BULK,11/30/2023,1:17 PM,7.75,5.54,3.7,1.45,0.93,65.61
22-A-1583839-BULK,11/30/2023,1:18 PM,7.96,5.31,3.45,1.55,0.98,65.22
22-A-1583840-BULK,11/30/2023,1:19 PM,8.03,6.84,3.37,0.81,1.1,65.15
22-A-1583840-BULK,11/30/2023,1:20 PM,7.67,6.89,3.34,0.59,0.98,66.81
22-A-1583840-BULK,11/30/2023,1:20 PM,7.68,7.15,2.86,0.75,0.94,67.65
22-A-1583842-BULK,11/30/2023,1:21 PM,8.54,6.77,3.57,1.4,1.15,64.99
22-A-1583842-BULK,11/30/2023,1:22 PM,8.12,7.26,3.21,1.77,1.19,65.92
22-A-1583842-BULK,11/30/2023,1:22 PM,8.41,6.91,2.88,1.98,1.24,66.22
22-A-1583843-BULK,11/30/2023,1:23 PM,8.28,6.27,3.62,1.39,1.03,65.64
22-A-1583843-BULK,11/30/2023,1:24 PM,8.21,5.92,3.36,1.59,1.04,66.08
22-A-1583843-BULK,11/30/2023,1:24 PM,7.82,6.5,3.72,1.24,0.94,66.31
22-A-1583844-BULK,11/30/2023,1:25 PM,8.56,5.64,3.46,1.33,1.08,65.78
22-A-1583844-BULK,11/30/2023,1:26 PM,8.18,6.1,3.15,1.73,1.05,65.92
22-A-1583844-BULK,11/30/2023,1:26 PM,7.93,5.87,3.63,1.34,1.02,64.99
22-A-1583845-BULK,11/30/2023,1:27 PM,7.46,6.21,3.48,1.49,1.11,65.91
22-A-1583845-BULK,11/30/2023,1:28 PM,7.89,5.84,2.79,1.73,1.09,66.73
22-A-1583845-BULK,11/30/2023,1:28 PM,7.86,5.93,2.88,1.85,1.15,66.78
22-A-1583846-BULK,11/30/2023,1:30 PM,7.94,5.53,3.34,2.47,1.42,64.5
22-A-1583846-BULK,11/30/2023,1:30 PM,8.25,5.8,3.48,2.32,1.38,64.77
22-A-1583846-BULK,11/30/2023,1:31 PM,8.08,5.73,3.36,2.32,1.35,64.73
22-A-1583847-BULK,11/30/2023,1:32 PM,7.88,7.85,3.35,1.12,1.04,65.09
22-A-1583847-BULK,11/30/2023,1:32 PM,7.84,8.14,3.51,1.14,0.99,64.9
22-A-1583847-BULK,11/30/2023,1:33 PM,8.18,8.25,4.04,1.12,1.03,64.02
22-A-1583848-BULK,11/30/2023,1:34 PM,8.56,7.44,3.89,1.67,1.4,65.35
22-A-1583848-BULK,11/30/2023,1:35 PM,8.38,8.15,4.02,1.66,1.37,65.13
22-A-1583848-BULK,11/30/2023,1:35 PM,8.63,7.63,3.47,1.74,1.34,66
22-A-1583850-BULK,11/30/2023,1:36 PM,8.5,5.51,2.88,0.79,0.89,66.63
22-A-1583850-BULK,11/30/2023,1:37 PM,8.9,5.21,3.2,0.85,0.94,65.95
22-A-1583850-BULK,11/30/2023,1:37 PM,8.75,5.67,3.25,0.52,0.89,66.27
22-A-1583851-BULK,11/30/2023,1:38 PM,8.68,7.06,3.18,1.15,1.04,65.5
22-A-1583851-BULK,11/30/2023,1:39 PM,8.87,6.37,3.16,1.5,1.12,64.97
22-A-1583851-BULK,11/30/2023,1:39 PM,8.79,6.65,3.1,1.26,1.08,64.98
22-A-1583852-BULK,11/30/2023,1:40 PM,8.22,6.58,3.14,1.39,0.99,65.73
22-A-1583852-BULK,11/30/2023,1:41 PM,9.19,6.56,2.82,1.67,1.08,65.75
22-A-1583852-BULK,11/30/2023,1:42 PM,8.48,6.83,3.07,1.61,1.06,65.54
22-A-1583853-BULK,11/30/2023,1:43 PM,8.67,7.21,3.52,1.53,1.21,64.33
22-A-1583853-BULK,11/30/2023,1:43 PM,8.79,7.29,3.71,1.49,1.25,64.6
22-A-1583853-BULK,11/30/2023,1:44 PM,8.92,6.69,3.23,2.02,1.31,65.65
22-A-1583854-BULK,11/30/2023,1:45 PM,8.94,8.66,3.52,1.5,1.22,63.89
22-A-1583854-BULK,11/30/2023,1:46 PM,8.67,8.1,3.26,1.69,1.19,63.47
22-A-1583854-BULK,11/30/2023,1:46 PM,8.9,8.4,3.19,1.86,1.23,63.62
22-A-1583855-BULK,11/30/2023,1:48 PM,8.6,8.27,3.02,1.58,1.14,63.75
22-A-1583855-BULK,11/30/2023,1:48 PM,8.39,8.15,3.25,1.56,1.1,63.59
22-A-1583855-BULK,11/30/2023,1:49 PM,8.26,8.99,3.11,1.64,1.15,62.82
22-A-1583856-BULK,11/30/2023,1:50 PM,8.58,6.8,3.69,1.08,1.13,66.28
22-A-1583856-BULK,11/30/2023,1:51 PM,8.46,6.7,2.87,1.29,1.07,65.2
22-A-1583856-BULK,11/30/2023,1:51 PM,8.54,7.11,3.25,1.3,1.09,65.59
22-A-1583868-BULK,11/30/2023,1:53 PM,8.07,7.13,3.69,0.77,1.05,65.87
22-A-1583868-BULK,11/30/2023,1:53 PM,7.69,7.21,3.5,0.87,1.12,65.28
