"qrCode","year","location","sublocation","irrigationProvided","plotLength","totalStandCount","pedigreeID","plantingDate","anthesisDate","silkDate","daysToAnthesis","daysToSilk","anthesisSilkingInterval","GDDToAnthesis","GDDToSilk","anthesisSilkingIntervalGDD","plantDensity","earLength","earFillLength","earWidth","shelledCobWidth","kernelsPerRow","kernelRowNumber","kernelsPerEar","hundredKernelMass","kernelMassPerEar","shelledCobMass","kernelColor","harvestDate","notes","locationYear","poundsOfNitrogenPerAcre","genotype","rep","plotLatitude","plotLongitude","plotNumber","row","range","plantSeedCount","population","flagLeafHeight","earHeight","experiment","nitrogenTreatment","block","environment"
"23-A-1730613",2023,"Ames","Ames",0,7.5,NA,1715457,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.536,NA,4.031,2.699,NA,13,108,35.3703703703704,38.2,19.6,NA,2023-10-19,"x-collect;Sweetcorn;Severe bend in ear. String used to measure ear length;Cob broke in pieces during shelling","2023 Ames",150,"33-16",1,42.014696,-93.728569,358,23,42,34,34000,"217","115","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730614",2023,"Ames","Ames",0,7.5,NA,1715458,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2084,NA,4.74383333333333,2.5658,NA,17,498,24.8813733917288,135.78,23.42,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"B73Htrhm",1,42.014615,-93.728641,385,27,45,32,32000,"208","87","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730615",2023,"Ames","Ames",0,7.5,NA,1715459,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4364,NA,3.75966666666667,2.1558,NA,13.6666666666667,295.8,19.2148362578462,56.42,14.12,NA,2023-10-19,"Sweetcorn","2023 Ames",150,"NC358",1,42.01535,-93.728614,132,26,17,32,32000,"176","93","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730616",2023,"Ames","Ames",0,7.5,NA,1715460,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3482,NA,4.622,2.8508,NA,16.6666666666667,332.8,25.2474797745785,84.34,15.86,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"NC362",1,42.014944,-93.728645,278,28,33,35,35000,"187","96","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730617",2023,"Ames","Ames",0,7.5,NA,1715461,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6676,NA,3.51866666666667,2.0938,NA,13.6666666666667,237.8,20.5836955484619,48,15.36,NA,2023-10-19,"x-collect;Sweetcorn;Severe bend in ear. String used to measure cob length","2023 Ames",150,"K4",1,42.014609,-93.728604,373,26,44,32,32000,"222","126","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730618",2023,"Ames","Ames",0,7.5,NA,1715462,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6736,NA,4.2035,2.44,NA,15,419.6,24.9905765117537,104.98,19.3,NA,2023-10-19,"Sweetcorn","2023 Ames",150,"4226",1,42.015323,-93.728613,139,26,18,32,32000,"209","80","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730619",2023,"Ames","Ames",0,7.5,NA,1715463,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2682,NA,3.73566666666667,2.144,NA,13.3333333333333,374.6,20.6623047487404,78.7,16.24,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"Sg18",1,42.015268,-93.728613,157,26,20,33,33000,"236","131","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730620",2023,"Ames","Ames",0,7.5,NA,1715464,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.293,NA,NA,16,NA,NA,NA,NA,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"B68",1,42.015405,-93.728614,114,26,15,32,32000,"177","68","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730621",2023,"Ames","Ames",0,7.5,NA,1715465,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5136,NA,4.32016666666667,2.4386,NA,17,443.6,23.4956723016047,104.26,14.48,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"3IIH6",1,42.014828,-93.728607,301,26,36,32,32000,"139","65","LC2320","Medium",3,"2023 Ames Medium"
"23-A-1730622",2023,"Ames","Ames",0,7.5,NA,1715466,2023-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6954,NA,4.04866666666667,2.5986,NA,14.6666666666667,400.6,16.7771567899599,67.34,16.84,NA,2023-10-19,"x-collect;Sweetcorn","2023 Ames",150,"PHV63",1,42.015049,-93.728536,234,21,28,32,32000,"140","46","LC2320","Medium",3,"2023 Ames Medium"
