Field ,Plot #,Row,Range,Ear Height 1,Flaf Leaf 1,Total Height1,Bottom internode1 ,Upper internode1,Ear Height2 ,Flaf Leaf2 ,Total Height2,Bottom internode2 ,Upper internode2,Person 
HYB-Hips ,4001,2,2,2.6,6.3,8.5,17.99,3.72,2.7,6.7,8.3,19,5.59,KL-CU
HYB-Hips ,4002,3,2,5.2,9.1,10.8,33.08,7.76,5.6,8.8,10.5,33.32,8.09,KL-CU
HYB-Hips ,4003,4,2,2.7,6.5,8.2,18,5,3.1,7.1,8.6,16,4.37,KL-CU
HYB-Hips ,4004,5,2,5.3,8.2,10.1,25,6,5.7,8.5,10.4,23,5.12,KL-CU
HYB-Hips ,4005,6,2,2.7,6.2,7.7,22,5,2.9,6.5,8.2,20,6.5,KL-CU
HYB-Hips ,4006,7,2,5.6,8.7,10.3,26,6,5.5,8.6,10.4,26,6.88,KL-CU
HYB-Hips ,4007,8,2,2.5,7.2,9.1,21,4,2.4,7.4,9.3,22,5.72,KL-CU
HYB-Hips ,4008,9,2,3.3,7,8.9,25,8,3.5,7.2,9,22,6.27,KL-CU
HYB-Hips ,4009,10,2,3,7.1,8.5,19,5,3.2,7.4,8.9,17,4.13,KL-CU
HYB-Hips ,4010,11,2,2.9,6.8,8.6,20,5,2.6,6.7,8.5,22,5.52,KL-CU
HYB-Hips ,4011,12,2,3.1,7.7,9.6,22,5,3.3,7.3,8.6,15,2.95,KL-CU
HYB-Hips ,4012,13,2,3.7,8.5,10.5,22,7,5.4,9.1,10.9,25,7.01,KL-CU
HYB-Hips ,4013,14,2,3.2,7.8,9.9,20,3,3.3,7.3,9.1,18,3.29,KL-CU
HYB-Hips ,4014,15,2,2.7,6.1,7.8,20,6,2.5,6.1,8.1,20,6.6,KL-CU
HYB-Hips ,4015,16,2,3,6,7.8,17,3,3.8,6.8,8.2,20,4,KL-CU
HYB-Hips ,4016,17,2,4.7,8,9.6,21,6,4.6,8.1,10.2,25,8,KL-CU
HYB-Hips ,4017,18,2,3.3,7.6,9,19,5,3.7,7.3,8.5,24,4,KL-CU
HYB-Hips ,4018,19,2,4,7.4,8.8,15,3,2.9,7.2,8.9,18,4,KL-CU
HYB-Hips ,4019,20,2,4.4,8.7,10.6,20,6,4.1,8.6,10.4,24,7,KL-CU
HYB-Hips ,4020,21,2,4.4,8.8,10,21,5,4.7,7.9,9,21,4,KL-CU
HYB-Hips ,4021,22,2,3.1,6.7,8.3,29,5,2.6,6.7,8.3,23,4,KL-CU
HYB-Hips ,4022,23,2,2.2,6.7,8.4,19,5,2.3,6.8,8.4,21,6,KL-CU
HYB-Hips ,4023,24,2,3.4,7,8.8,20,5,2.8,6.9,8.5,22,7,KL-CU
HYB-Hips ,4024,25,2,4.7,8.8,10.6,22,7,4.3,9.1,11.2,25,7,KL-CU
HYB-Hips ,4025,26,2,5.5,8.8,10.7,29,7,5.6,9.1,10.9,29,7,KL-CU
HYB-Hips ,4050,26,3,2.9,6.8,8.5,22,5,3.4,6.7,8.5,21,6,KL-CU
HYB-Hips ,4049,25,3,4.5,8.3,10.1,25,8,4.4,8.4,9.7,25,8,KL-CU
HYB-Hips ,4048,24,3,5.3,8.2,9.2,20,11,4.6,8,9,20,7,KL-CU
HYB-Hips ,4047,23,3,3.5,7,8.5,19,6,3.9,7,8.5,18,7,KL-CU
HYB-Hips ,4046,22,3,3,8,9.6,26,10,3.3,7.4,9.2,27,10,KL-CU
HYB-Hips ,4045,21,3,5.5,9.4,10.5,26,7.3,5.4,9.6,10.4,24,7,CU - KL
HYB-Hips ,4044,20,3,3,7.3,9,22,6.4,3.1,7.4,9.3,21,7,CU - KL
HYB-Hips ,4043,19,3,4.1,6.8,8,18,8.3,3.2,7.3,8.5,22,6,CU - KL
HYB-Hips ,4042,18,3,4.8,8.6,10.2,29,8.8,5.6,8.3,9.8,27,8,CU - KL
HYB-Hips ,4041,17,3,4.3,8.5,10.2,22,7.8,4.6,8.5,10.2,27,7,CU - KL
HYB-Hips ,4040,16,3,4.6,8.1,9.7,22,7.9,4.5,8.1,10,25,8,CU - KL
HYB-Hips ,4039,15,3,2.7,7.3,8.9,20,6,2.9,7.6,9.2,20,6,CU - KL
HYB-Hips ,4038,14,3,3.9,6.6,8,16,5,2.6,6.2,7.7,22,6,CU - KL
HYB-Hips ,4037,13,3,2.8,6.7,8.4,21,6,2.8,6.9,8.5,19,6,CU - KL
HYB-Hips ,4036,12,3,3.2,6.8,8.5,19,8,3.5,6.7,8.4,19,5,CU - KL
HYB-Hips ,4035,11,3,3.3,6.7,8.5,21,7,3.2,6.9,8.5,21,7,CU - KL
HYB-Hips ,4034,10,3,3.7,2.2,8.6,16,5,3.1,6.9,8.4,20,5,CU - KL
HYB-Hips ,4033,9,3,4,8,9.5,18,6,3.5,7.8,9.2,19,6,CU - KL
HYB-Hips ,4032,8,3,3.7,7.6,9.1,21,7,3.2,7.3,9.3,26,7,CU - KL
HYB-Hips ,4031,7,3,2.8,6.5,8.2,24,7,3,6.4,8.1,24,6,CU - KL
HYB-Hips ,4030,6,3,3.9,8.1,9.6,19,7,3.9,8.2,9.8,19,8,CU - KL
HYB-Hips ,4029,5,3,3.6,8,9.9,21,8,3.5,8,9.8,19,8,CU - KL
HYB-Hips ,4028,4,3,3.6,7.9,9.6,19,6,4.2,7.9,9.3,19,7,CU - KL
HYB-Hips ,4027,3,3,4.4,7.8,9.1,16,6,4.3,7.3,8.9,15,5,CU - KL
HYB-Hips ,4026,2,3,4,8.2,9.7,21,6,3.9,7.9,9.5,18,6,CU - KL
HYB-Hips ,4075,2,3,3,6.4,7.9,23,7,2.9,7,8.8,23,7,CU - KL
HYB-Hips ,4074,3,4,3.9,7,8.5,19,7,3.4,7.2,8.6,20,7,CU - KL
HYB-Hips ,4073,4,4,5.5,8.6,10.6,25.11,9,5,8.6,10.4,24,10,CU - KL
HYB-Hips ,4072,5,4,3.6,8.2,10,29.75,7,3.3,7.7,9.6,29,7,CU - KL
HYB-Hips ,4071,6,4,3.6,7.7,8.8,25.86,7,3.1,6.8,8.5,20,7,CU - KL
HYB-Hips ,4070,7,4,5.6,9.5,10.4,26.32,8,5.5,8.9,10.6,23,9,CU - KL
HYB-Hips ,4069,8,4,3.7,6.8,8.2,23.4,6,3,6.5,8,23,7,CU - KL
HYB-Hips ,4068,9,4,4,7.3,8.7,19.53,5,4.3,7.6,8.8,20,6,CU - KL
HYB-Hips ,4067,10,4,2.7,5.5,6.8,20.35,6,2.8,5.7,7.1,20,6,CU - KL
HYB-Hips ,4066,11,4,3.5,7.9,9.6,23.36,7,3.2,8.1,9.8,20,8,CU - KL
HYB-Hips ,4065,12,4,3,6.4,8.2,16.72,5,2.8,6.5,8.2,14.7,6,CU
HYB-Hips ,4064,13,4,2.6,6.4,8.2,22.59,5,2.6,6.6,8.3,23.05,5,CU
HYB-Hips ,4063,14,4,3.5,6.9,8.4,21.72,5,3.7,7.2,8.8,21.52,4,CU
HYB-Hips ,4062,15,4,3.9,7.6,9.3,20.93,6,3.8,7.7,9.3,23.85,7,CU
HYB-Hips ,4061,16,4,2.9,7,8.7,22.5,7,2.9,7.2,8.8,20.64,6,CU
HYB-Hips ,4060,17,4,3.1,7.5,9.1,19.46,6,3,7.6,9.3,20.99,4,CU
HYB-Hips ,4059,18,4,3.6,7.5,9.5,20.83,9,3.8,7,9.2,22.4,8,CU
HYB-Hips ,4058,19,4,3.7,7.4,8.9,18.39,6,3.1,7,8.7,19.23,6,CU
HYB-Hips ,4057,20,4,3.1,6.9,8.6,18.82,5,3.1,7,8.8,20.41,5,CU
HYB-Hips ,4056,21,4,3.2,7.2,8.8,18.43,5,3.9,7,8.3,17.12,5,CU
HYB-Hips ,4055,22,4,3.5,7.3,8.9,18.2,5,3.4,7,8.5,20.33,5,CU
HYB-Hips ,4054,23,4,3.8,8.2,9.8,15.8,5,4.1,8.4,10.2,19.9,7,CU
HYB-Hips ,4053,24,4,3.7,8.1,10,22.39,8,3.8,7.9,9.7,24.3,7,CU
HYB-Hips ,4052,25,4,2.3,6.4,8,19.93,4,2.5,6.8,8.2,18.92,4,CU
HYB-Hips ,4051,26,4,3.7,7.5,9,21.01,5,4.5,7.5,8.9,17.55,6,CU
HYB-Hips ,4100,26,5,3.7,7.1,8.9,21.57,7,3.7,7.8,9.3,25.05,6,KL 
HYB-Hips ,4099,25,5,3,6.7,8.6,24.23,6,3.2,6.9,8.7,20.72,6,KL
HYB-Hips ,4098,24,5,4.6,8.3,9.9,20.23,6,4.8,8.1,9.9,21.65,8,KL
HYB-Hips ,4097,23,5,4.9,9.2,10.9,27.79,8,4.7,6.7,10.3,23.99,8,KL 
HYB-Hips ,4096,22,5,3.2,6.6,8.3,19.21,4,2.6,6.7,8.5,20.18,8,KL
HYB-Hips ,4095,21,5,3.3,6.9,8.9,17.51,5,3.2,6.5,9.9,18.45,8,KL
HYB-Hips ,4094,20,5,5,8.8,10.6,22.56,8,5.9,9.5,11.7,25.36,5,KL 
HYB-Hips ,4093,19,5,2.9,7.3,9.7,20.66,6,3.4,7.1,9.1,21.26,4,KL
HYB-Hips ,4092,18,5,5.4,8.2,10.3,25.37,9,4.6,8.6,10.2,25.6,7,KL
HYB-Hips ,4091,17,5,3.1,7.8,9.8,20.72,6,3.1,7.9,9.7,23.25,5,KL 
