Field,Range ,Plot,Standing plants 
SAM,2,1001,28
SAM,2,1002,13
SAM,2,1003,29
SAM,2,1004,29
SAM,2,1005,29
SAM,2,1006,34
SAM,2,1007,32
SAM,2,1008,33
SAM,2,1009,24
SAM,2,1010,29
SAM,2,1011,31
SAM,2,1012,31
SAM,2,1013,30
SAM,2,1014,31
SAM,2,1015,29
SAM,2,1016,29
SAM,2,2001,30
SAM,2,2002,27
SAM,2,2003,25
SAM,2,2004,30
SAM,2,2005,28
SAM,2,2006,29
SAM,2,2007,24
SAM,2,2008,29
SAM,2,2009,28
SAM,2,2010,29
SAM,2,2011,26
SAM,2,2012,30
SAM,2,2013,28
SAM,2,2014,23
SAM,2,2015,27
SAM,2,2016,27
SAM,3,1017,28
SAM,3,1018,28
SAM,3,1019,20
SAM,3,1020,22
SAM,3,1021,28
SAM,3,1022,29
SAM,3,1023,28
SAM,3,1024,20
SAM,3,1025,32
SAM,3,1026,28
SAM,3,1027,16
SAM,3,1028,22
SAM,3,1029,30
SAM,3,1030,30
SAM,3,1031,22
SAM,3,1032,29
SAM,3,2017,3
SAM,3,2018,26
SAM,3,2019,34
SAM,3,2020,25
SAM,3,2021,24
SAM,3,2022,26
SAM,3,2023,30
SAM,3,2024,31
SAM,3,2025,31
SAM,3,2026,27
SAM,3,2027,30
SAM,3,2028,28
SAM,3,2029,22
SAM,3,2030,18
SAM,3,2031,30
SAM,3,2032,23
SAM,4,1033,28
SAM,4,1034,18
SAM,4,1035,22
SAM,4,1036,30
SAM,4,1037,30
SAM,4,1038,32
SAM,4,1039,31
SAM,4,1040,28
SAM,4,1041,28
SAM,4,1042,25
SAM,4,1043,28
SAM,4,1044,23
SAM,4,1045,15
SAM,4,1046,22
SAM,4,1047,26
SAM,4,1048,23
SAM,4,2033,20
SAM,4,2034,23
SAM,4,2035,3
SAM,4,2036,30
SAM,4,2037,28
SAM,4,2038,29
SAM,4,2039,27
SAM,4,2040,25
SAM,4,2041,4
SAM,4,2042,25
SAM,4,2043,29
SAM,4,2044,22
SAM,4,2045,25
SAM,4,2046,15
SAM,4,2047,18
SAM,4,2048,26
SAM,5,1049,9
SAM,5,1050,28
SAM,5,1051,8
SAM,5,1052,29
SAM,5,1053,29
SAM,5,1054,14
SAM,5,1055,26
SAM,5,1056,28
SAM,5,1057,12
SAM,5,1058,26
SAM,5,1059,23
SAM,5,1060,21
SAM,5,1061,18
SAM,5,1062,23
SAM,5,1063,31
SAM,5,1064,27
SAM,5,2049,28
SAM,5,2050,22
SAM,5,2051,26
SAM,5,2052,18
SAM,5,2053,18
SAM,5,2054,24
SAM,5,2055,36
SAM,5,2056,23
SAM,5,2057,32
SAM,5,2058,28
SAM,5,2059,22
SAM,5,2060,19
SAM,5,2061,27
SAM,5,2062,26
SAM,5,2063,28
SAM,5,2064,10
SAM,6,1065,30
SAM,6,1066,26
SAM,6,1067,24
SAM,6,1068,18
SAM,6,1069,11
SAM,6,1070,28
SAM,6,1071,29
SAM,6,1072,20
SAM,6,1073,28
SAM,6,1074,29
SAM,6,1075,24
SAM,6,1076,19
SAM,6,1077,31
SAM,6,1078,24
SAM,6,1079,27
SAM,6,1080,27
SAM,6,2065,30
SAM,6,2066,24
SAM,6,2067,14
SAM,6,2068,32
SAM,6,2069,28
SAM,6,2070,27
SAM,6,2071,27
SAM,6,2072,0
SAM,6,2073,30
SAM,6,2074,30
SAM,6,2075,27
SAM,6,2076,29
SAM,6,2077,17
SAM,6,2078,26
SAM,6,2079,6
SAM,6,2080,27
SAM,7,1081,25
SAM,7,1082,17
SAM,7,1083,31
SAM,7,1084,29
SAM,7,1085,27
SAM,7,1086,20
