,Location,,,,,,,,,,
Phenotype,Scottsbluff 2022,North Platte 2022,Lincoln 2022,Missouri Valley 2022,Ames 2022 ,Crawfordsville 2022 ,North Platte 2023,Lincoln 2023,Missouri Valley 2023,Ames 2023,Crawfordsville 2023
Ear-level phenotypes included in data set at plot-level,x,x,x,x,x,x,x,x,x,x,x
Replicate NIR measurements (3 per plot),x,x,x,x,,,,,,,
Leaf length (2 plants per plot),,,x,,,,,,,,
Leaf width (2 plants per plot),,,x,,,,,,,,
Plant-level plant height measurements (2 plants per plot),,,x,,,,,x,,,
Ear drop number,,x,,,,,,,,,
Row-level stand counts,,x,,x,x,x,,,,,
Tassel tip height,x,,x,,,,,x,,,
Kernel striping,x,x,x,x,,,,,,,
Occurrence of sweet corn kernels,,,,,x,x,,,,x,x
Shoot lodging percent,,x,,x,x,x,,,x,x,x
Root lodging percent,,x,,x,x,x,,,x,x,x
Plot-level latitude and longitude,,,,x,x,x,,,x,x,x
